id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_ambient,play_bgm,jump_target,is_exit_scenario,fade,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,set_camera_shake
snowfall_global_06_default_1,80903,snowfall_global_06,Narration,Locale_SubScenario:snowfall_global_00_1,False,none,black,black,1.0,none,none,,,,,,,,,,,,,,,,,,,,,,,,,,
snowfall_global_06_default_2,80903,snowfall_global_06,Choice,Locale_SubScenario:snowfall_global_00_2,False,,black,black,1.0,,,snowfall_global_06_1,,,,,,,,,,,,,,,,,,,,,,,,,
snowfall_global_06_default_3,80903,snowfall_global_06,Choice,Locale_SubScenario:snowfall_global_00_3,False,,black,black,1.0,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
snowfall_global_06_1,80903,snowfall_global_06,Monologue,Locale_SubScenario:snowfall_global_06_1,False,Trail_n,6,1,1.0,amb_so_trail_3,event_bgm_neverland_snowflakes_night,,,white,,,,,,,,,,,,,,,,,,,,,,,
snowfall_global_06_2,80903,snowfall_global_06,Monologue,Locale_SubScenario:snowfall_global_06_2,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snowfall_global_06_3,80903,snowfall_global_06,Speech,Locale_SubScenario:snowfall_global_06_3,True,,1,S_10,1.0,,,,,,delta,delta,delta,1,idle,,,,,,,,,,,,,,,,,,
snowfall_global_06_4,80903,snowfall_global_06,Self,Locale_SubScenario:snowfall_global_06_4,False,,S_10,S_10,1.0,,,,,,,,,1,idle,,,,,,,,,,,,,,,,,,
snowfall_global_06_5,80903,snowfall_global_06,Speech,Locale_SubScenario:snowfall_global_06_5,True,,S_10,S_10,1.0,,,,,,delta,delta,,1,idle,,,,,,,,,,,,,,,,,,
snowfall_global_06_6,80903,snowfall_global_06,Monologue,Locale_SubScenario:snowfall_global_06_6,False,,S_10,15,1.0,,,,,,,,,1,idle,,,,,,,,,,,,,,,,,,
snowfall_global_06_7,80903,snowfall_global_06,Self,Locale_SubScenario:snowfall_global_06_7,False,,15,15,1.0,,,,,,,,,1,idle,,,,,,,,,,,,,,,,,,
snowfall_global_06_8,80903,snowfall_global_06,Speech,Locale_SubScenario:snowfall_global_06_8,True,,15,S_10,1.0,,,,,,delta,delta,,1,delight,,,,,,,,,,,,,,,,,,
snowfall_global_06_9,80903,snowfall_global_06,Self,Locale_SubScenario:snowfall_global_06_9,False,,S_10,S_10,1.0,,,,,,,,,1,delight,,,,,,,,,,,,,,,,,,
snowfall_global_06_10,80903,snowfall_global_06,Speech,Locale_SubScenario:snowfall_global_06_10,True,,S_10,S_10,1.0,,,,,,delta,delta,,1,delight,,,,,,,,,,,,,,,,,,
snowfall_global_06_11,80903,snowfall_global_06,Speech,Locale_SubScenario:snowfall_global_06_11,True,,S_10,S_10,1.0,,,,,,delta,delta,,1,delight,,,,,,,,,,,,,,,,,,
snowfall_global_06_12,80903,snowfall_global_06,Speech,Locale_SubScenario:snowfall_global_06_12,True,,S_10,S_10,1.0,,,,,,delta,delta,,1,delight,,,,,,,,,,,,,,,,,,
snowfall_global_06_13,80903,snowfall_global_06,Self,Locale_SubScenario:snowfall_global_06_13,False,,S_10,S_10,1.0,,,,,,,,,1,delight,,,,,,,,,,,,,,,,,,
snowfall_global_06_14,80903,snowfall_global_06,Self,Locale_SubScenario:snowfall_global_06_14,False,,S_10,S_10,1.0,,,,,,,,,1,delight,,,,,,,,,,,,,,,,,,
snowfall_global_06_15,80903,snowfall_global_06,Speech,Locale_SubScenario:snowfall_global_06_15,True,,S_10,S_10,1.0,,,,,,delta,delta,,1,idle,,,,,,,,,,,,,,,,,,
snowfall_global_06_16,80903,snowfall_global_06,Speech,Locale_SubScenario:snowfall_global_06_16,True,,S_10,S_10,1.0,,,,,,delta,delta,,1,idle,,,,,,,,,,,,,,,,,,
snowfall_global_06_17,80903,snowfall_global_06,Speech,Locale_SubScenario:snowfall_global_06_17,True,,S_10,S_10,1.0,,,,,,delta,delta,,1,idle,,,,,,,,,,,,,,,,,,
snowfall_global_06_18,80903,snowfall_global_06,Self,Locale_SubScenario:snowfall_global_06_18,False,,S_10,S_10,1.0,,,,,,,,,1,idle,,,,,,,,,,,,,,,,,,
snowfall_global_06_19,80903,snowfall_global_06,Speech,Locale_SubScenario:snowfall_global_06_19,True,,S_10,S_10,1.0,,,,,,delta,delta,,1,delight,,,,,,,,,,,,,,,,,,
snowfall_global_06_20,80903,snowfall_global_06,Speech,Locale_SubScenario:snowfall_global_06_20,True,,S_10,S_10,1.0,,,,,,delta,delta,,1,delight,,,,,,,,,,,,,,,,,,
snowfall_global_06_21,80903,snowfall_global_06,Speech,Locale_SubScenario:snowfall_global_06_21,True,,S_10,S_10,1.0,,,,,,delta,delta,,1,delight,,,,,,,,,,,,,,,,,,
snowfall_global_06_22,80903,snowfall_global_06,Self,Locale_SubScenario:snowfall_global_06_22,False,,S_10,S_10,1.0,,,,,,,,,1,delight,,,,,,,,,,,,,,,,,,
snowfall_global_06_23,80903,snowfall_global_06,Speech,Locale_SubScenario:snowfall_global_06_23,True,,S_10,1,1.0,,,,,,delta,delta,,1,idle,,,,,,,,,,,,,,,,,,
snowfall_global_06_24,80903,snowfall_global_06,Monologue,Locale_SubScenario:snowfall_global_06_24,False,,1,1,1.0,,,,,,,,,1,idle,delta,,,,,,,,,,,,,,,,,
snowfall_global_06_25,80903,snowfall_global_06,Self,Locale_SubScenario:snowfall_global_06_25,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snowfall_global_06_26,80903,snowfall_global_06,Self,Locale_SubScenario:snowfall_global_06_26,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snowfall_global_06_27,80903,snowfall_global_06,Monologue,Locale_SubScenario:snowfall_global_06_27,False,,black,black,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snowfall_global_06_28,80903,snowfall_global_06,Speech,Locale_SubScenario:snowfall_global_06_28,True,,12,12,1.0,,,,,,eunhwa,eunhwa,eunhwa,1,angry,,vesti,13,idle,,,,,,,,,,,,,,
snowfall_global_06_29,80903,snowfall_global_06,Speech,Locale_SubScenario:snowfall_global_06_29,True,,12,12,1.0,,,,,,vesti,vesti,,1,angry,,,13,idle,,,,,,,,,,,,,,
