id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,fade,play_sound,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/7/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,characters/6/hide_char_id,set_camera_shake
event_ce004_1_prologue_1,40055,event_ce004_1_prologue,Speech,neon,neon,Locale_SubScenario:event_ce004_1_prologue_1,True,rapi,13,idle,anis,15,worry,neon,17,surprise,CityForest_03_d,S_170,S_170,1.0,event_bgm_ce004_compte,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce004_1_prologue_2,40055,event_ce004_1_prologue,Speech,neon,neon,Locale_SubScenario:event_ce004_1_prologue_2,True,,13,idle,,15,worry,,17,surprise,,S_170,S_170,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce004_1_prologue_3,40055,event_ce004_1_prologue,Monologue,neon,,Locale_SubScenario:event_ce004_1_prologue_3,False,,13,idle,,15,worry,,17,surprise,MassiveObject_1,S_170,5,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce004_1_prologue_4,40055,event_ce004_1_prologue,Monologue,neon,,Locale_SubScenario:event_ce004_1_prologue_4,False,,13,idle,,15,worry,,17,surprise,,5,5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce004_1_prologue_5,40055,event_ce004_1_prologue,Speech,anis,anis,Locale_SubScenario:event_ce004_1_prologue_5,True,,13,idle,,15,worry,,17,idle,CityForest_03_d,16,16,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce004_1_prologue_6,40055,event_ce004_1_prologue,Speech,neon,neon,Locale_SubScenario:event_ce004_1_prologue_6,True,,13,idle,,15,worry,,17,idle,,16,16,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce004_1_prologue_7,40055,event_ce004_1_prologue,Speech,anis,anis,Locale_SubScenario:event_ce004_1_prologue_7,True,,13,idle,,15,worry,,17,idle,,16,16,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce004_1_prologue_8,40055,event_ce004_1_prologue,Speech,neon,neon,Locale_SubScenario:event_ce004_1_prologue_8,True,,13,idle,,15,worry,,17,idle,,16,16,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce004_1_prologue_9,40055,event_ce004_1_prologue,Speech,rapi,rapi,Locale_SubScenario:event_ce004_1_prologue_9,True,,13,idle,,15,worry,,17,idle,,16,130,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce004_1_prologue_10,40055,event_ce004_1_prologue,Speech,rapi,rapi,Locale_SubScenario:event_ce004_1_prologue_10,True,,13,idle,,15,worry,,17,idle,,130,130,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce004_1_prologue_11,40055,event_ce004_1_prologue,Speech,rapi,rapi,Locale_SubScenario:event_ce004_1_prologue_11,True,,13,idle,,15,worry,,17,idle,,130,130,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce004_1_prologue_12,40055,event_ce004_1_prologue,Speech,rapi,rapi,Locale_SubScenario:event_ce004_1_prologue_12,True,,13,idle,,15,worry,,17,idle,,130,130,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce004_1_prologue_13,40055,event_ce004_1_prologue,Speech,rapi,rapi,Locale_SubScenario:event_ce004_1_prologue_13,True,,13,idle,,15,worry,,17,idle,,130,130,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce004_1_prologue_14,40055,event_ce004_1_prologue,Speech,rapi,rapi,Locale_SubScenario:event_ce004_1_prologue_14,True,,13,idle,,15,worry,,17,idle,,130,130,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce004_1_prologue_15,40055,event_ce004_1_prologue,Speech,neon,neon,Locale_SubScenario:event_ce004_1_prologue_15,True,,13,idle,,15,void,,17,idle,,130,16,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce004_1_prologue_16,40055,event_ce004_1_prologue,Speech,neon,neon,Locale_SubScenario:event_ce004_1_prologue_16,True,,13,idle,,15,void,,17,idle,,16,16,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce004_1_prologue_17,40055,event_ce004_1_prologue,Speech,anis,anis,Locale_SubScenario:event_ce004_1_prologue_17,True,,13,idle,,15,void,,17,idle,,16,16,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce004_1_prologue_18,40055,event_ce004_1_prologue,Speech,rapi,rapi,Locale_SubScenario:event_ce004_1_prologue_18,True,,13,idle,,15,void,,17,idle,,16,14,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce004_1_prologue_19,40055,event_ce004_1_prologue,Monologue,rapi,,Locale_SubScenario:event_ce004_1_prologue_19,False,,13,idle,,15,void,,17,idle,,14,14,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
