id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
event_ce004_3_01_1,40057,event_ce004_3_01,Monologue,marciana,Locale_SubScenario:event_ce004_3_01_1,False,Office,black,black,1.0,bgm_inark,,,marciana,2,delight,ce004_04,12,idle
event_ce004_3_01_2,40057,event_ce004_3_01,Speech,marciana,Locale_SubScenario:event_ce004_3_01_2,True,,1,1,1.0,,marciana,,,2,delight,,12,idle
event_ce004_3_01_3,40057,event_ce004_3_01,Speech,marciana,Locale_SubScenario:event_ce004_3_01_3,True,,1,1,1.0,,marciana,,,2,delight,,12,idle
event_ce004_3_01_4,40057,event_ce004_3_01,Speech,ce004_04,Locale_SubScenario:event_ce004_3_01_4,True,,1,1,1.0,,ce004_04,,,2,delight,,12,idle
event_ce004_3_01_5,40057,event_ce004_3_01,Speech,ce004_04,Locale_SubScenario:event_ce004_3_01_5,True,,1,1,1.0,,ce004_04,,,2,delight,,12,idle
event_ce004_3_01_6,40057,event_ce004_3_01,Speech,ce004_04,Locale_SubScenario:event_ce004_3_01_6,True,,1,1,1.0,,ce004_04,,,2,delight,,12,idle
event_ce004_3_01_7,40057,event_ce004_3_01,Self,ce004_04,Locale_SubScenario:event_ce004_3_01_7,False,,1,1,1.0,,,,,2,delight,,12,idle
event_ce004_3_01_8,40057,event_ce004_3_01,Speech,ce004_04,Locale_SubScenario:event_ce004_3_01_8,True,,1,120,1.0,,ce004_04,,,2,delight,,12,idle
event_ce004_3_01_9,40057,event_ce004_3_01,Speech,ce004_04,Locale_SubScenario:event_ce004_3_01_9,True,,120,120,1.0,,ce004_04,,,2,delight,,12,idle
event_ce004_3_01_10,40057,event_ce004_3_01,Speech,ce004_04,Locale_SubScenario:event_ce004_3_01_10,True,,120,120,1.0,,ce004_04,,,2,delight,,12,idle
event_ce004_3_01_11,40057,event_ce004_3_01,Self,ce004_04,Locale_SubScenario:event_ce004_3_01_11,False,,120,120,1.0,,,,,2,delight,,12,idle
event_ce004_3_01_12,40057,event_ce004_3_01,Speech,marciana,Locale_SubScenario:event_ce004_3_01_12,True,,120,20,1.0,,marciana,,,2,idle,,12,idle
event_ce004_3_01_13,40057,event_ce004_3_01,Speech,marciana,Locale_SubScenario:event_ce004_3_01_13,True,,20,20,1.0,,marciana,,,2,idle,,12,idle
event_ce004_3_01_14,40057,event_ce004_3_01,Self,marciana,Locale_SubScenario:event_ce004_3_01_14,False,,20,20,1.0,,,,,2,idle,,12,idle
event_ce004_3_01_15,40057,event_ce004_3_01,Speech,marciana,Locale_SubScenario:event_ce004_3_01_15,True,,20,1,1.0,,marciana,,,2,delight,,12,idle
