id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,set_filter_02,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_camera_shake,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id
event_beautyfullshot2_03_e_1,40052,event_beautyfullshot2_03_e,Speech,viper,viper,Locale_MainScenario:event_beautyfullshot2_03_e_1,False,viper,1,idle,OuterRim,100,10,1.0,bgm_recognition_underworld,Grey,Vignetting,,,,,,,,,,,,,,
event_beautyfullshot2_03_e_2,40052,event_beautyfullshot2_03_e,Speech,viper,viper,Locale_MainScenario:event_beautyfullshot2_03_e_2,False,,1,idle,,10,10,1.0,,Grey,Vignetting,,,,,,,,,,,,,,
event_beautyfullshot2_03_e_3,40052,event_beautyfullshot2_03_e,Speech,viper,viper,Locale_MainScenario:event_beautyfullshot2_03_e_3,False,,1,idle,,10,10,1.0,,Grey,Vignetting,,,,,,,,,,,,,,
event_beautyfullshot2_03_e_4,40052,event_beautyfullshot2_03_e,Speech,viper,viper,Locale_MainScenario:event_beautyfullshot2_03_e_4,False,,1,idle,,10,10,1.0,,Grey,Vignetting,,,,,,,,,,,,,,
event_beautyfullshot2_03_e_5,40052,event_beautyfullshot2_03_e,Speech,viper,viper,Locale_MainScenario:event_beautyfullshot2_03_e_5,False,,1,idle,,10,10,1.0,,Grey,Vignetting,,,,,,,,,,,,,,
event_beautyfullshot2_03_e_6,40052,event_beautyfullshot2_03_e,Speech,viper,viper,Locale_MainScenario:event_beautyfullshot2_03_e_6,False,,1,idle,,10,10,1.0,,Grey,Vignetting,,,,,,,,,,,,,,
event_beautyfullshot2_03_e_7,40052,event_beautyfullshot2_03_e,Speech,viper,viper,Locale_MainScenario:event_beautyfullshot2_03_e_7,False,,1,idle,,10,150,2.0,,Grey,Vignetting,,,,,,,,,,,,,,
event_beautyfullshot2_03_e_8,40052,event_beautyfullshot2_03_e,Speech,viper,viper,Locale_MainScenario:event_beautyfullshot2_03_e_8,False,,1,idle,,150,150,1.0,,Grey,Vignetting,,,,,,,,,,,,,,
event_beautyfullshot2_03_e_9,40052,event_beautyfullshot2_03_e,Speech,viper,viper,Locale_MainScenario:event_beautyfullshot2_03_e_9,False,,1,idle,,150,1500,1.0,,Grey,Vignetting,,,,,,,,,,,,,,
event_beautyfullshot2_03_e_10,40052,event_beautyfullshot2_03_e,Speech,viper,viper,Locale_MainScenario:event_beautyfullshot2_03_e_10,False,,1,idle,,1500,1500,1.0,,Grey,Vignetting,,,,,,,,,,,,,,
event_beautyfullshot2_03_e_11,40052,event_beautyfullshot2_03_e,Speech,viper,viper,Locale_MainScenario:event_beautyfullshot2_03_e_11,False,,1,idle,,1500,100,2.0,,Grey,Vignetting,,,,,,,,,,,,,,
event_beautyfullshot2_03_e_12,40052,event_beautyfullshot2_03_e,Speech,viper,viper,Locale_MainScenario:event_beautyfullshot2_03_e_12,False,,1,idle,,100,100,1.0,,Grey,Vignetting,,,,,,,,,,,,,,
event_beautyfullshot2_03_e_13,40052,event_beautyfullshot2_03_e,Speech,viper,viper,Locale_MainScenario:event_beautyfullshot2_03_e_13,False,,1,idle,,100,10,1.0,,Grey,Vignetting,,,,,,,,,,,,,,
event_beautyfullshot2_03_e_14,40052,event_beautyfullshot2_03_e,Speech,viper,viper,Locale_MainScenario:event_beautyfullshot2_03_e_14,False,,1,idle,,10,10,1.0,,Grey,Vignetting,,,,,,,,,,,,,,
