id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_ambient,play_bgm,jump_target,is_exit_scenario,speaker,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
snowfall_speech_mica_13_1,80903,snowfall_speech_mica_13,Monologue,mica_w,Locale_SubScenario:snowfall_speech_mica_13_1,False,BambooForest_n,1,1,1.0,amb_so_bambooforest_3,event_bgm_neverland_snowflakes_night,,,,,mica_w,1,idle
snowfall_speech_mica_13_2,80903,snowfall_speech_mica_13,Monologue,mica_w,Locale_SubScenario:snowfall_speech_mica_13_2,False,,1,1,1.0,,,,,,,,1,idle
snowfall_speech_mica_13_3,80903,snowfall_speech_mica_13,Monologue,mica_w,Locale_SubScenario:snowfall_speech_mica_13_3,False,,1,1,1.0,,,,,,,,1,idle
snowfall_speech_mica_13_4,80903,snowfall_speech_mica_13,Choice,mica_w,Locale_SubScenario:snowfall_speech_mica_13_4,False,,1,1,1.0,,,snowfall_speech_mica_13_7,,,,,1,idle
snowfall_speech_mica_13_5,80903,snowfall_speech_mica_13,Choice,mica_w,Locale_SubScenario:snowfall_speech_mica_13_5,False,,1,1,1.0,,,snowfall_speech_mica_13_6,,,,,1,idle
snowfall_speech_mica_13_6,80903,snowfall_speech_mica_13,Monologue,mica_w,Locale_SubScenario:snowfall_speech_mica_13_6,False,,black,black,1.0,,,,True,,,,1,idle
snowfall_speech_mica_13_7,80903,snowfall_speech_mica_13,Speech,mica_w,Locale_SubScenario:snowfall_speech_mica_13_7,True,,1,S_10,1.0,,,,,mica_w,,,1,idle
snowfall_speech_mica_13_8,80903,snowfall_speech_mica_13,Self,mica_w,Locale_SubScenario:snowfall_speech_mica_13_8,False,,S_10,S_10,1.0,,,,,,,,1,idle
snowfall_speech_mica_13_9,80903,snowfall_speech_mica_13,Speech,mica_w,Locale_SubScenario:snowfall_speech_mica_13_9,True,,S_10,S_10,1.0,,,,,mica_w,,,1,surprise
snowfall_speech_mica_13_10,80903,snowfall_speech_mica_13,Speech,mica_w,Locale_SubScenario:snowfall_speech_mica_13_10,True,,S_10,S_10,1.0,,,,,mica_w,,,1,surprise
snowfall_speech_mica_13_11,80903,snowfall_speech_mica_13,Speech,mica_w,Locale_SubScenario:snowfall_speech_mica_13_11,True,,S_10,S_10,1.0,,,,,mica_w,,,1,surprise
snowfall_speech_mica_13_12,80903,snowfall_speech_mica_13,Self,mica_w,Locale_SubScenario:snowfall_speech_mica_13_12,False,,S_10,S_10,1.0,,,,,,,,1,surprise
snowfall_speech_mica_13_13,80903,snowfall_speech_mica_13,Speech,mica_w,Locale_SubScenario:snowfall_speech_mica_13_13,True,,S_10,S_10,1.0,,,,,mica_w,,,1,surprise
snowfall_speech_mica_13_14,80903,snowfall_speech_mica_13,Self,mica_w,Locale_SubScenario:snowfall_speech_mica_13_14,False,,S_10,S_10,1.0,,,,,,,,1,surprise
snowfall_speech_mica_13_15,80903,snowfall_speech_mica_13,Speech,mica_w,Locale_SubScenario:snowfall_speech_mica_13_15,True,,S_10,S_10,1.0,,,,,mica_w,,,1,idle
snowfall_speech_mica_13_16,80903,snowfall_speech_mica_13,Speech,mica_w,Locale_SubScenario:snowfall_speech_mica_13_16,True,,S_10,S_10,1.0,,,,,mica_w,,,1,idle
snowfall_speech_mica_13_17,80903,snowfall_speech_mica_13,Speech,mica_w,Locale_SubScenario:snowfall_speech_mica_13_17,True,,S_10,S_10,1.0,,,,,mica_w,,,1,idle
snowfall_speech_mica_13_18,80903,snowfall_speech_mica_13,Speech,mica_w,Locale_SubScenario:snowfall_speech_mica_13_18,True,,S_10,S_10,1.0,,,,,mica_w,,,1,idle
snowfall_speech_mica_13_19,80903,snowfall_speech_mica_13,Monologue,mica_w,Locale_SubScenario:snowfall_speech_mica_13_19,False,,S_10,S_10,1.0,,,,,,,,1,idle
snowfall_speech_mica_13_20,80903,snowfall_speech_mica_13,Narration,mica_w,Locale_SubScenario:snowfall_speech_mica_13_20,False,,S_10,S_10,1.0,,,,,,sfx_scn_bamboowind,,1,idle
snowfall_speech_mica_13_21,80903,snowfall_speech_mica_13,Choice,mica_w,Locale_SubScenario:snowfall_speech_mica_13_21,False,,S_10,S_10,1.0,,,snowfall_speech_mica_13_23,,,,,1,idle
snowfall_speech_mica_13_22,80903,snowfall_speech_mica_13,Choice,mica_w,Locale_SubScenario:snowfall_speech_mica_13_22,False,,S_10,S_10,1.0,,,snowfall_speech_mica_13_26,,,,,1,idle
