id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/set_char_position,characters/8/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,characters/6/hide_char_id,characters/7/hide_char_id,characters/8/hide_char_id,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
event_seayouagain2_intermission_01_1,40025,event_seayouagain2_intermission_01,Narration,Narration,Locale_MainScenario:event_seayouagain2_intermission_01_1,False,anis_s,7,void,frima_s,5,idle,neon_s,3,idle,liter_s,1,idle,yan_s,15,idle,mary_s,15,idle,pepper_s,17,idle,rapi_s,19,idle,EventScene_SeaYouAgain_01_1,black,black,1.0,sfx_scn_waterwalk,none,,,,,,,,,,,,,
event_seayouagain2_intermission_01_2,40025,event_seayouagain2_intermission_01,Speech,anis,Locale_MainScenario:event_seayouagain2_intermission_01_2,False,,7,void,,5,idle,,3,idle,,1,idle,,15,idle,,15,idle,,17,idle,,19,idle,,7,7,1.0,,,anis_s,,,,,,,,,,,,
event_seayouagain2_intermission_01_3,40025,event_seayouagain2_intermission_01,Speech,anis,Locale_MainScenario:event_seayouagain2_intermission_01_3,True,,7,void,,5,idle,,3,idle,,1,idle,,15,idle,,15,idle,,17,idle,,19,idle,,7,XS_700,1.0,,bgm_enemyclose,anis_s,,,,,,,,,,,,
event_seayouagain2_intermission_01_4,40025,event_seayouagain2_intermission_01,Speech,anis,Locale_MainScenario:event_seayouagain2_intermission_01_4,True,,7,void,,5,idle,,3,idle,,1,idle,,15,idle,,15,idle,,17,idle,,19,idle,,XS_700,XS_700,1.0,,,anis_s,,,,,,,,,,,,
event_seayouagain2_intermission_01_5,40025,event_seayouagain2_intermission_01,Speech,anis,Locale_MainScenario:event_seayouagain2_intermission_01_5,True,,7,void,,5,idle,,3,idle,,1,idle,,15,idle,,15,idle,,17,idle,,19,idle,,XS_700,XS_70,1.0,,,anis_s,,,,,,,,,,,,
event_seayouagain2_intermission_01_6,40025,event_seayouagain2_intermission_01,Speech,rapi,Locale_MainScenario:event_seayouagain2_intermission_01_6,True,,7,void,,5,idle,,3,idle,,1,idle,,15,idle,,15,idle,,17,idle,,19,idle,,190,190,1.0,,,rapi_s,,,,,,,,,,,,
event_seayouagain2_intermission_01_7,40025,event_seayouagain2_intermission_01,Speech,rapi,Locale_MainScenario:event_seayouagain2_intermission_01_7,True,,7,void,,5,idle,,3,idle,,1,idle,,15,idle,,15,idle,,17,idle,,19,idle,,190,190,1.0,,,rapi_s,,,,,,,,,,,,
event_seayouagain2_intermission_01_8,40025,event_seayouagain2_intermission_01,Self,Self,Locale_MainScenario:event_seayouagain2_intermission_01_8,False,,7,void,,5,idle,,3,idle,,1,idle,,15,idle,,15,idle,,17,idle,,19,idle,,190,190,1.0,,,,,,,,,,,,,,,
event_seayouagain2_intermission_01_9,40025,event_seayouagain2_intermission_01,Speech,anis,Locale_MainScenario:event_seayouagain2_intermission_01_9,False,,7,void,,5,idle,,3,idle,,1,idle,,15,idle,,15,idle,,17,idle,,19,idle,,XS_70,XS_70,1.0,,,anis_s,,,,,,,,,,,,
event_seayouagain2_intermission_01_10,40025,event_seayouagain2_intermission_01,Narration,Narration,Locale_MainScenario:event_seayouagain2_intermission_01_10,False,,7,void,,5,idle,,3,idle,,1,idle,,15,idle,,15,idle,,17,idle,,19,idle,EventScene_SeaYouAgain_01_2,black,black,1.0,sfx_scn_walksand,none,,anis_s,frima_s,neon_s,liter_s,yan_s,mary_s,pepper_s,rapi_s,,,,
event_seayouagain2_intermission_01_11,40025,event_seayouagain2_intermission_01,Narration,Narration,Locale_MainScenario:event_seayouagain2_intermission_01_11,False,,,,,,,,,,,,,,,,,,,,,,,,,,kraken_01,kraken_02,2.0,sfx_scn_krakenshout,,,,,,,,,,,,,,
event_seayouagain2_intermission_01_12,40025,event_seayouagain2_intermission_01,Monologue,Monologue,Locale_MainScenario:event_seayouagain2_intermission_01_12,False,,,,,,,,,,,,,,,,,,,,,,,,,,kraken_02,kraken_02,1.0,,,,,,,,,,,,,,,
event_seayouagain2_intermission_01_13,40025,event_seayouagain2_intermission_01,Monologue,Monologue,Locale_MainScenario:event_seayouagain2_intermission_01_13,False,,,,,,,,,,,,,,,,,,,,,,,,,,kraken_02,kraken_02,1.0,,bgm_disaster,,,,,,,,,,,,,
event_seayouagain2_intermission_01_14,40025,event_seayouagain2_intermission_01,Speech,anis,Locale_MainScenario:event_seayouagain2_intermission_01_14,False,,,,,,,,,,,,,,,,,,,,,,,,,,kraken_02,kraken_02,1.0,,,anis_s,,,,,,,,,,,,
event_seayouagain2_intermission_01_15,40025,event_seayouagain2_intermission_01,Narration,Narration,Locale_MainScenario:event_seayouagain2_intermission_01_15,False,,,,,,,,,,,,,,,,,,,,,,,,,,kraken_02,kraken_02,1.0,sfx_scn_walksand,,,,,,,,,,,,,,
event_seayouagain2_intermission_01_16,40025,event_seayouagain2_intermission_01,Monologue,Monologue,Locale_MainScenario:event_seayouagain2_intermission_01_16,False,,,,,,,,,,,,,,,,,,,,,,,,,,kraken_02,kraken_02,1.0,,,,,,,,,,,,,,,
event_seayouagain2_intermission_01_17,40025,event_seayouagain2_intermission_01,Monologue,Monologue,Locale_MainScenario:event_seayouagain2_intermission_01_17,False,,,,,,,,,,,,,,,,,,,,,,,,,,kraken_02,kraken_03,1.0,,,,,,,,,,,,,,,
event_seayouagain2_intermission_01_18,40025,event_seayouagain2_intermission_01,Narration,Narration,Locale_MainScenario:event_seayouagain2_intermission_01_18,False,,,,,,,,,,,,,,,,,,,,,,,,,,kraken_03,kraken_03,1.0,sfx_scn_waterdive,,,,,,,,,,,,,,
event_seayouagain2_intermission_01_19,40025,event_seayouagain2_intermission_01,Monologue,Monologue,Locale_MainScenario:event_seayouagain2_intermission_01_19,False,,,,,,,,,,,,,,,,,,,,,,,,,,kraken_03,kraken_03,1.0,,,,,,,,,,,,,,,
event_seayouagain2_intermission_01_20,40025,event_seayouagain2_intermission_01,Narration,Narration,Locale_MainScenario:event_seayouagain2_intermission_01_20,False,,,,,,,,,,,,,,,,,,,,,,,,,,kraken_03,kraken_03,1.0,sfx_scn_krakenshout_2,,,,,,,,,,,Low_2,,,
event_seayouagain2_intermission_01_21,40025,event_seayouagain2_intermission_01,Monologue,Monologue,Locale_MainScenario:event_seayouagain2_intermission_01_21,False,anis_s,7,angry,frima_s,5,idle,neon_s,3,angry,liter_s,1,no,yan_s,13,no,mary_s,15,think,pepper_s,17,angry,rapi_s,19,idle,EventScene_SeaYouAgain_01_1,black,black,1.0,,,,,,,,,,,,,,,
event_seayouagain2_intermission_01_22,40025,event_seayouagain2_intermission_01,Speech,anis,Locale_MainScenario:event_seayouagain2_intermission_01_22,True,,7,angry,,5,idle,,3,angry,,1,no,,13,no,,15,think,,17,angry,,19,idle,,7,XS_70,0.5,,,anis_s,,,,,,,,,,,,
event_seayouagain2_intermission_01_23,40025,event_seayouagain2_intermission_01,Speech,neon,Locale_MainScenario:event_seayouagain2_intermission_01_23,True,,7,angry,,5,idle,,3,angry,,1,no,,13,no,,15,think,,17,angry,,19,idle,,XS_30,XS_30,1.0,,,neon_s,,,,,,,,,,,,
event_seayouagain2_intermission_01_24,40025,event_seayouagain2_intermission_01,Speech,neon,Locale_MainScenario:event_seayouagain2_intermission_01_24,True,,7,angry,,5,idle,,3,angry,,1,no,,13,no,,15,think,,17,angry,,19,idle,,XS_30,XS_30,1.0,,,neon_s,,,,,,,,,,,,
event_seayouagain2_intermission_01_25,40025,event_seayouagain2_intermission_01,Speech,neon,Locale_MainScenario:event_seayouagain2_intermission_01_25,True,,7,angry,,5,idle,,3,angry,,1,no,,13,no,,15,think,,17,angry,,19,idle,,XS_30,XS_300,0.5,,,neon_s,,,,,,,,,,,,
event_seayouagain2_intermission_01_26,40025,event_seayouagain2_intermission_01,Narration,Narration,Locale_MainScenario:event_seayouagain2_intermission_01_26,False,,7,angry,,5,idle,,3,angry,,1,no,,13,no,,15,think,,17,angry,,19,idle,,XS_300,XS_300,1.0,,,,,,,,,,,,,,,
event_seayouagain2_intermission_01_27,40025,event_seayouagain2_intermission_01,Speech,frima,Locale_MainScenario:event_seayouagain2_intermission_01_27,True,,7,angry,,5,idle,,3,angry,,1,no,,13,no,,15,think,,17,angry,,19,idle,,500,500,1.0,,,frima_s,,,,,,,,,,,,
event_seayouagain2_intermission_01_28,40025,event_seayouagain2_intermission_01,Speech,rapi,Locale_MainScenario:event_seayouagain2_intermission_01_28,True,,7,angry,,5,idle,,3,angry,,1,no,,13,no,,15,think,,17,angry,,19,idle,,1900,1900,1.0,,,rapi_s,,,,,,,,,,,,
event_seayouagain2_intermission_01_29,40025,event_seayouagain2_intermission_01,Speech,rapi,Locale_MainScenario:event_seayouagain2_intermission_01_29,True,,7,angry,,5,idle,,3,angry,,1,no,,13,no,,15,think,,17,angry,,19,idle,,1900,1900,1.0,,,rapi_s,,,,,,,,,,,,
event_seayouagain2_intermission_01_30,40025,event_seayouagain2_intermission_01,Self,Self,Locale_MainScenario:event_seayouagain2_intermission_01_30,False,,7,angry,,5,idle,,3,angry,,1,no,,13,no,,15,think,,17,angry,,19,idle,,1900,1900,1.0,,,,,,,,,,,,,,,
event_seayouagain2_intermission_01_31,40025,event_seayouagain2_intermission_01,Narration,Narration,Locale_MainScenario:event_seayouagain2_intermission_01_31,False,,7,angry,,5,idle,,3,angry,,1,no,,13,no,,15,think,,17,angry,,19,idle,,black,black,1.0,,,,,,,,,,,,,,,
event_seayouagain2_intermission_01_32,40025,event_seayouagain2_intermission_01,Narration,Narration,Locale_MainScenario:event_seayouagain2_intermission_01_32,False,,7,angry,,5,idle,,3,angry,,1,no,,13,no,,15,think,,17,angry,,19,idle,,black,black,1.0,,,,,,,,,,,,,,,
event_seayouagain2_intermission_01_33,40025,event_seayouagain2_intermission_01,Narration,Narration,Locale_MainScenario:event_seayouagain2_intermission_01_33,False,,7,angry,,5,idle,,3,angry,,1,no,,13,no,,15,think,,17,angry,,19,idle,,black,black,1.0,sfx_scn_heavyhit,,,,,,,,,,,,,,
event_seayouagain2_intermission_01_34,40025,event_seayouagain2_intermission_01,Monologue,Monologue,Locale_MainScenario:event_seayouagain2_intermission_01_34,False,,7,angry,,5,idle,,3,angry,,1,no,,13,no,,15,think,,17,angry,,19,idle,,black,black,1.0,,,,,,,,,,,,,,,
event_seayouagain2_intermission_01_35,40025,event_seayouagain2_intermission_01,Speech,anis,Locale_MainScenario:event_seayouagain2_intermission_01_35,True,,7,angry,,5,idle,,3,angry,,1,no,,13,no,,15,think,,17,angry,,19,idle,,XS_70,XS_70,1.0,,,anis_s,,,,,,,,,,,,
event_seayouagain2_intermission_01_36,40025,event_seayouagain2_intermission_01,Speech,anis,Locale_MainScenario:event_seayouagain2_intermission_01_36,True,,7,angry,,5,idle,,3,angry,,1,no,,13,no,,15,think,,17,angry,,19,idle,,XS_70,XS_70,1.0,,,anis_s,,,,,,,,,,,,
