id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_ambient,play_bgm,play_sound
snowfall_speech_npc_day11_04_1,80903,snowfall_speech_npc_day11_04,Monologue,Locale_SubScenario:snowfall_speech_npc_day11_04_1,False,Trail_s,1,10,1.0,amb_so_trail_2,event_bgm_neverland_snowflakes_sunset,
snowfall_speech_npc_day11_04_2,80903,snowfall_speech_npc_day11_04,Monologue,Locale_SubScenario:snowfall_speech_npc_day11_04_2,False,,10,10,1.0,,,
snowfall_speech_npc_day11_04_3,80903,snowfall_speech_npc_day11_04,Narration,Locale_SubScenario:snowfall_speech_npc_day11_04_3,False,,10,10,1.0,,,sfx_scn_3step
snowfall_speech_npc_day11_04_4,80903,snowfall_speech_npc_day11_04,Monologue,Locale_SubScenario:snowfall_speech_npc_day11_04_4,False,,10,10,1.0,,,
snowfall_speech_npc_day11_04_5,80903,snowfall_speech_npc_day11_04,Narration,Locale_SubScenario:snowfall_speech_npc_day11_04_5,False,,10,10,1.0,,,sfx_scn_3step
snowfall_speech_npc_day11_04_6,80903,snowfall_speech_npc_day11_04,Monologue,Locale_SubScenario:snowfall_speech_npc_day11_04_6,False,,10,10,1.0,,,
snowfall_speech_npc_day11_04_7,80903,snowfall_speech_npc_day11_04,Narration,Locale_SubScenario:snowfall_speech_npc_day11_04_7,False,,10,10,1.0,,,sfx_scn_3step
snowfall_speech_npc_day11_04_8,80903,snowfall_speech_npc_day11_04,Monologue,Locale_SubScenario:snowfall_speech_npc_day11_04_8,False,,10,10,1.0,,,
snowfall_speech_npc_day11_04_9,80903,snowfall_speech_npc_day11_04,Monologue,Locale_SubScenario:snowfall_speech_npc_day11_04_9,False,,10,10,1.0,,,
snowfall_speech_npc_day11_04_10,80903,snowfall_speech_npc_day11_04,Monologue,Locale_SubScenario:snowfall_speech_npc_day11_04_10,False,,10,10,1.0,,,
snowfall_speech_npc_day11_04_11,80903,snowfall_speech_npc_day11_04,Monologue,Locale_SubScenario:snowfall_speech_npc_day11_04_11,False,,black,black,1.0,,,
