id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,highlight,fade,characters/2/hide_char_id,characters/0/hide_char_id,characters/1/hide_char_id,jump_target,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
event_coinsinrush1_06_s_1,40088,event_coinsinrush1_06_s,Narration,Locale_MainScenario:event_coinsinrush1_06_s_1,False,Corridor,1,1,1.0,sfx_scn_medhit2,none,,,,,,,,,,,,,,,,,,,
event_coinsinrush1_06_s_2,40088,event_coinsinrush1_06_s,Speech,Locale_MainScenario:event_coinsinrush1_06_s_2,False,,1,1,1.0,,,tatoobodyguard,,,,,,,,,,,,,,,,,,
event_coinsinrush1_06_s_3,40088,event_coinsinrush1_06_s,Speech,Locale_MainScenario:event_coinsinrush1_06_s_3,False,,1,1,1.0,,,scarbodyguard,,,,,,,,,,,,,,,,,,
event_coinsinrush1_06_s_4,40088,event_coinsinrush1_06_s,Monologue,Locale_MainScenario:event_coinsinrush1_06_s_4,False,EventScene_coinsinrush_03,black,black,1.0,,,,,,,,,,,,,,,,,,,,,
event_coinsinrush1_06_s_5,40088,event_coinsinrush1_06_s,Monologue,Locale_MainScenario:event_coinsinrush1_06_s_5,False,,black,black,1.0,,,,,,,,,,,,,,,,,,,,,
event_coinsinrush1_06_s_6,40088,event_coinsinrush1_06_s,Speech,Locale_MainScenario:event_coinsinrush1_06_s_6,True,,coinsinrush_04,coinsinrush_04,1.0,,event_bgm_mir_stage2,milk_b,,,,,,,,,,,,,,,,,,
event_coinsinrush1_06_s_7,40088,event_coinsinrush1_06_s,Speech,Locale_MainScenario:event_coinsinrush1_06_s_7,True,,coinsinrush_04,coinsinrush_04,1.0,,,ade_b,,,,,,,,,,,,,,,,,,
event_coinsinrush1_06_s_8,40088,event_coinsinrush1_06_s,Self,Locale_MainScenario:event_coinsinrush1_06_s_8,False,,coinsinrush_04,coinsinrush_05,0.5,,,,,,,,,,,,,,,,,,,,,
event_coinsinrush1_06_s_9,40088,event_coinsinrush1_06_s,Speech,Locale_MainScenario:event_coinsinrush1_06_s_9,True,,coinsinrush_05,coinsinrush_05,1.0,,,milk_b,,,,,,,,,,,,,,,,,,
event_coinsinrush1_06_s_10,40088,event_coinsinrush1_06_s,Narration,Locale_MainScenario:event_coinsinrush1_06_s_10,False,,coinsinrush_05,coinsinrush_05,1.0,sfx_scn_bodyhit,,,,,,,,,,,,,,,,,,,,
