id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/set_char_position,characters/8/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,characters/6/hide_char_id,characters/7/hide_char_id,characters/8/hide_char_id,fade,play_sound
event_beautyfullshot1_03_s_1,40051,event_beautyfullshot1_03_s,Monologue,sakura,Locale_MainScenario:event_beautyfullshot1_03_s_1,False,sakura_s,1,idle,rosanna_s,13,angry,viper_s,15,idle,anis_s,17,worry,neon_s,19,no,rapi_s,3,idle,maiden_s,5,idle,guilty_s,7,idle,mary_s,9,idle,UninhabitedIsland_d,113,113,1.0,event_bgm_beautyfullshot_seasidedance,,,,,,,,,,,,
event_beautyfullshot1_03_s_2,40051,event_beautyfullshot1_03_s,Monologue,sakura,Locale_MainScenario:event_beautyfullshot1_03_s_2,False,,1,idle,,13,angry,,15,idle,,17,worry,,19,no,,3,idle,,5,idle,,7,idle,,9,idle,,113,113,1.0,,,,,,,,,,,,,
event_beautyfullshot1_03_s_3,40051,event_beautyfullshot1_03_s,Self,sakura,Locale_MainScenario:event_beautyfullshot1_03_s_3,False,,1,idle,,13,angry,,15,idle,,17,worry,,19,no,,3,idle,,5,idle,,7,idle,,9,idle,,113,113,1.0,,,,,,,,,,,,,
event_beautyfullshot1_03_s_4,40051,event_beautyfullshot1_03_s,Self,sakura,Locale_MainScenario:event_beautyfullshot1_03_s_4,False,,1,idle,,13,angry,,15,idle,,17,worry,,19,no,,3,idle,,5,idle,,7,idle,,9,idle,,113,113,1.0,,,,,,,,,,,,,
event_beautyfullshot1_03_s_5,40051,event_beautyfullshot1_03_s,Speech,viper_s,Locale_MainScenario:event_beautyfullshot1_03_s_5,True,,1,idle,,13,angry,,15,idle,,17,worry,,19,no,,3,idle,,5,idle,,7,idle,,9,idle,,S_150,S_150,1.0,,viper_s,,,,,,,,,,,
event_beautyfullshot1_03_s_6,40051,event_beautyfullshot1_03_s,Speech,sakura_s,Locale_MainScenario:event_beautyfullshot1_03_s_6,True,,1,idle,,13,angry,,15,idle,,17,worry,,19,no,,3,idle,,5,idle,,7,idle,,9,idle,,10,10,1.0,,sakura_s,,,,,,,,,,,
event_beautyfullshot1_03_s_7,40051,event_beautyfullshot1_03_s,Speech,rosanna_s,Locale_MainScenario:event_beautyfullshot1_03_s_7,True,,1,idle,,13,angry,,15,idle,,17,worry,,19,no,,3,idle,,5,idle,,7,idle,,9,idle,,10,130,1.0,,rosanna_s,,,,,,,,,,,
event_beautyfullshot1_03_s_8,40051,event_beautyfullshot1_03_s,Speech,viper_s,Locale_MainScenario:event_beautyfullshot1_03_s_8,True,,1,idle,,13,angry,,15,idle,,17,worry,,19,no,,3,idle,,5,idle,,7,idle,,9,idle,,130,S_150,1.0,,viper_s,,,,,,,,,,,
event_beautyfullshot1_03_s_9,40051,event_beautyfullshot1_03_s,Speech,anis_s,Locale_MainScenario:event_beautyfullshot1_03_s_9,True,,1,idle,,13,angry,,15,idle,,17,worry,,19,no,,3,idle,,5,idle,,7,idle,,9,idle,,S_150,1719,1.0,,anis_s,,,,,,,,,,,
event_beautyfullshot1_03_s_10,40051,event_beautyfullshot1_03_s,Speech,neon_s,Locale_MainScenario:event_beautyfullshot1_03_s_10,True,,1,idle,,13,angry,,15,idle,,17,worry,,19,no,,3,idle,,5,idle,,7,idle,,9,idle,,1719,1719,1.0,,neon_s,,,,,,,,,,,
event_beautyfullshot1_03_s_11,40051,event_beautyfullshot1_03_s,Speech,maiden_s,Locale_MainScenario:event_beautyfullshot1_03_s_11,True,,1,idle,,13,angry,,15,idle,,17,idle,,19,no,,3,idle,,5,idle,,7,idle,,9,idle,,S_50,S_50,1.0,,maiden_s,,,,,,,,,,,
event_beautyfullshot1_03_s_12,40051,event_beautyfullshot1_03_s,Speech,rapi_s,Locale_MainScenario:event_beautyfullshot1_03_s_12,True,,1,idle,,13,angry,,15,idle,,17,idle,,19,idle,,3,idle,,5,idle,,7,idle,,9,idle,,S_50,53,1.0,,rapi_s,,,,,,,,,,,
event_beautyfullshot1_03_s_13,40051,event_beautyfullshot1_03_s,Speech,maiden_s,Locale_MainScenario:event_beautyfullshot1_03_s_13,True,,1,idle,,13,angry,,15,idle,,17,idle,,19,idle,,3,idle,,5,idle,,7,idle,,9,idle,,53,53,1.0,,maiden_s,,,,,,,,,,,
event_beautyfullshot1_03_s_14,40051,event_beautyfullshot1_03_s,Speech,mary_s,Locale_MainScenario:event_beautyfullshot1_03_s_14,True,,1,idle,,13,angry,,15,idle,,17,idle,,19,idle,,3,idle,,5,idle,,7,idle,,9,idle,,90,90,1.0,,mary_s,,,,,,,,,,,
event_beautyfullshot1_03_s_15,40051,event_beautyfullshot1_03_s,Speech,maiden_s,Locale_MainScenario:event_beautyfullshot1_03_s_15,True,,1,idle,,13,angry,,15,idle,,17,idle,,19,idle,,3,idle,,5,idle,,7,idle,,9,idle,,S_50,S_50,1.0,,maiden_s,,,,,,,,,,,
event_beautyfullshot1_03_s_16,40051,event_beautyfullshot1_03_s,Speech,mary_s,Locale_MainScenario:event_beautyfullshot1_03_s_16,True,,1,idle,,13,angry,,15,idle,,17,idle,,19,idle,,3,idle,,5,idle,,7,idle,,9,idle,,90,90,1.0,,mary_s,,,,,,,,,,,
event_beautyfullshot1_03_s_17,40051,event_beautyfullshot1_03_s,Speech,maiden_s,Locale_MainScenario:event_beautyfullshot1_03_s_17,True,,1,idle,,13,angry,,15,idle,,17,idle,,19,idle,,3,idle,,5,idle,,7,idle,,9,idle,,S_50,S_50,1.0,,maiden_s,,,,,,,,,,,
event_beautyfullshot1_03_s_18,40051,event_beautyfullshot1_03_s,Self,maiden_s,Locale_MainScenario:event_beautyfullshot1_03_s_18,False,,1,idle,,13,angry,,15,idle,,17,idle,,19,idle,,3,idle,,5,idle,,7,idle,,9,idle,,S_50,S_50,1.0,,,,,,,,,,,,,
event_beautyfullshot1_03_s_19,40051,event_beautyfullshot1_03_s,Speech,guilty_s,Locale_MainScenario:event_beautyfullshot1_03_s_19,True,,1,idle,,13,angry,,15,idle,,17,idle,,19,idle,,3,idle,,5,idle,,7,idle,,9,idle,,S_50,70,1.0,,guilty_s,,,,,,,,,,,
event_beautyfullshot1_03_s_20,40051,event_beautyfullshot1_03_s,Speech,maiden_s,Locale_MainScenario:event_beautyfullshot1_03_s_20,True,,1,idle,,13,angry,,15,idle,,17,idle,,19,idle,,3,idle,,5,idle,,7,idle,,9,idle,,70,75,1.0,,maiden_s,,,,,,,,,,,
event_beautyfullshot1_03_s_21,40051,event_beautyfullshot1_03_s,Speech,guilty_s,Locale_MainScenario:event_beautyfullshot1_03_s_21,False,,1,idle,,13,angry,,15,idle,,17,idle,,19,idle,,3,idle,,5,idle,,7,idle,,9,idle,,75,75,1.0,,guilty_s,,,,,,,,,,,
event_beautyfullshot1_03_s_22,40051,event_beautyfullshot1_03_s,Speech,guilty_s,Locale_MainScenario:event_beautyfullshot1_03_s_22,True,,1,idle,,13,angry,,15,idle,,17,idle,,19,idle,,3,idle,,5,idle,,7,idle,,9,idle,,75,75,1.0,,guilty_s,,,,,,,,,,,
event_beautyfullshot1_03_s_23,40051,event_beautyfullshot1_03_s,Speech,maiden_s,Locale_MainScenario:event_beautyfullshot1_03_s_23,False,,1,idle,,13,angry,,15,idle,,17,idle,,19,idle,,3,idle,,5,idle,,7,idle,,9,idle,,75,75,1.0,,maiden_s,,,,,,,,,,,
event_beautyfullshot1_03_s_24,40051,event_beautyfullshot1_03_s,Speech,guilty_s,Locale_MainScenario:event_beautyfullshot1_03_s_24,True,,1,idle,,13,angry,,15,idle,,17,idle,,19,idle,,3,idle,,5,idle,,7,idle,,9,idle,,75,75,1.0,,guilty_s,,,,,,,,,,,
event_beautyfullshot1_03_s_25,40051,event_beautyfullshot1_03_s,Speech,maiden_s,Locale_MainScenario:event_beautyfullshot1_03_s_25,True,,1,idle,,13,angry,,15,idle,,17,idle,,19,idle,,3,idle,,5,idle,,7,idle,,9,idle,,75,75,1.0,,maiden_s,,,,,,,,,,,
event_beautyfullshot1_03_s_26,40051,event_beautyfullshot1_03_s,Monologue,,Locale_MainScenario:event_beautyfullshot1_03_s_26,False,,1,idle,,13,angry,,3,idle,,17,idle,,19,idle,,3,idle,,1,idle,,3,idle,,9,idle,,black,black,1.0,none,,sakura_s,rosanna_s,viper_s,anis_s,neon_s,rapi_s,maiden_s,guilty_s,mary_s,,
