id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
event_hightechtoy_01_s_1,40002,event_hightechtoy_01_s,Speech,andersen,andersen,Locale_SubScenario:event_hightechtoy_01_s_1,True,Office,L_10,L_10,1.0,bgm_story_breakaway,,,andersen,1,idle,,,,,,,
event_hightechtoy_01_s_2,40002,event_hightechtoy_01_s,Speech,andersen,andersen,Locale_SubScenario:event_hightechtoy_01_s_2,True,,L_10,L_10,1.0,,,,,1,idle,,,,,,,
event_hightechtoy_01_s_3,40002,event_hightechtoy_01_s,Speech,andersen,andersen,Locale_SubScenario:event_hightechtoy_01_s_3,True,,L_10,L_10,1.0,,,,,1,idle,,,,,,,
event_hightechtoy_01_s_4,40002,event_hightechtoy_01_s,Self,,,Locale_SubScenario:event_hightechtoy_01_s_4,False,,L_10,L_10,1.0,,,,,1,idle,,,,,,,
event_hightechtoy_01_s_5,40002,event_hightechtoy_01_s,Speech,andersen,andersen,Locale_SubScenario:event_hightechtoy_01_s_5,True,,L_10,L_100,1.0,,,,,1,idle,,,,,,,
event_hightechtoy_01_s_6,40002,event_hightechtoy_01_s,Self,,,Locale_SubScenario:event_hightechtoy_01_s_6,False,,L_100,L_100,1.0,,,,,1,idle,,,,,,,
event_hightechtoy_01_s_7,40002,event_hightechtoy_01_s,Speech,andersen,andersen,Locale_SubScenario:event_hightechtoy_01_s_7,True,,L_100,L_100,1.0,,,,,1,idle,,,,,,,
event_hightechtoy_01_s_8,40002,event_hightechtoy_01_s,Speech,andersen,andersen,Locale_SubScenario:event_hightechtoy_01_s_8,True,,L_100,L_100,1.0,,,,,1,idle,,,,,,,
event_hightechtoy_01_s_9,40002,event_hightechtoy_01_s,Self,,,Locale_SubScenario:event_hightechtoy_01_s_9,False,,L_100,L_100,1.0,,,,,1,idle,,,,,,,
event_hightechtoy_01_s_10,40002,event_hightechtoy_01_s,Speech,andersen,andersen,Locale_SubScenario:event_hightechtoy_01_s_10,True,,L_100,L_10,1.0,,,,,1,idle,,,,,,,
event_hightechtoy_01_s_11,40002,event_hightechtoy_01_s,Speech,andersen,andersen,Locale_SubScenario:event_hightechtoy_01_s_11,True,,L_10,L_10,1.0,,,,,1,idle,,,,,,,
event_hightechtoy_01_s_12,40002,event_hightechtoy_01_s,Speech,andersen,andersen,Locale_SubScenario:event_hightechtoy_01_s_12,True,,L_10,L_10,1.0,,,,,1,idle,,,,,,,
event_hightechtoy_01_s_13,40002,event_hightechtoy_01_s,Self,,,Locale_SubScenario:event_hightechtoy_01_s_13,False,,L_10,L_10,1.0,,,,,1,idle,,,,,,,
event_hightechtoy_01_s_14,40002,event_hightechtoy_01_s,Speech,andersen,andersen,Locale_SubScenario:event_hightechtoy_01_s_14,True,,L_10,1,1.0,,,,,1,idle,,,,,,,
event_hightechtoy_01_s_15,40002,event_hightechtoy_01_s,Self,,,Locale_SubScenario:event_hightechtoy_01_s_15,False,,1,1,1.0,,,,,1,idle,,,,,,,
event_hightechtoy_01_s_16,40002,event_hightechtoy_01_s,Speech,andersen,andersen,Locale_SubScenario:event_hightechtoy_01_s_16,True,,1,1,1.0,,,,,1,idle,,,,,,,
event_hightechtoy_01_s_17,40002,event_hightechtoy_01_s,Speech,andersen,andersen,Locale_SubScenario:event_hightechtoy_01_s_17,True,,1,1,1.0,none,,,,1,idle,,,,,,,
event_hightechtoy_01_s_18,40002,event_hightechtoy_01_s,Self,,,Locale_SubScenario:event_hightechtoy_01_s_18,False,,1,1,1.0,,,,,1,idle,,,,,,,
event_hightechtoy_01_s_19,40002,event_hightechtoy_01_s,Speech,laplace,laplace,Locale_SubScenario:event_hightechtoy_01_s_19,True,CityForest_01,S_10,S_10,1.0,bgm_story_leisuretime,black,,laplace,1,delight,andersen,drake,13,idle,maxwell_w,15,idle
event_hightechtoy_01_s_20,40002,event_hightechtoy_01_s,Speech,drake,drake,Locale_SubScenario:event_hightechtoy_01_s_20,True,,130,130,1.0,,,,,1,delight,,,13,idle,,15,idle
event_hightechtoy_01_s_21,40002,event_hightechtoy_01_s,Choice,,,Locale_SubScenario:event_hightechtoy_01_s_21,False,,130,130,1.0,,,event_hightechtoy_01_s_23,,1,delight,,,13,idle,,15,idle
event_hightechtoy_01_s_22,40002,event_hightechtoy_01_s,Choice,,,Locale_SubScenario:event_hightechtoy_01_s_22,False,,130,130,1.0,,,event_hightechtoy_01_s_24,,1,delight,,,13,idle,,15,idle
event_hightechtoy_01_s_23,40002,event_hightechtoy_01_s,Speech,drake,drake,Locale_SubScenario:event_hightechtoy_01_s_23,True,,130,130,1.0,,,event_hightechtoy_01_s_26,,1,delight,,,13,idle,,15,idle
event_hightechtoy_01_s_24,40002,event_hightechtoy_01_s,Speech,drake,drake,Locale_SubScenario:event_hightechtoy_01_s_24,True,,130,130,1.0,,,,,1,delight,,,13,idle,,15,idle
event_hightechtoy_01_s_25,40002,event_hightechtoy_01_s,Speech,drake,drake,Locale_SubScenario:event_hightechtoy_01_s_25,True,,130,130,1.0,,,event_hightechtoy_01_s_26,,1,delight,,,13,idle,,15,idle
