id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,play_ambient,set_camera_shake,set_filter_01,set_filter_02,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
event_oldtales2_01_e_1,40062,event_oldtales2_01_e,Speech,CGresearcher,CGresearcher,Locale_MainScenario:event_oldtales2_01_e_1,True,TechIndoor,13,130,1.0,event_bgm_oldtales_beyond,,,,,,,,,,,abe,13,idle,
event_oldtales2_01_e_2,40062,event_oldtales2_01_e,Speech,CGresearcher,CGresearcher,Locale_MainScenario:event_oldtales2_01_e_2,True,,130,130,1.0,,,,,,,,,,,,,13,idle,
event_oldtales2_01_e_3,40062,event_oldtales2_01_e,Speech,abe,abe,Locale_MainScenario:event_oldtales2_01_e_3,True,,130,130,1.0,,,,,,,,,,,,,13,idle,
event_oldtales2_01_e_4,40062,event_oldtales2_01_e,Speech,abe,CGresearcher,Locale_MainScenario:event_oldtales2_01_e_4,False,,130,130,1.0,,,,,,,,,,,,,13,idle,
event_oldtales2_01_e_5,40062,event_oldtales2_01_e,Speech,abe,CGresearcher,Locale_MainScenario:event_oldtales2_01_e_5,False,,130,130,1.0,,,,,,,,,,,,,13,idle,
event_oldtales2_01_e_6,40062,event_oldtales2_01_e,Speech,abe,abe,Locale_MainScenario:event_oldtales2_01_e_6,True,,130,1300,0.7,,,,,,,,,,,,,13,think,
event_oldtales2_01_e_7,40062,event_oldtales2_01_e,Speech,abe,CGresearcher,Locale_MainScenario:event_oldtales2_01_e_7,False,,1300,1300,1.0,,,,,,,,,,,,,13,think,
event_oldtales2_01_e_8,40062,event_oldtales2_01_e,Speech,abe,abe,Locale_MainScenario:event_oldtales2_01_e_8,True,,1300,130,0.5,,,,,,,,,,,,,13,angry,
event_oldtales2_01_e_9,40062,event_oldtales2_01_e,Speech,abe,abe,Locale_MainScenario:event_oldtales2_01_e_9,True,,130,130,1.0,,,,,,,,,,,,,13,angry,
event_oldtales2_01_e_10,40062,event_oldtales2_01_e,Speech,abe,CGresearcher,Locale_MainScenario:event_oldtales2_01_e_10,False,,130,130,1.0,,,,,,,,,,,,,13,angry,
event_oldtales2_01_e_11,40062,event_oldtales2_01_e,Speech,abe,abe,Locale_MainScenario:event_oldtales2_01_e_11,True,,130,130,1.0,,,,,,,,,,,,,13,angry,
event_oldtales2_01_e_12,40062,event_oldtales2_01_e,Speech,abe,abe,Locale_MainScenario:event_oldtales2_01_e_12,True,,130,130,1.0,,,,,,,,,,,,,13,angry,
event_oldtales2_01_e_13,40062,event_oldtales2_01_e,Speech,abe,CGresearcher,Locale_MainScenario:event_oldtales2_01_e_13,False,,130,130,1.0,,,,,,,,,,,,,13,angry,
event_oldtales2_01_e_14,40062,event_oldtales2_01_e,Speech,abe,abe,Locale_MainScenario:event_oldtales2_01_e_14,True,,130,1300,1.0,,,,,,,,,,,,,13,surprise,
event_oldtales2_01_e_15,40062,event_oldtales2_01_e,Speech,abe,CGresearcher,Locale_MainScenario:event_oldtales2_01_e_15,False,,1300,1300,1.0,,,,,,,,,,,,,13,surprise,
event_oldtales2_01_e_16,40062,event_oldtales2_01_e,Speech,abe,abe,Locale_MainScenario:event_oldtales2_01_e_16,True,,1300,1300,1.0,,,,,,,,,,,,,13,surprise,
event_oldtales2_01_e_17,40062,event_oldtales2_01_e,Speech,abe,abe,Locale_MainScenario:event_oldtales2_01_e_17,True,,1300,1300,1.0,,,,,,,,,,,,,13,surprise,
event_oldtales2_01_e_18,40062,event_oldtales2_01_e,Speech,abe,abe,Locale_MainScenario:event_oldtales2_01_e_18,True,,1300,130,0.7,,,,,,,,,,,,,13,surprise,
event_oldtales2_01_e_19,40062,event_oldtales2_01_e,Speech,abe,CGresearcher,Locale_MainScenario:event_oldtales2_01_e_19,False,,130,130,1.0,,,,,,,,,,,,,13,surprise,
event_oldtales2_01_e_20,40062,event_oldtales2_01_e,Narration,abe,,Locale_MainScenario:event_oldtales2_01_e_20,False,Laboratory,black,black,1.0,,sfx_scn_autodooropen,,,,,,cinderella,1,pain,,,13,idle,abe
event_oldtales2_01_e_21,40062,event_oldtales2_01_e,Narration,abe,,Locale_MainScenario:event_oldtales2_01_e_21,False,,black,black,1.0,,,,,,,,,1,pain,,,,,
event_oldtales2_01_e_22,40062,event_oldtales2_01_e,Narration,abe,,Locale_MainScenario:event_oldtales2_01_e_22,False,,3,1,1.5,,,,,,,,,1,pain,,,,,
event_oldtales2_01_e_23,40062,event_oldtales2_01_e,Speech,abe,abe,Locale_MainScenario:event_oldtales2_01_e_23,False,,1,1,1.0,,,,,,,,,1,pain,,,,,
event_oldtales2_01_e_24,40062,event_oldtales2_01_e,Narration,abe,,Locale_MainScenario:event_oldtales2_01_e_24,False,,black,black,1.0,,,,,,,,,1,pain,,abe,13,think,
event_oldtales2_01_e_25,40062,event_oldtales2_01_e,Narration,abe,,Locale_MainScenario:event_oldtales2_01_e_25,False,,black,black,1.0,,,,,,,,,1,pain,,,13,think,
event_oldtales2_01_e_26,40062,event_oldtales2_01_e,Narration,cinderella,,Locale_MainScenario:event_oldtales2_01_e_26,False,,black,black,1.0,,,,,,,,,1,pain,,,13,think,
event_oldtales2_01_e_27,40062,event_oldtales2_01_e,Speech,abe,abe,Locale_MainScenario:event_oldtales2_01_e_27,False,,113,113,1.0,,,,,,,,,1,pain,,,13,think,
event_oldtales2_01_e_28,40062,event_oldtales2_01_e,Speech,cinderella,cinderella,Locale_MainScenario:event_oldtales2_01_e_28,False,,113,113,1.0,,,,,,,,,1,pain,,,13,think,
event_oldtales2_01_e_29,40062,event_oldtales2_01_e,Speech,abe,abe,Locale_MainScenario:event_oldtales2_01_e_29,True,,113,113,1.0,,,,,,,,,1,pain,,,13,worry,
event_oldtales2_01_e_30,40062,event_oldtales2_01_e,Speech,cinderella,cinderella,Locale_MainScenario:event_oldtales2_01_e_30,True,,113,113,1.0,,,,,,,,,1,pain,,,13,worry,
event_oldtales2_01_e_31,40062,event_oldtales2_01_e,Speech,abe,abe,Locale_MainScenario:event_oldtales2_01_e_31,True,,113,113,1.0,,,,,,,,,1,pain,,,13,worry,
event_oldtales2_01_e_32,40062,event_oldtales2_01_e,Speech,cinderella,cinderella,Locale_MainScenario:event_oldtales2_01_e_32,True,,113,113,1.0,,,,,,,,,1,pain,,,13,worry,
