id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,fade,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,play_sound
event_ce006_2_03_s_1,40080,event_ce006_2_03_s,Speech,elegg,elegg,Locale_MainScenario:event_ce006_2_03_s_1,True,elegg,2,worry,ce006_03,12,special,bunkerofartist,S_20,S_20,1.0,collab_bgm_sb_field_floodedcs_inst,,,,,,,,,,,,,,,,
event_ce006_2_03_s_2,40080,event_ce006_2_03_s,Speech,elegg,elegg,Locale_MainScenario:event_ce006_2_03_s_2,True,,2,idle,,12,special,,S_20,S_20,1.0,,,,,,,,,,,,,,,,,
event_ce006_2_03_s_3,40080,event_ce006_2_03_s,Speech,elegg,elegg,Locale_MainScenario:event_ce006_2_03_s_3,True,,2,idle,,12,special,,S_20,S_20,1.0,,,,,,,,,,,,,,,,,
event_ce006_2_03_s_4,40080,event_ce006_2_03_s,Speech,ce006_03,ce006_03,Locale_MainScenario:event_ce006_2_03_s_4,True,,2,idle,,12,special,,S_20,1,1.3,,,,,,,,,,,,,,,,,
event_ce006_2_03_s_5,40080,event_ce006_2_03_s,Speech,elegg,elegg,Locale_MainScenario:event_ce006_2_03_s_5,True,,2,idle,,12,special,,1,1,1.0,,,,,,,,,,,,,,,,,
event_ce006_2_03_s_6,40080,event_ce006_2_03_s,Speech,ce006_03,ce006_03,Locale_MainScenario:event_ce006_2_03_s_6,True,,2,idle,,12,no,,1,1,1.0,,,,,,,,,,,,,,,,,
event_ce006_2_03_s_7,40080,event_ce006_2_03_s,Speech,elegg,elegg,Locale_MainScenario:event_ce006_2_03_s_7,True,,2,idle,,12,no,,1,1,1.0,,,,,,,,,,,,,,,,,
event_ce006_2_03_s_8,40080,event_ce006_2_03_s,Speech,ce006_03,ce006_03,Locale_MainScenario:event_ce006_2_03_s_8,True,,2,idle,,12,no,,1,1,1.0,,,,,,,,,,,,,,,,,
event_ce006_2_03_s_9,40080,event_ce006_2_03_s,Speech,elegg,elegg,Locale_MainScenario:event_ce006_2_03_s_9,True,,2,idle,,12,no,,1,1,1.0,,,,,,,,,,,,,,,,,
event_ce006_2_03_s_10,40080,event_ce006_2_03_s,Speech,elegg,elegg,Locale_MainScenario:event_ce006_2_03_s_10,True,,2,idle,,12,no,,1,1,1.0,,,,,,,,,,,,,,,,,
event_ce006_2_03_s_11,40080,event_ce006_2_03_s,Speech,elegg,elegg,Locale_MainScenario:event_ce006_2_03_s_11,True,,2,idle,,12,no,,1,1,1.0,,,,,,,,,,,,,,,,,
event_ce006_2_03_s_12,40080,event_ce006_2_03_s,Speech,elegg,elegg,Locale_MainScenario:event_ce006_2_03_s_12,True,,2,idle,,12,no,,1,1,1.0,,,,,,,,,,,,,,,,,
event_ce006_2_03_s_13,40080,event_ce006_2_03_s,Speech,elegg,elegg,Locale_MainScenario:event_ce006_2_03_s_13,True,,2,idle,,12,no,,1,1,1.0,,,,,,,,,,,,,,,,,
event_ce006_2_03_s_14,40080,event_ce006_2_03_s,Speech,ce006_03,ce006_03,Locale_MainScenario:event_ce006_2_03_s_14,True,,2,idle,,12,no,,1,1,1.0,,,,,,,,,,,,,,,,,
event_ce006_2_03_s_15,40080,event_ce006_2_03_s,Speech,elegg,elegg,Locale_MainScenario:event_ce006_2_03_s_15,True,,2,idle,,12,no,,1,1,1.0,,,,,,,,,,,,,,,,,
event_ce006_2_03_s_16,40080,event_ce006_2_03_s,Speech,ce006_03,ce006_03,Locale_MainScenario:event_ce006_2_03_s_16,True,,2,idle,,12,no,,1,1,1.0,,,,,,,,,,,,,,,,,
event_ce006_2_03_s_17,40080,event_ce006_2_03_s,Speech,elegg,elegg,Locale_MainScenario:event_ce006_2_03_s_17,True,,2,idle,,12,no,,1,1,1.0,,,,,,,,,,,,,,,,,
event_ce006_2_03_s_18,40080,event_ce006_2_03_s,Speech,ce006_03,ce006_03,Locale_MainScenario:event_ce006_2_03_s_18,True,,2,idle,,12,no,,1,1,1.0,,,,,,,,,,,,,,,,,
event_ce006_2_03_s_19,40080,event_ce006_2_03_s,Speech,elegg,elegg,Locale_MainScenario:event_ce006_2_03_s_19,True,,2,idle,,12,no,,1,1,1.0,,,,,,,,,,,,,,,,,
event_ce006_2_03_s_20,40080,event_ce006_2_03_s,Speech,ce006_03,ce006_03,Locale_MainScenario:event_ce006_2_03_s_20,True,,2,idle,,12,special,,1,1,1.0,,,,,,,,,,,,,,,,,
event_ce006_2_03_s_21,40080,event_ce006_2_03_s,Speech,elegg,elegg,Locale_MainScenario:event_ce006_2_03_s_21,True,,2,delight,,12,special,,1,1,1.0,,,,,,,,,,,,,,,,,
