id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm
re_event_ce02_2_03_e_1,40083,re_event_ce02_2_03_e,Speech,ce_02_npc_01,ce_02_npc_01,Locale_SubScenario:event_ce02_2_03_e_1,True,neon,9,idle,anis,7,idle,rapi,5,idle,c1002_02,3,idle,b0006_02,1,idle,6000d_02,13,idle,ce_02_01,15,idle,ce_02_npc_01,17,surprise,Factory_n,16,16,1.0,event_bgm_ce002_story_2
re_event_ce02_2_03_e_2,40083,re_event_ce02_2_03_e,Speech,ce_02_01,ce_02_01,Locale_SubScenario:event_ce02_2_03_e_2,True,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,surprise,,16,16,1.0,
re_event_ce02_2_03_e_3,40083,re_event_ce02_2_03_e,Speech,ce_02_01,ce_02_01,Locale_SubScenario:event_ce02_2_03_e_3,True,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,surprise,,16,16,1.0,
re_event_ce02_2_03_e_4,40083,re_event_ce02_2_03_e,Speech,ce_02_npc_01,ce_02_npc_01,Locale_SubScenario:event_ce02_2_03_e_4,True,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,surprise,,16,170,0.7,
re_event_ce02_2_03_e_5,40083,re_event_ce02_2_03_e,Speech,ce_02_npc_01,ce_02_npc_01,Locale_SubScenario:event_ce02_2_03_e_5,True,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,think,,170,170,1.0,
re_event_ce02_2_03_e_6,40083,re_event_ce02_2_03_e,Speech,ce_02_01,ce_02_01,Locale_SubScenario:event_ce02_2_03_e_6,True,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,think,,170,150,0.7,
re_event_ce02_2_03_e_7,40083,re_event_ce02_2_03_e,Speech,ce_02_npc_01,ce_02_npc_01,Locale_SubScenario:event_ce02_2_03_e_7,True,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,think,,150,150,1.0,
re_event_ce02_2_03_e_8,40083,re_event_ce02_2_03_e,Speech,ce_02_01,ce_02_01,Locale_SubScenario:event_ce02_2_03_e_8,True,,9,idle,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,think,,150,150,1.0,
re_event_ce02_2_03_e_9,40083,re_event_ce02_2_03_e,Speech,anis,anis,Locale_SubScenario:event_ce02_2_03_e_9,True,,9,no,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,8,8,1.0,
re_event_ce02_2_03_e_10,40083,re_event_ce02_2_03_e,Speech,neon,neon,Locale_SubScenario:event_ce02_2_03_e_10,True,,9,no,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,8,8,1.0,
