id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake
event_ce_01_04_1,40008,event_ce_01_04,Speech,c_2,c_2,Locale_SubScenario:event_ce_01_04_1,True,neon,7,idle,rapi,5,idle,anis,3,idle,c_2,1,sad,c_3,13,idle,c_npc_1,15,idle,c_npc_2,17,idle,CityForest_03_d,12,12,1.0,bgm_story_tuffguys,
event_ce_01_04_2,40008,event_ce_01_04,Speech,c_3,c_3,Locale_SubScenario:event_ce_01_04_2,True,,7,idle,,5,idle,,3,idle,,1,sad,,13,surprise,,15,idle,,17,idle,,12,12,1.0,,
event_ce_01_04_3,40008,event_ce_01_04,Speech,c_2,c_2,Locale_SubScenario:event_ce_01_04_3,True,,7,idle,,5,idle,,3,idle,,1,sad,,13,surprise,,15,idle,,17,idle,,12,10,1.0,,
event_ce_01_04_4,40008,event_ce_01_04,Speech,c_3,c_3,Locale_SubScenario:event_ce_01_04_4,True,,7,idle,,5,idle,,3,idle,,1,sad,,13,surprise,,15,idle,,17,idle,,10,10,1.0,,
event_ce_01_04_5,40008,event_ce_01_04,Speech,c_2,c_2,Locale_SubScenario:event_ce_01_04_5,True,,7,idle,,5,idle,,3,idle,,1,sad,,13,surprise,,15,idle,,17,idle,,10,10,1.0,,
event_ce_01_04_6,40008,event_ce_01_04,Speech,c_2,c_2,Locale_SubScenario:event_ce_01_04_6,True,,7,idle,,5,idle,,3,idle,,1,angry,,13,surprise,,15,idle,,17,idle,,10,16,1.0,,
event_ce_01_04_7,40008,event_ce_01_04,Speech,c_npc_2,c_npc_2,Locale_SubScenario:event_ce_01_04_7,True,,7,idle,,5,idle,,3,idle,,1,angry,,13,idle,,15,idle,,17,idle,,16,16,1.0,,
event_ce_01_04_8,40008,event_ce_01_04,Speech,c_npc_1,c_npc_1,Locale_SubScenario:event_ce_01_04_8,True,,7,idle,,5,idle,,3,idle,,1,angry,,13,idle,,15,surprise,,17,idle,,16,16,1.0,,
event_ce_01_04_9,40008,event_ce_01_04,Speech,c_2,c_2,Locale_SubScenario:event_ce_01_04_9,True,,7,idle,,5,idle,,3,idle,,1,sad,,13,idle,,15,surprise,,17,idle,,10,10,1.0,,
event_ce_01_04_10,40008,event_ce_01_04,Speech,c_npc_2,c_npc_2,Locale_SubScenario:event_ce_01_04_10,True,,7,idle,,5,idle,,3,idle,,1,sad,,13,idle,,15,idle,,17,surprise,,170,170,1.0,,
event_ce_01_04_11,40008,event_ce_01_04,Speech,c_2,c_2,Locale_SubScenario:event_ce_01_04_11,True,,7,idle,,5,idle,,3,idle,,1,angry,,13,idle,,15,idle,,17,surprise,,10,10,1.0,,
