id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,set_camera_shake,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
event_bowwowparadise_03_s_1,40010,event_bowwowparadise_03_s,Narration,Narration,Locale_SubScenario:event_bowwowparadise_03_s_1,False,ShoppingMall,13,13,1.0,sfx_scn_bottlebreak,bgm_story_tomboyprincess,Low_2,,,,,max,1,idle,,puppies,13,delight,
event_bowwowparadise_03_s_2,40010,event_bowwowparadise_03_s,Narration,Narration,Locale_SubScenario:event_bowwowparadise_03_s_2,False,,13,13,1.0,sfx_scn_heavytrip,,Low_2,,,,,,1,idle,,,13,delight,
event_bowwowparadise_03_s_3,40010,event_bowwowparadise_03_s,Speech,maam,Locale_SubScenario:event_bowwowparadise_03_s_3,True,,13,XS_130,1.0,,,,maam,,,,,1,idle,,,13,delight,
event_bowwowparadise_03_s_4,40010,event_bowwowparadise_03_s,Narration,Narration,Locale_SubScenario:event_bowwowparadise_03_s_4,False,,XS_130,XS_130,1.0,sfx_scn_dogyummy,,,,,,,,1,idle,,,13,delight,
event_bowwowparadise_03_s_5,40010,event_bowwowparadise_03_s,Speech,staff,Locale_SubScenario:event_bowwowparadise_03_s_5,True,,XS_130,XS_130,1.0,,,,staff,,,,,1,idle,,,13,delight,
event_bowwowparadise_03_s_6,40010,event_bowwowparadise_03_s,Speech,citizen,Locale_SubScenario:event_bowwowparadise_03_s_6,True,,XS_130,XS_130,1.0,,,,citizen,,,,,1,idle,,,13,delight,
event_bowwowparadise_03_s_7,40010,event_bowwowparadise_03_s,Monologue,Monologue,Locale_SubScenario:event_bowwowparadise_03_s_7,False,,XS_130,12,1.0,,,,,biscuit,3,angry,,1,idle,,,13,delight,
event_bowwowparadise_03_s_8,40010,event_bowwowparadise_03_s,Narration,Narration,Locale_SubScenario:event_bowwowparadise_03_s_8,False,,3,XS_30,0.7,sfx_scn_pipe,,,,,3,angry,,1,idle,,,13,delight,
event_bowwowparadise_03_s_9,40010,event_bowwowparadise_03_s,Speech,biscuit,Locale_SubScenario:event_bowwowparadise_03_s_9,True,,XS_30,2,0.3,,,,biscuit,,3,angry,,1,idle,,,13,delight,
event_bowwowparadise_03_s_10,40010,event_bowwowparadise_03_s,Speech,max,Locale_SubScenario:event_bowwowparadise_03_s_10,False,,2,2,1.0,,,,max,,3,angry,,1,idle,,,13,delight,
event_bowwowparadise_03_s_11,40010,event_bowwowparadise_03_s,Narration,Narration,Locale_SubScenario:event_bowwowparadise_03_s_11,False,,2,2,1.0,,,,,,3,angry,,13,idle,max,,13,delight,
event_bowwowparadise_03_s_12,40010,event_bowwowparadise_03_s,Narration,Narration,Locale_SubScenario:event_bowwowparadise_03_s_12,False,,black,black,1.0,sfx_scn_dogrun,,,,,3,angry,,,,,,13,delight,
event_bowwowparadise_03_s_13,40010,event_bowwowparadise_03_s,Monologue,Monologue,Locale_SubScenario:event_bowwowparadise_03_s_13,False,,black,black,1.0,,,,,,3,angry,,,,,,13,delight,
event_bowwowparadise_03_s_14,40010,event_bowwowparadise_03_s,Speech,biscuit,Locale_SubScenario:event_bowwowparadise_03_s_14,True,,XS_30,XS_30,1.0,,,,biscuit,,3,angry,,,,,,13,delight,
event_bowwowparadise_03_s_15,40010,event_bowwowparadise_03_s,Narration,Narration,Locale_SubScenario:event_bowwowparadise_03_s_15,False,,XS_30,3,0.3,sfx_scn_heavytrip,,,,,3,angry,,,,,,13,delight,
event_bowwowparadise_03_s_16,40010,event_bowwowparadise_03_s,Self,Self,Locale_SubScenario:event_bowwowparadise_03_s_16,False,,3,3,1.0,,,,,,3,angry,,,,,,13,delight,
