id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,jump_target,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
event_onemoretime_03_e_1,40044,event_onemoretime_03_e,Speech,bay,bay,Locale_SubScenario:event_onemoretime_03_e_1,True,SchoolCorridor,10,10,1.0,none,,,,bay,1,idle,,,,,,,
event_onemoretime_03_e_2,40044,event_onemoretime_03_e,Narration,bay,,Locale_SubScenario:event_onemoretime_03_e_2,False,,10,13,1.0,bgm_story_girlstalk,sfx_scn_slidingdoor,,,,1,idle,,,,,poli_c,13,idle
event_onemoretime_03_e_3,40044,event_onemoretime_03_e,Speech,poli_c,poli_c,Locale_SubScenario:event_onemoretime_03_e_3,True,,13,13,1.0,,,,,,1,idle,,,,,,13,idle
event_onemoretime_03_e_4,40044,event_onemoretime_03_e,Speech,poli_c,poli_c,Locale_SubScenario:event_onemoretime_03_e_4,True,,13,13,1.0,,,,,,1,idle,,,,,,13,idle
event_onemoretime_03_e_5,40044,event_onemoretime_03_e,Speech,poli_c,poli_c,Locale_SubScenario:event_onemoretime_03_e_5,True,,13,13,1.0,,,,,,1,idle,,,,,,13,idle
event_onemoretime_03_e_6,40044,event_onemoretime_03_e,Speech,bay,bay,Locale_SubScenario:event_onemoretime_03_e_6,True,,13,13,1.0,,,,,,1,idle,,,,,,13,idle
event_onemoretime_03_e_7,40044,event_onemoretime_03_e,Choice,bay,,Locale_SubScenario:event_onemoretime_03_e_7,False,,13,13,1.0,,,event_onemoretime_03_e_9,,,1,idle,,,,,,13,idle
event_onemoretime_03_e_8,40044,event_onemoretime_03_e,Choice,bay,,Locale_SubScenario:event_onemoretime_03_e_8,False,,13,13,1.0,,,event_onemoretime_03_e_10,,,1,idle,,,,,,13,idle
event_onemoretime_03_e_9,40044,event_onemoretime_03_e,Speech,poli_c,poli_c,Locale_SubScenario:event_onemoretime_03_e_9,True,,13,XS_130,1.0,,,event_onemoretime_03_e_12,,,1,idle,,,,,,13,delight
event_onemoretime_03_e_10,40044,event_onemoretime_03_e,Speech,poli_c,poli_c,Locale_SubScenario:event_onemoretime_03_e_10,True,,13,XS_130,1.0,,,,,,1,idle,,,,,,13,angry
event_onemoretime_03_e_11,40044,event_onemoretime_03_e,Speech,poli_c,poli_c,Locale_SubScenario:event_onemoretime_03_e_11,True,,XS_130,XS_130,1.0,,,,,,1,idle,,,,,,13,angry
event_onemoretime_03_e_12,40044,event_onemoretime_03_e,Speech,bay,bay,Locale_SubScenario:event_onemoretime_03_e_12,True,,10,10,1.0,,,,,,1,idle,,,,,,13,idle
event_onemoretime_03_e_13,40044,event_onemoretime_03_e,Speech,bay,bay,Locale_SubScenario:event_onemoretime_03_e_13,True,,10,10,1.0,,,,,,1,idle,,,,,,13,idle
event_onemoretime_03_e_14,40044,event_onemoretime_03_e,Self,bay,,Locale_SubScenario:event_onemoretime_03_e_14,False,,10,10,1.0,,,,,,1,idle,,,,,,13,idle
event_onemoretime_03_e_15,40044,event_onemoretime_03_e,Speech,bay,bay,Locale_SubScenario:event_onemoretime_03_e_15,True,,10,10,1.0,,,,,,1,idle,,,,,,13,idle
event_onemoretime_03_e_16,40044,event_onemoretime_03_e,Speech,bay,bay,Locale_SubScenario:event_onemoretime_03_e_16,True,,10,100,1.0,,,,,,1,idle,,,,,,13,idle
event_onemoretime_03_e_17,40044,event_onemoretime_03_e,Self,bay,,Locale_SubScenario:event_onemoretime_03_e_17,False,,100,100,1.0,,,,,,1,idle,,,,,,13,idle
event_onemoretime_03_e_18,40044,event_onemoretime_03_e,Speech,bay,bay,Locale_SubScenario:event_onemoretime_03_e_18,True,,100,100,1.0,,,,,,1,idle,,,,,,13,idle
event_onemoretime_03_e_19,40044,event_onemoretime_03_e,Speech,bay,bay,Locale_SubScenario:event_onemoretime_03_e_19,True,,100,100,1.0,,,,,,1,idle,,,,,,13,idle
event_onemoretime_03_e_20,40044,event_onemoretime_03_e,Speech,bay,bay,Locale_SubScenario:event_onemoretime_03_e_20,True,,100,100,1.0,,,,,,1,worry,,,,,,13,idle
event_onemoretime_03_e_21,40044,event_onemoretime_03_e,Speech,bay,bay,Locale_SubScenario:event_onemoretime_03_e_21,False,,100,10,1.0,,,,,,1,worry,,,,,,13,idle
event_onemoretime_03_e_22,40044,event_onemoretime_03_e,Speech,bay,bay,Locale_SubScenario:event_onemoretime_03_e_22,True,,10,10,1.0,,,,,,1,idle,,,,,,13,idle
