id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,play_sound,set_camera_shake,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
event_jinxplayer_03_e_1,40058,event_jinxplayer_03_e,Monologue,Monologue,Locale_SubScenario:event_jinxplayer_03_e_1,False,ShoppingMall,black,black,1.0,none,,,,,rouge,3,surprise,
event_jinxplayer_03_e_2,40058,event_jinxplayer_03_e,Speech,rouge,Locale_SubScenario:event_jinxplayer_03_e_2,True,,3,3,1.0,bgm_story_heynewbie,rouge,,,,,3,surprise,
event_jinxplayer_03_e_3,40058,event_jinxplayer_03_e,Self,Self,Locale_SubScenario:event_jinxplayer_03_e_3,False,,3,3,1.0,,,,,,,3,surprise,
event_jinxplayer_03_e_4,40058,event_jinxplayer_03_e,Speech,rouge,Locale_SubScenario:event_jinxplayer_03_e_4,True,,3,3,1.0,,rouge,,,,,3,think,
event_jinxplayer_03_e_5,40058,event_jinxplayer_03_e,Speech,rouge,Locale_SubScenario:event_jinxplayer_03_e_5,True,,3,3,1.0,,rouge,,,,,3,think,
event_jinxplayer_03_e_6,40058,event_jinxplayer_03_e,Speech,rouge,Locale_SubScenario:event_jinxplayer_03_e_6,True,,3,3,1.0,,rouge,,,,,3,sad,
event_jinxplayer_03_e_7,40058,event_jinxplayer_03_e,Speech,rouge,Locale_SubScenario:event_jinxplayer_03_e_7,True,,3,3,1.0,,rouge,,,,,3,sad,
event_jinxplayer_03_e_8,40058,event_jinxplayer_03_e,Self,Self,Locale_SubScenario:event_jinxplayer_03_e_8,False,,3,3,1.0,,,,,,,3,sad,
event_jinxplayer_03_e_9,40058,event_jinxplayer_03_e,Speech,rouge,Locale_SubScenario:event_jinxplayer_03_e_9,True,,3,3,1.0,,rouge,,,,,3,sad,
event_jinxplayer_03_e_10,40058,event_jinxplayer_03_e,Self,Self,Locale_SubScenario:event_jinxplayer_03_e_10,False,,3,3,1.0,,,,,,,3,sad,
event_jinxplayer_03_e_11,40058,event_jinxplayer_03_e,Speech,rouge,Locale_SubScenario:event_jinxplayer_03_e_11,True,,3,30,1.0,,rouge,,,,,3,think,
event_jinxplayer_03_e_12,40058,event_jinxplayer_03_e,Speech,rouge,Locale_SubScenario:event_jinxplayer_03_e_12,True,,30,30,1.0,,rouge,,,,,3,think,
event_jinxplayer_03_e_13,40058,event_jinxplayer_03_e,Monologue,Monologue,Locale_SubScenario:event_jinxplayer_03_e_13,False,,black,black,1.0,,,,,,,3,think,
event_jinxplayer_03_e_14,40058,event_jinxplayer_03_e,Self,Self,Locale_SubScenario:event_jinxplayer_03_e_14,False,,30,30,1.0,,,,,,,3,think,
event_jinxplayer_03_e_15,40058,event_jinxplayer_03_e,Speech,rouge,Locale_SubScenario:event_jinxplayer_03_e_15,True,,30,30,1.0,,rouge,,,,,3,idle,
event_jinxplayer_03_e_16,40058,event_jinxplayer_03_e,Narration,Narration,Locale_SubScenario:event_jinxplayer_03_e_16,False,,17,17,1.0,,,sfx_scn_gamefight,,,,3,idle,
event_jinxplayer_03_e_17,40058,event_jinxplayer_03_e,Narration,Narration,Locale_SubScenario:event_jinxplayer_03_e_17,False,,17,170,0.3,,,sfx_scn_medhit2,,,,3,idle,
event_jinxplayer_03_e_18,40058,event_jinxplayer_03_e,Narration,Narration,Locale_SubScenario:event_jinxplayer_03_e_18,False,,170,170,1.0,,,sfx_scn_gameknockout,,,,3,idle,
event_jinxplayer_03_e_19,40058,event_jinxplayer_03_e,Monologue,Monologue,Locale_SubScenario:event_jinxplayer_03_e_19,False,,170,170,1.0,,,,,,,3,idle,
event_jinxplayer_03_e_20,40058,event_jinxplayer_03_e,Self,Self,Locale_SubScenario:event_jinxplayer_03_e_20,False,,30,30,1.0,,,,,,,3,idle,
event_jinxplayer_03_e_21,40058,event_jinxplayer_03_e,Self,Self,Locale_SubScenario:event_jinxplayer_03_e_21,False,,30,30,1.0,,,,,,,3,idle,
event_jinxplayer_03_e_22,40058,event_jinxplayer_03_e,Speech,rouge,Locale_SubScenario:event_jinxplayer_03_e_22,True,,30,30,1.0,,rouge,,,,,3,idle,
