id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,speaker,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
event_onemoretime_05_e_1,40044,event_onemoretime_05_e,Monologue,clay,Locale_SubScenario:event_onemoretime_05_e_1,False,Park_n,black,black,1.0,none,,,,bay,1,idle,clay,3,idle
event_onemoretime_05_e_2,40044,event_onemoretime_05_e,Narration,clay,Locale_SubScenario:event_onemoretime_05_e_2,False,,17,170,0.5,,sfx_scn_clothrustle,,,,1,idle,,3,idle
event_onemoretime_05_e_3,40044,event_onemoretime_05_e,Narration,clay,Locale_SubScenario:event_onemoretime_05_e_3,False,,170,17,0.3,,,,,,1,idle,,3,idle
event_onemoretime_05_e_4,40044,event_onemoretime_05_e,Speech,clay,Locale_SubScenario:event_onemoretime_05_e_4,True,,2,2,1.0,,,clay,,,1,surprise,,3,surprise
event_onemoretime_05_e_5,40044,event_onemoretime_05_e,Speech,bay,Locale_SubScenario:event_onemoretime_05_e_5,True,,2,2,1.0,,,bay,,,1,surprise,,3,surprise
event_onemoretime_05_e_6,40044,event_onemoretime_05_e,Monologue,bay,Locale_SubScenario:event_onemoretime_05_e_6,False,,2,2,1.0,bgm_story_inwonderland,,,,,1,surprise,,3,surprise
event_onemoretime_05_e_7,40044,event_onemoretime_05_e,Speech,clay,Locale_SubScenario:event_onemoretime_05_e_7,True,,2,2,1.0,,,clay,,,1,surprise,,3,special
event_onemoretime_05_e_8,40044,event_onemoretime_05_e,Monologue,clay,Locale_SubScenario:event_onemoretime_05_e_8,False,,2,2,1.0,,,,,,1,surprise,,3,special
event_onemoretime_05_e_9,40044,event_onemoretime_05_e,Speech,bay,Locale_SubScenario:event_onemoretime_05_e_9,True,,2,2,1.0,,,bay,,,1,delight,,3,special
event_onemoretime_05_e_10,40044,event_onemoretime_05_e,Narration,bay,Locale_SubScenario:event_onemoretime_05_e_10,False,,black,black,1.0,,,,,,1,delight,,3,special
event_onemoretime_05_e_11,40044,event_onemoretime_05_e,Monologue,bay,Locale_SubScenario:event_onemoretime_05_e_11,False,,black,black,1.0,,,,,,1,delight,,3,special
event_onemoretime_05_e_12,40044,event_onemoretime_05_e,Speech,bay,Locale_SubScenario:event_onemoretime_05_e_12,True,,10,10,1.0,,,bay,,,1,worry,,3,special
event_onemoretime_05_e_13,40044,event_onemoretime_05_e,Narration,bay,Locale_SubScenario:event_onemoretime_05_e_13,False,,10,10,1.0,,,,,,1,worry,,3,special
event_onemoretime_05_e_14,40044,event_onemoretime_05_e,Monologue,bay,Locale_SubScenario:event_onemoretime_05_e_14,False,,10,10,1.0,,,,,,1,worry,,3,special
event_onemoretime_05_e_15,40044,event_onemoretime_05_e,Speech,clay,Locale_SubScenario:event_onemoretime_05_e_15,True,,30,30,1.0,,,clay,,,1,worry,,3,delight
event_onemoretime_05_e_16,40044,event_onemoretime_05_e,Speech,clay,Locale_SubScenario:event_onemoretime_05_e_16,True,,30,30,1.0,,,clay,,,1,worry,,3,delight
event_onemoretime_05_e_17,40044,event_onemoretime_05_e,Speech,bay,Locale_SubScenario:event_onemoretime_05_e_17,True,,30,2,1.0,,,bay,,,1,worry,,3,idle
event_onemoretime_05_e_18,40044,event_onemoretime_05_e,Speech,bay,Locale_SubScenario:event_onemoretime_05_e_18,True,,2,2,1.0,,,bay,,,1,sad,,3,idle
event_onemoretime_05_e_19,40044,event_onemoretime_05_e,Speech,clay,Locale_SubScenario:event_onemoretime_05_e_19,True,,2,2,1.0,,,clay,,,1,sad,,3,surprise
event_onemoretime_05_e_20,40044,event_onemoretime_05_e,Speech,bay,Locale_SubScenario:event_onemoretime_05_e_20,True,,2,2,1.0,,,bay,,,1,sad,,3,surprise
event_onemoretime_05_e_21,40044,event_onemoretime_05_e,Speech,bay,Locale_SubScenario:event_onemoretime_05_e_21,True,,2,10,1.0,,,bay,,,1,sad,,3,surprise
event_onemoretime_05_e_22,40044,event_onemoretime_05_e,Speech,bay,Locale_SubScenario:event_onemoretime_05_e_22,True,,10,10,1.0,,,bay,,,1,sad,,3,idle
event_onemoretime_05_e_23,40044,event_onemoretime_05_e,Speech,bay,Locale_SubScenario:event_onemoretime_05_e_23,True,,10,10,1.0,,,bay,,,1,sad,,3,idle
event_onemoretime_05_e_24,40044,event_onemoretime_05_e,Speech,bay,Locale_SubScenario:event_onemoretime_05_e_24,True,,10,10,1.0,,,bay,,,1,sad,,3,idle
