id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/2/hide_char_id,characters/3/hide_char_id
event_neverland1_06_e_1,40034,event_neverland1_06_e,Monologue,Locale_MainScenario:event_neverland1_06_e_1,False,belorta,13,idle,mica_w,1,idle,HotSpringInnIn_s,12,12,1.0,sfx_scn_naturalfootstep,event_bgm_neverland_snowflakes_night,,,,,,,,,,,,,
event_neverland1_06_e_2,40034,event_neverland1_06_e,Speech,Locale_MainScenario:event_neverland1_06_e_2,True,,13,idle,,1,idle,,12,12,1.0,,,belorta,belorta,,,,,,,,,,,
event_neverland1_06_e_3,40034,event_neverland1_06_e,Speech,Locale_MainScenario:event_neverland1_06_e_3,True,,13,idle,,1,idle,,12,L_30,1.0,,,blanc_c,blanc_c,blanc_c,3,idle,emma,5,idle,,,,,
event_neverland1_06_e_4,40034,event_neverland1_06_e,Speech,Locale_MainScenario:event_neverland1_06_e_4,True,,13,idle,,1,idle,,L_30,L_30,1.0,,,blanc_c,blanc_c,,3,idle,,5,idle,,,,,
event_neverland1_06_e_5,40034,event_neverland1_06_e,Speech,Locale_MainScenario:event_neverland1_06_e_5,True,,13,idle,,1,idle,,L_30,L_30,1.0,,,blanc_c,blanc_c,,3,idle,,5,idle,,,,,
event_neverland1_06_e_6,40034,event_neverland1_06_e,Speech,Locale_MainScenario:event_neverland1_06_e_6,True,,13,idle,,1,idle,,L_30,50,1.0,,,emma,emma,,3,idle,,5,idle,,,,,
event_neverland1_06_e_7,40034,event_neverland1_06_e,Speech,Locale_MainScenario:event_neverland1_06_e_7,True,,13,idle,,1,idle,,50,XS_130,1.0,,,belorta,belorta,,3,idle,,5,idle,,,,,
event_neverland1_06_e_8,40034,event_neverland1_06_e,Speech,Locale_MainScenario:event_neverland1_06_e_8,True,,13,idle,,1,idle,,XS_130,XS_130,1.0,,,belorta,belorta,,3,idle,,5,idle,,,,,
event_neverland1_06_e_9,40034,event_neverland1_06_e,Speech,Locale_MainScenario:event_neverland1_06_e_9,True,,13,idle,,1,idle,,XS_130,150,1.0,,,ludmilla_w,ludmilla_w,,3,idle,,5,idle,ludmilla_w,15,think,,
event_neverland1_06_e_10,40034,event_neverland1_06_e,Speech,Locale_MainScenario:event_neverland1_06_e_10,True,,13,idle,,1,idle,,150,14,1.0,,,belorta,belorta,,3,idle,,5,idle,,15,think,blanc_c,emma
event_neverland1_06_e_11,40034,event_neverland1_06_e,Speech,Locale_MainScenario:event_neverland1_06_e_11,True,,13,idle,,1,idle,,14,14,1.0,,,ludmilla_w,ludmilla_w,,,,,,,,15,think,,
event_neverland1_06_e_12,40034,event_neverland1_06_e,Speech,Locale_MainScenario:event_neverland1_06_e_12,True,,13,idle,,1,idle,,14,14,1.0,,,belorta,belorta,,,,,,,,15,think,,
event_neverland1_06_e_13,40034,event_neverland1_06_e,Speech,Locale_MainScenario:event_neverland1_06_e_13,True,,13,idle,,1,idle,,14,14,1.0,,,belorta,belorta,,,,,,,,15,think,,
event_neverland1_06_e_14,40034,event_neverland1_06_e,Speech,Locale_MainScenario:event_neverland1_06_e_14,True,,13,idle,,1,idle,,14,14,1.0,,,belorta,belorta,,,,,,,,15,think,,
event_neverland1_06_e_15,40034,event_neverland1_06_e,Speech,Locale_MainScenario:event_neverland1_06_e_15,True,,13,idle,,1,idle,,14,S_10,1.0,,,mica_w,mica_w,,,,,,,,15,think,,
event_neverland1_06_e_16,40034,event_neverland1_06_e,Speech,Locale_MainScenario:event_neverland1_06_e_16,True,,13,idle,,1,idle,,S_10,150,1.0,,,ludmilla_w,ludmilla_w,,,,,,,,15,think,,
event_neverland1_06_e_17,40034,event_neverland1_06_e,Speech,Locale_MainScenario:event_neverland1_06_e_17,True,,13,idle,,1,idle,,150,150,1.0,,,ludmilla_w,ludmilla_w,,,,,,,,15,think,,
event_neverland1_06_e_18,40034,event_neverland1_06_e,Speech,Locale_MainScenario:event_neverland1_06_e_18,True,,13,idle,,1,idle,,150,XS_130,1.0,,,belorta,belorta,,,,,,,,15,think,,
event_neverland1_06_e_19,40034,event_neverland1_06_e,Speech,Locale_MainScenario:event_neverland1_06_e_19,True,,13,idle,,1,idle,,XS_130,XS_130,1.0,,,belorta,belorta,,,,,,,,15,think,,
event_neverland1_06_e_20,40034,event_neverland1_06_e,Speech,Locale_MainScenario:event_neverland1_06_e_20,True,,13,idle,,1,idle,,XS_130,XS_130,1.0,,,belorta,belorta,,,,,,,,15,think,,
event_neverland1_06_e_21,40034,event_neverland1_06_e,Speech,Locale_MainScenario:event_neverland1_06_e_21,True,,13,delight,,1,idle,,XS_130,XS_1300,0.6,,,belorta,belorta,,,,,,,,15,think,,
event_neverland1_06_e_22,40034,event_neverland1_06_e,Speech,Locale_MainScenario:event_neverland1_06_e_22,True,,13,delight,,1,idle,,XS_1300,XS_1300,1.0,,,belorta,belorta,,,,,,,,15,think,,
event_neverland1_06_e_23,40034,event_neverland1_06_e,Speech,Locale_MainScenario:event_neverland1_06_e_23,True,,13,delight,,1,idle,,XS_1300,XS_1300,1.0,,,belorta,belorta,,,,,,,,15,think,,
event_neverland1_06_e_24,40034,event_neverland1_06_e,Speech,Locale_MainScenario:event_neverland1_06_e_24,True,,13,worry,,1,idle,,XS_1300,XS_1300,1.0,,,belorta,belorta,,,,,,,,15,think,,
event_neverland1_06_e_25,40034,event_neverland1_06_e,Speech,Locale_MainScenario:event_neverland1_06_e_25,True,,13,worry,,1,idle,,XS_1300,XS_1300,1.0,,,belorta,belorta,,,,,,,,15,think,,
event_neverland1_06_e_26,40034,event_neverland1_06_e,Speech,Locale_MainScenario:event_neverland1_06_e_26,True,,13,worry,,1,idle,,XS_1300,S_10,1.0,,,mica_w,mica_w,,,,,,,,15,think,,
event_neverland1_06_e_27,40034,event_neverland1_06_e,Speech,Locale_MainScenario:event_neverland1_06_e_27,True,,13,worry,,1,idle,,S_10,150,1.0,,,ludmilla_w,ludmilla_w,,,,,,,,15,think,,
event_neverland1_06_e_28,40034,event_neverland1_06_e,Speech,Locale_MainScenario:event_neverland1_06_e_28,True,,13,idle,,1,idle,,150,150,1.0,,,ludmilla_w,ludmilla_w,,,,,,,,15,think,,
event_neverland1_06_e_29,40034,event_neverland1_06_e,Speech,Locale_MainScenario:event_neverland1_06_e_29,True,,13,idle,,1,idle,,150,150,1.0,,,ludmilla_w,ludmilla_w,,,,,,,,15,idle,,
event_neverland1_06_e_30,40034,event_neverland1_06_e,Self,Locale_MainScenario:event_neverland1_06_e_30,False,,13,idle,,1,idle,,150,150,1.0,,,,,,,,,,,,15,idle,,
event_neverland1_06_e_31,40034,event_neverland1_06_e,Speech,Locale_MainScenario:event_neverland1_06_e_31,True,,13,idle,,1,idle,,150,150,1.0,,,ludmilla_w,ludmilla_w,,,,,,,,15,idle,,
event_neverland1_06_e_32,40034,event_neverland1_06_e,Speech,Locale_MainScenario:event_neverland1_06_e_32,True,,13,idle,,1,idle,,150,150,1.0,,,ludmilla_w,ludmilla_w,,,,,,,,15,idle,,
event_neverland1_06_e_33,40034,event_neverland1_06_e,Speech,Locale_MainScenario:event_neverland1_06_e_33,True,,13,idle,,1,idle,,150,150,1.0,,,ludmilla_w,ludmilla_w,,,,,,,,15,idle,,
event_neverland1_06_e_34,40034,event_neverland1_06_e,Speech,Locale_MainScenario:event_neverland1_06_e_34,True,,13,idle,,1,idle,,150,150,1.0,,,ludmilla_w,ludmilla_w,,,,,,,,15,idle,,
event_neverland1_06_e_35,40034,event_neverland1_06_e,Speech,Locale_MainScenario:event_neverland1_06_e_35,True,,13,idle,,1,idle,,150,12,1.0,,,belorta,belorta,,,,,,,,15,idle,,
event_neverland1_06_e_36,40034,event_neverland1_06_e,Speech,Locale_MainScenario:event_neverland1_06_e_36,True,,13,idle,,1,idle,,12,12,1.0,,,belorta,belorta,,,,,,,,15,idle,,
event_neverland1_06_e_37,40034,event_neverland1_06_e,Speech,Locale_MainScenario:event_neverland1_06_e_37,True,,13,idle,,1,idle,,12,12,1.0,,,belorta,belorta,,,,,,,,15,idle,,
event_neverland1_06_e_38,40034,event_neverland1_06_e,Speech,Locale_MainScenario:event_neverland1_06_e_38,True,,13,idle,,1,idle,,12,12,1.0,,,belorta,belorta,,,,,,,,15,idle,,
event_neverland1_06_e_39,40034,event_neverland1_06_e,Speech,Locale_MainScenario:event_neverland1_06_e_39,True,,13,idle,,1,idle,,12,12,1.0,,,belorta,belorta,,,,,,,,15,idle,,
event_neverland1_06_e_40,40034,event_neverland1_06_e,Speech,Locale_MainScenario:event_neverland1_06_e_40,True,,13,idle,,1,idle,,12,12,1.0,,,mica_w,mica_w,,,,,,,,15,idle,,
event_neverland1_06_e_41,40034,event_neverland1_06_e,Speech,Locale_MainScenario:event_neverland1_06_e_41,True,,13,idle,,1,idle,,12,12,1.0,,,belorta,belorta,,,,,,,,15,idle,,
event_neverland1_06_e_42,40034,event_neverland1_06_e,Speech,Locale_MainScenario:event_neverland1_06_e_42,True,,13,idle,,1,idle,,12,12,1.0,,,belorta,belorta,,,,,,,,15,idle,,
event_neverland1_06_e_43,40034,event_neverland1_06_e,Speech,Locale_MainScenario:event_neverland1_06_e_43,True,,13,idle,,1,idle,,12,12,1.0,,,belorta,belorta,,,,,,,,15,idle,,
event_neverland1_06_e_44,40034,event_neverland1_06_e,Speech,Locale_MainScenario:event_neverland1_06_e_44,True,,13,delight,,1,idle,,12,12,1.0,,,belorta,belorta,,,,,,,,15,idle,,
event_neverland1_06_e_45,40034,event_neverland1_06_e,Speech,Locale_MainScenario:event_neverland1_06_e_45,False,,13,delight,,1,surprise,,12,S_10,1.0,,,mica_w,mica_w,,,,,,,,15,idle,,
event_neverland1_06_e_46,40034,event_neverland1_06_e,Speech,Locale_MainScenario:event_neverland1_06_e_46,True,,13,delight,,1,surprise,,S_10,S_10,1.0,,,belorta,belorta,,,,,,,,15,idle,,
event_neverland1_06_e_47,40034,event_neverland1_06_e,Speech,Locale_MainScenario:event_neverland1_06_e_47,True,,13,delight,,1,shy,,S_10,S_10,1.0,,,mica_w,mica_w,,,,,,,,15,idle,,
event_neverland1_06_e_48,40034,event_neverland1_06_e,Speech,Locale_MainScenario:event_neverland1_06_e_48,True,,13,delight,,1,shy,,S_10,S_10,1.0,,,belorta,belorta,,,,,,,,15,idle,,
event_neverland1_06_e_49,40034,event_neverland1_06_e,Speech,Locale_MainScenario:event_neverland1_06_e_49,True,,13,delight,,1,sad,,S_10,S_10,1.0,,,mica_w,mica_w,,,,,,,,15,idle,,
event_neverland1_06_e_50,40034,event_neverland1_06_e,Speech,Locale_MainScenario:event_neverland1_06_e_50,True,,13,idle,,1,sad,,S_10,XS_130,1.0,,,belorta,belorta,,,,,,,,15,idle,,
event_neverland1_06_e_51,40034,event_neverland1_06_e,Speech,Locale_MainScenario:event_neverland1_06_e_51,True,,13,idle,,1,sad,,XS_130,XS_130,1.0,,,belorta,belorta,,,,,,,,15,idle,,
event_neverland1_06_e_52,40034,event_neverland1_06_e,Speech,Locale_MainScenario:event_neverland1_06_e_52,False,,13,idle,,1,special,,XS_130,S_10,1.0,,,mica_w,mica_w,,,,,,,,15,idle,,
event_neverland1_06_e_53,40034,event_neverland1_06_e,Speech,Locale_MainScenario:event_neverland1_06_e_53,True,,13,idle,,1,idle,,S_10,S_10,1.0,,,mica_w,mica_w,,,,,,,,15,idle,,
event_neverland1_06_e_54,40034,event_neverland1_06_e,Speech,Locale_MainScenario:event_neverland1_06_e_54,True,,13,idle,,1,idle,,S_10,S_10,1.0,,,mica_w,mica_w,,,,,,,,15,idle,,
event_neverland1_06_e_55,40034,event_neverland1_06_e,Speech,Locale_MainScenario:event_neverland1_06_e_55,True,,13,idle,,1,idle,,S_10,S_10,1.0,,,mica_w,mica_w,,,,,,,,15,idle,,
event_neverland1_06_e_56,40034,event_neverland1_06_e,Speech,Locale_MainScenario:event_neverland1_06_e_56,True,,13,delight,,1,idle,,S_10,12,1.0,,,belorta,belorta,,,,,,,,15,idle,,
event_neverland1_06_e_57,40034,event_neverland1_06_e,Speech,Locale_MainScenario:event_neverland1_06_e_57,True,,13,delight,,1,idle,,12,12,1.0,,,belorta,belorta,,,,,,,,15,idle,,
event_neverland1_06_e_58,40034,event_neverland1_06_e,Speech,Locale_MainScenario:event_neverland1_06_e_58,True,,13,delight,,1,idle,,12,12,1.0,,,belorta,belorta,,,,,,,,15,idle,,
event_neverland1_06_e_59,40034,event_neverland1_06_e,Speech,Locale_MainScenario:event_neverland1_06_e_59,True,,13,delight,,1,idle,,12,12,1.0,,,belorta,belorta,,,,,,,,15,idle,,
event_neverland1_06_e_60,40034,event_neverland1_06_e,Speech,Locale_MainScenario:event_neverland1_06_e_60,True,,13,delight,,1,idle,,12,12,1.0,,,mica_w,mica_w,,,,,,,,15,idle,,
event_neverland1_06_e_61,40034,event_neverland1_06_e,Speech,Locale_MainScenario:event_neverland1_06_e_61,True,,13,delight,,1,idle,,12,XS_130,1.0,,,belorta,belorta,,,,,,,,15,idle,,
event_neverland1_06_e_62,40034,event_neverland1_06_e,Speech,Locale_MainScenario:event_neverland1_06_e_62,False,,13,delight,,1,idle,,XS_130,S_10,1.0,,,mica_w,mica_w,,,,,,,,15,idle,,
event_neverland1_06_e_63,40034,event_neverland1_06_e,Speech,Locale_MainScenario:event_neverland1_06_e_63,True,,13,delight,,1,delight,,S_10,S_10,1.0,,,mica_w,mica_w,,,,,,,,15,idle,,
event_neverland1_06_e_64,40034,event_neverland1_06_e,Monologue,Locale_MainScenario:event_neverland1_06_e_64,False,,13,delight,,1,delight,,S_10,12,1.0,,,,,,,,,,,,15,idle,,
