id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
event_secretgarden_prologue_1,40063,event_secretgarden_prologue,Speech,flora,flora,Locale_SubScenario:event_secretgarden_prologue_1,True,SecretGarden,100,10,1.0,bgm_inark,,flora,1,delight,,,
event_secretgarden_prologue_2,40063,event_secretgarden_prologue,Speech,flora,flora,Locale_SubScenario:event_secretgarden_prologue_2,True,,10,10,1.0,,,,1,delight,,,
event_secretgarden_prologue_3,40063,event_secretgarden_prologue,Speech,flora,flora,Locale_SubScenario:event_secretgarden_prologue_3,True,,10,10,1.0,,,,1,delight,,,
event_secretgarden_prologue_4,40063,event_secretgarden_prologue,Speech,flora,flora,Locale_SubScenario:event_secretgarden_prologue_4,True,,10,10,1.0,,,,1,delight,,,
event_secretgarden_prologue_5,40063,event_secretgarden_prologue,Speech,flora,flora,Locale_SubScenario:event_secretgarden_prologue_5,True,,10,100,1.0,,,,1,delight,,,
event_secretgarden_prologue_6,40063,event_secretgarden_prologue,Speech,flora,flora,Locale_SubScenario:event_secretgarden_prologue_6,True,,100,100,1.0,,,,1,delight,,,
event_secretgarden_prologue_7,40063,event_secretgarden_prologue,Speech,flora,flora,Locale_SubScenario:event_secretgarden_prologue_7,True,,100,100,1.0,,,,1,delight,,,
event_secretgarden_prologue_8,40063,event_secretgarden_prologue,Speech,flora,flora,Locale_SubScenario:event_secretgarden_prologue_8,True,,100,100,1.0,,,,1,delight,,,
event_secretgarden_prologue_9,40063,event_secretgarden_prologue,Narration,flora,,Locale_SubScenario:event_secretgarden_prologue_9,False,,100,100,1.0,,sfx_scn_alarm,,1,delight,,,
event_secretgarden_prologue_10,40063,event_secretgarden_prologue,Speech,flora,flora,Locale_SubScenario:event_secretgarden_prologue_10,True,,100,10,1.0,,,,1,delight,,,
event_secretgarden_prologue_11,40063,event_secretgarden_prologue,Speech,flora,flora,Locale_SubScenario:event_secretgarden_prologue_11,True,,10,10,1.0,,,,1,delight,,,
event_secretgarden_prologue_12,40063,event_secretgarden_prologue,Speech,flora,flora,Locale_SubScenario:event_secretgarden_prologue_12,True,,10,10,1.0,,,,1,delight,,,
event_secretgarden_prologue_13,40063,event_secretgarden_prologue,Speech,flora,flora,Locale_SubScenario:event_secretgarden_prologue_13,True,,10,100,1.0,,,,1,idle,,,
event_secretgarden_prologue_14,40063,event_secretgarden_prologue,Speech,flora,flora,Locale_SubScenario:event_secretgarden_prologue_14,True,,100,100,1.0,,,,1,idle,,,
event_secretgarden_prologue_15,40063,event_secretgarden_prologue,Speech,flora,flora,Locale_SubScenario:event_secretgarden_prologue_15,True,,100,100,1.0,,,,1,idle,,,
event_secretgarden_prologue_16,40063,event_secretgarden_prologue,Speech,flora,flora,Locale_SubScenario:event_secretgarden_prologue_16,True,,100,100,1.0,,,,1,angry,,,
event_secretgarden_prologue_17,40063,event_secretgarden_prologue,Narration,flora,,Locale_SubScenario:event_secretgarden_prologue_17,False,,black,black,1.0,,sfx_scn_autodooropen,,1,angry,rian,13,idle
event_secretgarden_prologue_18,40063,event_secretgarden_prologue,Speech,rian,rian,Locale_SubScenario:event_secretgarden_prologue_18,True,,1300,130,0.7,,,,1,angry,,13,idle
event_secretgarden_prologue_19,40063,event_secretgarden_prologue,Speech,rian,rian,Locale_SubScenario:event_secretgarden_prologue_19,True,,130,130,1.0,,,,1,angry,,13,idle
event_secretgarden_prologue_20,40063,event_secretgarden_prologue,Speech,flora,flora,Locale_SubScenario:event_secretgarden_prologue_20,True,,130,113,1.0,,,,1,idle,,13,idle
event_secretgarden_prologue_21,40063,event_secretgarden_prologue,Speech,rian,rian,Locale_SubScenario:event_secretgarden_prologue_21,True,,113,113,1.0,,,,1,idle,,13,idle
event_secretgarden_prologue_22,40063,event_secretgarden_prologue,Speech,rian,rian,Locale_SubScenario:event_secretgarden_prologue_22,True,,113,113,1.0,,,,1,idle,,13,idle
event_secretgarden_prologue_23,40063,event_secretgarden_prologue,Speech,flora,flora,Locale_SubScenario:event_secretgarden_prologue_23,True,,113,113,1.0,,,,1,idle,,13,idle
event_secretgarden_prologue_24,40063,event_secretgarden_prologue,Speech,rian,rian,Locale_SubScenario:event_secretgarden_prologue_24,True,,113,113,1.0,,,,1,idle,,13,idle
event_secretgarden_prologue_25,40063,event_secretgarden_prologue,Speech,rian,rian,Locale_SubScenario:event_secretgarden_prologue_25,True,,113,130,1.0,,,,1,idle,,13,idle
event_secretgarden_prologue_26,40063,event_secretgarden_prologue,Speech,rian,rian,Locale_SubScenario:event_secretgarden_prologue_26,True,,130,130,1.0,,,,1,idle,,13,idle
event_secretgarden_prologue_27,40063,event_secretgarden_prologue,Speech,rian,rian,Locale_SubScenario:event_secretgarden_prologue_27,True,,130,130,1.0,,,,1,idle,,13,idle
event_secretgarden_prologue_28,40063,event_secretgarden_prologue,Speech,rian,rian,Locale_SubScenario:event_secretgarden_prologue_28,True,,130,1300,1.0,,,,1,idle,,13,idle
event_secretgarden_prologue_29,40063,event_secretgarden_prologue,Narration,rian,,Locale_SubScenario:event_secretgarden_prologue_29,False,,1300,1300,1.0,,sfx_scn_tablettouchs,,1,idle,,13,idle
event_secretgarden_prologue_30,40063,event_secretgarden_prologue,Narration,rian,,Locale_SubScenario:event_secretgarden_prologue_30,False,,1300,1300,1.0,,,,1,idle,,13,idle
event_secretgarden_prologue_31,40063,event_secretgarden_prologue,Speech,rian,rian,Locale_SubScenario:event_secretgarden_prologue_31,True,,1300,1300,1.0,,,,1,idle,,13,idle
event_secretgarden_prologue_32,40063,event_secretgarden_prologue,Narration,flora,,Locale_SubScenario:event_secretgarden_prologue_32,False,,1300,100,1.0,,,,1,angry,,13,idle
event_secretgarden_prologue_33,40063,event_secretgarden_prologue,Speech,flora,flora,Locale_SubScenario:event_secretgarden_prologue_33,True,,100,100,1.0,,,,1,angry,,13,idle
event_secretgarden_prologue_34,40063,event_secretgarden_prologue,Speech,flora,flora,Locale_SubScenario:event_secretgarden_prologue_34,True,,100,100,1.0,,,,1,angry,,13,idle
event_secretgarden_prologue_35,40063,event_secretgarden_prologue,Speech,flora,flora,Locale_SubScenario:event_secretgarden_prologue_35,True,,100,100,1.0,,,,1,angry,,13,idle
event_secretgarden_prologue_36,40063,event_secretgarden_prologue,Speech,flora,flora,Locale_SubScenario:event_secretgarden_prologue_36,True,,100,100,1.0,,,,1,angry,,13,idle
event_secretgarden_prologue_37,40063,event_secretgarden_prologue,Speech,flora,flora,Locale_SubScenario:event_secretgarden_prologue_37,True,,100,100,1.0,none,,,1,angry,,13,idle
event_secretgarden_prologue_38,40063,event_secretgarden_prologue,Speech,flora,flora,Locale_SubScenario:event_secretgarden_prologue_38,True,,100,10,1.0,,,,1,sad,,13,idle
event_secretgarden_prologue_39,40063,event_secretgarden_prologue,Speech,flora,flora,Locale_SubScenario:event_secretgarden_prologue_39,True,,10,10,1.0,bgm_story_tepidappleade,,,1,sad,,13,idle
event_secretgarden_prologue_40,40063,event_secretgarden_prologue,Speech,flora,flora,Locale_SubScenario:event_secretgarden_prologue_40,True,,10,10,1.0,,,,1,sad,,13,idle
event_secretgarden_prologue_41,40063,event_secretgarden_prologue,Speech,flora,flora,Locale_SubScenario:event_secretgarden_prologue_41,True,,10,10,1.0,,,,1,sad,,13,idle
event_secretgarden_prologue_42,40063,event_secretgarden_prologue,Speech,flora,flora,Locale_SubScenario:event_secretgarden_prologue_42,True,,10,10,1.0,,,,1,sad,,13,idle
event_secretgarden_prologue_43,40063,event_secretgarden_prologue,Speech,flora,flora,Locale_SubScenario:event_secretgarden_prologue_43,True,,10,10,1.0,,,,1,sad,,13,idle
event_secretgarden_prologue_44,40063,event_secretgarden_prologue,Speech,flora,flora,Locale_SubScenario:event_secretgarden_prologue_44,True,,10,10,1.0,,,,1,sad,,13,idle
event_secretgarden_prologue_45,40063,event_secretgarden_prologue,Speech,flora,flora,Locale_SubScenario:event_secretgarden_prologue_45,True,,10,10,1.0,,,,1,sad,,13,idle
event_secretgarden_prologue_46,40063,event_secretgarden_prologue,Speech,flora,flora,Locale_SubScenario:event_secretgarden_prologue_46,True,,10,10,1.0,,,,1,sad,,13,idle
event_secretgarden_prologue_47,40063,event_secretgarden_prologue,Speech,rian,rian,Locale_SubScenario:event_secretgarden_prologue_47,True,,10,113,1.0,,,,1,sad,,13,idle
event_secretgarden_prologue_48,40063,event_secretgarden_prologue,Speech,flora,flora,Locale_SubScenario:event_secretgarden_prologue_48,True,,113,113,1.0,,,,1,idle,,13,idle
event_secretgarden_prologue_49,40063,event_secretgarden_prologue,Speech,flora,flora,Locale_SubScenario:event_secretgarden_prologue_49,True,,113,113,1.0,,,,1,idle,,13,idle
event_secretgarden_prologue_50,40063,event_secretgarden_prologue,Speech,rian,rian,Locale_SubScenario:event_secretgarden_prologue_50,True,,113,113,1.0,,,,1,idle,,13,idle
event_secretgarden_prologue_51,40063,event_secretgarden_prologue,Speech,flora,flora,Locale_SubScenario:event_secretgarden_prologue_51,True,,113,113,1.0,,,,1,idle,,13,idle
