id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
event_overzone1_02_s_1,80303,event_overzone1_02_s,Speech,hongryeon,hongryeon,Locale_MainScenario:event_overzone1_02_s_1,True,RuinIndoor,113,113,1.0,bgm_story_prism,,,,dorothy,1,worry,hongryeon,13,idle,,,,,,,,
event_overzone1_02_s_2,80303,event_overzone1_02_s,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_02_s_2,True,,113,113,1.0,,,,,,1,worry,,13,idle,,,,,,,,
event_overzone1_02_s_3,80303,event_overzone1_02_s,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_02_s_3,True,,113,113,1.0,,,,,,1,worry,,13,idle,,,,,,,,
event_overzone1_02_s_4,80303,event_overzone1_02_s,Speech,hongryeon,hongryeon,Locale_MainScenario:event_overzone1_02_s_4,False,,113,113,1.0,,,,,,1,worry,,13,idle,,,,,,,,
event_overzone1_02_s_5,80303,event_overzone1_02_s,Speech,hongryeon,hongryeon,Locale_MainScenario:event_overzone1_02_s_5,True,,113,13,1.0,,,,,,1,worry,,13,idle,,,,,,,,
event_overzone1_02_s_6,80303,event_overzone1_02_s,Speech,hongryeon,hongryeon,Locale_MainScenario:event_overzone1_02_s_6,True,,13,130,2.0,,,,,,1,worry,,13,idle,,,,,,,,
event_overzone1_02_s_7,80303,event_overzone1_02_s,Speech,hongryeon,hongryeon,Locale_MainScenario:event_overzone1_02_s_7,True,,130,130,1.0,,,,,,1,worry,,13,idle,,,,,,,,
event_overzone1_02_s_8,80303,event_overzone1_02_s,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_02_s_8,True,,130,10,2.0,,,,,,1,idle,,13,idle,,,,,,,,
event_overzone1_02_s_9,80303,event_overzone1_02_s,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_02_s_9,False,,10,10,1.0,,,,,,1,idle,,13,idle,,,,,,,,
event_overzone1_02_s_10,80303,event_overzone1_02_s,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_02_s_10,True,,10,10,1.0,,,,,,1,idle,,13,idle,,,,,,,,
event_overzone1_02_s_11,80303,event_overzone1_02_s,Speech,hongryeon,hongryeon,Locale_MainScenario:event_overzone1_02_s_11,True,,10,113,2.0,,,,,,1,idle,,13,surprise,,,,,,,,
event_overzone1_02_s_12,80303,event_overzone1_02_s,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_02_s_12,True,,113,113,1.0,,,,,,1,idle,,13,surprise,,,,,,,,
event_overzone1_02_s_13,80303,event_overzone1_02_s,Speech,hongryeon,hongryeon,Locale_MainScenario:event_overzone1_02_s_13,True,,113,113,1.0,,,,,,1,idle,,13,idle,,,,,,,,
event_overzone1_02_s_14,80303,event_overzone1_02_s,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_02_s_14,True,,113,113,1.0,,,,,,1,idle,,13,idle,,,,,,,,
event_overzone1_02_s_15,80303,event_overzone1_02_s,Speech,hongryeon,hongryeon,Locale_MainScenario:event_overzone1_02_s_15,True,,113,113,1.0,,,,,,1,idle,,13,idle,,,,,,,,
event_overzone1_02_s_16,80303,event_overzone1_02_s,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_02_s_16,True,,113,113,1.0,,,,,,1,idle,,13,idle,,,,,,,,
event_overzone1_02_s_17,80303,event_overzone1_02_s,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_02_s_17,True,,113,113,1.0,,,,,,1,idle,,13,idle,,,,,,,,
event_overzone1_02_s_18,80303,event_overzone1_02_s,Speech,hongryeon,hongryeon,Locale_MainScenario:event_overzone1_02_s_18,False,,113,113,1.0,,,,,,1,idle,,13,idle,,,,,,,,
event_overzone1_02_s_19,80303,event_overzone1_02_s,Speech,hongryeon,hongryeon,Locale_MainScenario:event_overzone1_02_s_19,True,,113,113,1.0,,,,,,1,idle,,13,idle,,,,,,,,
event_overzone1_02_s_20,80303,event_overzone1_02_s,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_02_s_20,True,,113,1,1.0,,,,,,1,idle,,13,idle,,,,,,,,
event_overzone1_02_s_21,80303,event_overzone1_02_s,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_02_s_21,True,,1,10,1.0,,,,,,1,idle,,13,idle,,,,,,,,
event_overzone1_02_s_22,80303,event_overzone1_02_s,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_02_s_22,True,,10,10,1.0,,,,,,1,idle,,13,idle,,,,,,,,
event_overzone1_02_s_23,80303,event_overzone1_02_s,Speech,hongryeon,hongryeon,Locale_MainScenario:event_overzone1_02_s_23,True,,10,113,1.0,,,,,,1,idle,,13,idle,,,,,,,,
event_overzone1_02_s_24,80303,event_overzone1_02_s,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_02_s_24,True,,113,113,1.0,,,,,,1,idle,,13,idle,,,,,,,,
event_overzone1_02_s_25,80303,event_overzone1_02_s,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_02_s_25,True,,113,113,1.0,,,,,,1,idle,,13,idle,,,,,,,,
