id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,jump_target,fade,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
event_arcanearchive_03_e_1,40077,event_arcanearchive_03_e,Monologue,arcana,Locale_SubScenario:event_arcanearchive_03_e_1,False,City_d,1,1,1.0,bgm_story_cottoncandy,,,,,arcana,1,idle,
event_arcanearchive_03_e_2,40077,event_arcanearchive_03_e,Self,arcana,Locale_SubScenario:event_arcanearchive_03_e_2,False,,1,1,1.0,,,,,,,1,idle,
event_arcanearchive_03_e_3,40077,event_arcanearchive_03_e,Speech,arcana,Locale_SubScenario:event_arcanearchive_03_e_3,True,,1,1,1.0,,arcana,,,,,1,idle,
event_arcanearchive_03_e_4,40077,event_arcanearchive_03_e,Speech,arcana,Locale_SubScenario:event_arcanearchive_03_e_4,True,,1,1,1.0,,arcana,,,,,1,idle,
event_arcanearchive_03_e_5,40077,event_arcanearchive_03_e,Self,arcana,Locale_SubScenario:event_arcanearchive_03_e_5,False,,1,1,1.0,,,,,,,1,idle,
event_arcanearchive_03_e_6,40077,event_arcanearchive_03_e,Speech,arcana,Locale_SubScenario:event_arcanearchive_03_e_6,True,,1,1,1.0,,arcana,,,,,1,idle,
event_arcanearchive_03_e_7,40077,event_arcanearchive_03_e,Speech,arcana,Locale_SubScenario:event_arcanearchive_03_e_7,True,,1,1,1.0,,arcana,,,,,1,idle,
event_arcanearchive_03_e_8,40077,event_arcanearchive_03_e,Monologue,arcana,Locale_SubScenario:event_arcanearchive_03_e_8,False,,1,L_10,1.3,,,,,,,1,idle,
event_arcanearchive_03_e_9,40077,event_arcanearchive_03_e,Speech,arcana,Locale_SubScenario:event_arcanearchive_03_e_9,True,,L_10,L_10,1.0,,arcana,,,,,1,idle,
event_arcanearchive_03_e_10,40077,event_arcanearchive_03_e,Speech,arcana,Locale_SubScenario:event_arcanearchive_03_e_10,True,,L_10,L_10,1.0,,arcana,,,,,1,idle,
event_arcanearchive_03_e_11,40077,event_arcanearchive_03_e,Monologue,arcana,Locale_SubScenario:event_arcanearchive_03_e_11,False,,L_10,L_10,1.0,,,,,,,1,idle,
event_arcanearchive_03_e_12,40077,event_arcanearchive_03_e,Speech,arcana,Locale_SubScenario:event_arcanearchive_03_e_12,True,,L_10,L_10,1.0,,arcana,,,,,1,delight,
event_arcanearchive_03_e_13,40077,event_arcanearchive_03_e,Choice,arcana,Locale_SubScenario:event_arcanearchive_03_e_13,False,,L_10,L_10,1.0,,,event_arcanearchive_03_e_15,,,,1,delight,
event_arcanearchive_03_e_14,40077,event_arcanearchive_03_e,Choice,arcana,Locale_SubScenario:event_arcanearchive_03_e_14,False,,L_10,L_10,1.0,,,event_arcanearchive_03_e_15,,,,1,delight,
event_arcanearchive_03_e_15,40077,event_arcanearchive_03_e,Speech,arcana,Locale_SubScenario:event_arcanearchive_03_e_15,True,,L_10,L_10,1.0,,arcana,,,,,1,idle,
event_arcanearchive_03_e_16,40077,event_arcanearchive_03_e,Speech,arcana,Locale_SubScenario:event_arcanearchive_03_e_16,True,,L_10,L_10,1.0,,arcana,,,,,1,idle,
event_arcanearchive_03_e_17,40077,event_arcanearchive_03_e,Speech,arcana,Locale_SubScenario:event_arcanearchive_03_e_17,True,,L_10,L_100,1.3,,arcana,,,,,1,idle,
event_arcanearchive_03_e_18,40077,event_arcanearchive_03_e,Speech,arcana,Locale_SubScenario:event_arcanearchive_03_e_18,True,Cafe,L_100,L_100,1.0,,arcana,,black,,,1,sad,
event_arcanearchive_03_e_19,40077,event_arcanearchive_03_e,Speech,arcana,Locale_SubScenario:event_arcanearchive_03_e_19,True,,L_100,L_10,1.3,,arcana,,,,,1,sad,
event_arcanearchive_03_e_20,40077,event_arcanearchive_03_e,Choice,arcana,Locale_SubScenario:event_arcanearchive_03_e_20,False,,L_10,L_10,1.0,,,event_arcanearchive_03_e_22,,,,1,sad,
event_arcanearchive_03_e_21,40077,event_arcanearchive_03_e,Choice,arcana,Locale_SubScenario:event_arcanearchive_03_e_21,False,,L_10,L_10,1.0,,,event_arcanearchive_03_e_23,,,,1,sad,
event_arcanearchive_03_e_22,40077,event_arcanearchive_03_e,Speech,arcana,Locale_SubScenario:event_arcanearchive_03_e_22,True,,L_10,L_10,1.0,,arcana,event_arcanearchive_03_e_24,,,,1,sad,
event_arcanearchive_03_e_23,40077,event_arcanearchive_03_e,Speech,arcana,Locale_SubScenario:event_arcanearchive_03_e_23,True,,L_10,L_10,1.0,,arcana,event_arcanearchive_03_e_24,,,,1,sad,
