id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,jump_target,fade
event_dazzlingcupid_04_e_1,40029,event_dazzlingcupid_04_e,Monologue,Monologue,Locale_SubScenario:event_dazzlingcupid_04_e_1,False,Park,13,13,1.0,none,,,,,,,,,
event_dazzlingcupid_04_e_2,40029,event_dazzlingcupid_04_e,Monologue,Monologue,Locale_SubScenario:event_dazzlingcupid_04_e_2,False,,13,13,1.0,bgm_story_sunnycarnival,,,,,,,,,
event_dazzlingcupid_04_e_3,40029,event_dazzlingcupid_04_e,Monologue,Monologue,Locale_SubScenario:event_dazzlingcupid_04_e_3,False,,13,13,1.0,,,,,,,,,,
event_dazzlingcupid_04_e_4,40029,event_dazzlingcupid_04_e,Monologue,Monologue,Locale_SubScenario:event_dazzlingcupid_04_e_4,False,,13,13,1.0,,,,,,,,,,
event_dazzlingcupid_04_e_5,40029,event_dazzlingcupid_04_e,Speech,tia,Locale_SubScenario:event_dazzlingcupid_04_e_5,False,,5,50,0.7,,tia,tia,5,worry,naga,3,void,,
event_dazzlingcupid_04_e_6,40029,event_dazzlingcupid_04_e,Speech,naga,Locale_SubScenario:event_dazzlingcupid_04_e_6,False,,3,30,0.7,,naga,,5,worry,,3,void,,
event_dazzlingcupid_04_e_7,40029,event_dazzlingcupid_04_e,Self,Self,Locale_SubScenario:event_dazzlingcupid_04_e_7,False,,4,4,1.0,,,,5,worry,,3,void,,
event_dazzlingcupid_04_e_8,40029,event_dazzlingcupid_04_e,Speech,tia,Locale_SubScenario:event_dazzlingcupid_04_e_8,True,,4,4,1.0,,tia,,5,sad,,3,surprise,,
event_dazzlingcupid_04_e_9,40029,event_dazzlingcupid_04_e,Speech,naga,Locale_SubScenario:event_dazzlingcupid_04_e_9,True,,4,4,1.0,,naga,,5,sad,,3,surprise,,
event_dazzlingcupid_04_e_10,40029,event_dazzlingcupid_04_e,Self,Self,Locale_SubScenario:event_dazzlingcupid_04_e_10,False,,4,4,1.0,,,,5,sad,,3,surprise,,
event_dazzlingcupid_04_e_11,40029,event_dazzlingcupid_04_e,Self,Self,Locale_SubScenario:event_dazzlingcupid_04_e_11,False,,4,4,1.0,,,,5,sad,,3,surprise,,
event_dazzlingcupid_04_e_12,40029,event_dazzlingcupid_04_e,Speech,tia,Locale_SubScenario:event_dazzlingcupid_04_e_12,True,,4,50,0.7,,tia,,5,sad,,3,idle,,
event_dazzlingcupid_04_e_13,40029,event_dazzlingcupid_04_e,Speech,tia,Locale_SubScenario:event_dazzlingcupid_04_e_13,True,,50,50,1.0,,tia,,5,delight,,3,idle,,
event_dazzlingcupid_04_e_14,40029,event_dazzlingcupid_04_e,Speech,tia,Locale_SubScenario:event_dazzlingcupid_04_e_14,True,,50,50,1.0,,tia,,5,delight,,3,idle,,
event_dazzlingcupid_04_e_15,40029,event_dazzlingcupid_04_e,Speech,naga,Locale_SubScenario:event_dazzlingcupid_04_e_15,True,,50,30,0.7,,naga,,5,delight,,3,worry,,
event_dazzlingcupid_04_e_16,40029,event_dazzlingcupid_04_e,Speech,naga,Locale_SubScenario:event_dazzlingcupid_04_e_16,True,,30,30,1.0,,naga,,5,delight,,3,idle,,
event_dazzlingcupid_04_e_17,40029,event_dazzlingcupid_04_e,Speech,tia,Locale_SubScenario:event_dazzlingcupid_04_e_17,True,,50,50,1.0,,tia,,5,worry,,3,idle,,
event_dazzlingcupid_04_e_18,40029,event_dazzlingcupid_04_e,Speech,tia,Locale_SubScenario:event_dazzlingcupid_04_e_18,True,,50,50,1.0,,tia,,5,worry,,3,idle,,
event_dazzlingcupid_04_e_19,40029,event_dazzlingcupid_04_e,Speech,naga,Locale_SubScenario:event_dazzlingcupid_04_e_19,True,,30,30,1.0,,naga,,5,worry,,3,delight,,
event_dazzlingcupid_04_e_20,40029,event_dazzlingcupid_04_e,Speech,naga,Locale_SubScenario:event_dazzlingcupid_04_e_20,True,,30,30,1.0,,naga,,5,worry,,3,delight,,
event_dazzlingcupid_04_e_21,40029,event_dazzlingcupid_04_e,Speech,tia,Locale_SubScenario:event_dazzlingcupid_04_e_21,True,,50,500,0.7,,tia,,5,sad,,3,delight,,
event_dazzlingcupid_04_e_22,40029,event_dazzlingcupid_04_e,Speech,naga,Locale_SubScenario:event_dazzlingcupid_04_e_22,True,,30,300,0.7,,naga,,5,sad,,3,delight,,
event_dazzlingcupid_04_e_23,40029,event_dazzlingcupid_04_e,Self,Self,Locale_SubScenario:event_dazzlingcupid_04_e_23,False,,4,4,1.0,,,,5,sad,,3,delight,,
event_dazzlingcupid_04_e_24,40029,event_dazzlingcupid_04_e,Monologue,Monologue,Locale_SubScenario:event_dazzlingcupid_04_e_24,False,,4,4,1.0,,,,5,sad,,3,delight,,
event_dazzlingcupid_04_e_25,40029,event_dazzlingcupid_04_e,Monologue,Monologue,Locale_SubScenario:event_dazzlingcupid_04_e_25,False,,4,4,1.0,,,,5,sad,,3,delight,,
event_dazzlingcupid_04_e_26,40029,event_dazzlingcupid_04_e,Monologue,Monologue,Locale_SubScenario:event_dazzlingcupid_04_e_26,False,,black,black,1.0,,,,5,sad,,3,delight,,
event_dazzlingcupid_04_e_27,40029,event_dazzlingcupid_04_e,Speech,staff,Locale_SubScenario:event_dazzlingcupid_04_e_27,True,,13,1300,0.5,,staff,,5,sad,,3,delight,,
event_dazzlingcupid_04_e_28,40029,event_dazzlingcupid_04_e,Monologue,Monologue,Locale_SubScenario:event_dazzlingcupid_04_e_28,False,,1300,1300,1.0,,,,5,idle,,3,idle,,
event_dazzlingcupid_04_e_29,40029,event_dazzlingcupid_04_e,Self,Self,Locale_SubScenario:event_dazzlingcupid_04_e_29,False,,1300,1300,1.0,,,,5,idle,,3,idle,,
