id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,speaker,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,fade,play_sound
event_forrest_03_e_1,40072,event_forrest_03_e,Narration,Locale_SubScenario:event_forrest_03_e_1,False,SimulationRoom,12,12,1.0,event_bgm_neverland_snowflakes_sunset,Vignetting,,,,,,,,,,,
event_forrest_03_e_2,40072,event_forrest_03_e,Narration,Locale_SubScenario:event_forrest_03_e_2,False,,12,12,1.0,,Vignetting,,,,,,,,,,,
event_forrest_03_e_3,40072,event_forrest_03_e,Narration,Locale_SubScenario:event_forrest_03_e_3,False,land_s,12,12,1.0,,Vignetting,,,,,,,,,,,
event_forrest_03_e_4,40072,event_forrest_03_e,Narration,Locale_SubScenario:event_forrest_03_e_4,False,,12,12,1.0,,Vignetting,,,,,,,,,,,
event_forrest_03_e_5,40072,event_forrest_03_e,Narration,Locale_SubScenario:event_forrest_03_e_5,False,,12,12,1.0,,Vignetting,,,,,,,,,,,
event_forrest_03_e_6,40072,event_forrest_03_e,Speech,Locale_SubScenario:event_forrest_03_e_6,True,,12,12,1.0,,Vignetting,joshhumett,,,,,,,,,,
event_forrest_03_e_7,40072,event_forrest_03_e,Speech,Locale_SubScenario:event_forrest_03_e_7,True,,12,12,1.0,,Vignetting,joshhumett,,,,,,,,,,
event_forrest_03_e_8,40072,event_forrest_03_e,Narration,Locale_SubScenario:event_forrest_03_e_8,False,,black,black,1.0,,Vignetting,,,,,,,,,,,
event_forrest_03_e_9,40072,event_forrest_03_e,Narration,Locale_SubScenario:event_forrest_03_e_9,False,,12,12,1.0,,Vignetting,,,,,,,,,,,
event_forrest_03_e_10,40072,event_forrest_03_e,Speech,Locale_SubScenario:event_forrest_03_e_10,True,,12,12,1.0,,Vignetting,joshhumett,joshhumett,joshhumett,12,idle,,,,,,
event_forrest_03_e_11,40072,event_forrest_03_e,Speech,Locale_SubScenario:event_forrest_03_e_11,False,,12,12,1.0,,Vignetting,liter,joshhumett,,12,idle,,,,,,
event_forrest_03_e_12,40072,event_forrest_03_e,Speech,Locale_SubScenario:event_forrest_03_e_12,True,,12,12,1.0,,Vignetting,joshhumett,joshhumett,,12,idle,,,,,,
event_forrest_03_e_13,40072,event_forrest_03_e,Speech,Locale_SubScenario:event_forrest_03_e_13,True,,12,12,1.0,,Vignetting,joshhumett,joshhumett,,12,idle,,,,,,
