id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
event_ltk_01_e_1,40012,event_ltk_01_e,Self,Self,Locale_SubScenario:event_ltk_01_e_1,False,CommanderRoom,1,1,1.0,bgm_story_fairytalesend_if,,,d,2,idle,k,12,idle
event_ltk_01_e_2,40012,event_ltk_01_e,Self,Self,Locale_SubScenario:event_ltk_01_e_2,False,,1,1,1.0,,,,,2,idle,,12,idle
event_ltk_01_e_3,40012,event_ltk_01_e,Speech,k,Locale_SubScenario:event_ltk_01_e_3,True,,1,1,1.0,,k,,,2,idle,,12,idle
event_ltk_01_e_4,40012,event_ltk_01_e,Speech,k,Locale_SubScenario:event_ltk_01_e_4,True,,1,S_120,1.0,,k,,,2,idle,,12,idle
event_ltk_01_e_5,40012,event_ltk_01_e,Self,Self,Locale_SubScenario:event_ltk_01_e_5,False,,S_120,S_120,1.0,,,,,2,idle,,12,idle
event_ltk_01_e_6,40012,event_ltk_01_e,Speech,k,Locale_SubScenario:event_ltk_01_e_6,True,,S_120,S_120,1.0,,k,,,2,idle,,12,idle
event_ltk_01_e_7,40012,event_ltk_01_e,Speech,k,Locale_SubScenario:event_ltk_01_e_7,True,,S_120,S_120,1.0,,k,,,2,idle,,12,idle
event_ltk_01_e_8,40012,event_ltk_01_e,Self,Self,Locale_SubScenario:event_ltk_01_e_8,False,,S_120,S_120,1.0,,,,,2,idle,,12,idle
event_ltk_01_e_9,40012,event_ltk_01_e,Speech,d,Locale_SubScenario:event_ltk_01_e_9,True,,S_120,20,1.0,,d,,,2,angry,,12,idle
event_ltk_01_e_10,40012,event_ltk_01_e,Speech,d,Locale_SubScenario:event_ltk_01_e_10,True,,20,20,1.0,,d,,,2,angry,,12,idle
event_ltk_01_e_11,40012,event_ltk_01_e,Speech,d,Locale_SubScenario:event_ltk_01_e_11,True,,20,20,1.0,,d,,,2,angry,,12,idle
event_ltk_01_e_12,40012,event_ltk_01_e,Speech,d,Locale_SubScenario:event_ltk_01_e_12,True,,20,20,1.0,,d,,,2,angry,,12,idle
