id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,play_sound,set_camera_shake,characters/4/hide_char_id,characters/3/hide_char_id
event_queensorder_05_s_1,40015,event_queensorder_05_s,Speech,moran,moran,Locale_SubScenario:event_queensorder_05_s_1,True,moran,13,angry,rosanna,1,angry,sakura_n,3,idle,ArkRuinIndoor,13,13,1.0,bgm_story_fairytalesend_if,,,,,,,,,,
event_queensorder_05_s_2,40015,event_queensorder_05_s,Speech,moran,moran,Locale_SubScenario:event_queensorder_05_s_2,True,,13,angry,,1,angry,,3,idle,,13,130,0.6,,,,,,,,,,,
event_queensorder_05_s_3,40015,event_queensorder_05_s,Speech,moran,moran,Locale_SubScenario:event_queensorder_05_s_3,True,,13,angry,,1,angry,,3,idle,,130,1300,0.6,,,,,,,,,,,
event_queensorder_05_s_4,40015,event_queensorder_05_s,Speech,rosanna,rosanna,Locale_SubScenario:event_queensorder_05_s_4,True,,13,angry,,1,angry,,3,idle,,1300,12,1.0,,,,,,,,,,,
event_queensorder_05_s_5,40015,event_queensorder_05_s,Speech,moran,moran,Locale_SubScenario:event_queensorder_05_s_5,False,,13,worry,,1,angry,,3,idle,,12,12,1.0,,,,,,,,,,,
event_queensorder_05_s_6,40015,event_queensorder_05_s,Speech,sakura_n,sakura,Locale_SubScenario:event_queensorder_05_s_6,True,,13,worry,,1,angry,,3,idle,,12,2,1.0,,,,,,,,,,,
event_queensorder_05_s_7,40015,event_queensorder_05_s,Speech,sakura_n,sakura,Locale_SubScenario:event_queensorder_05_s_7,True,,13,worry,,1,angry,,3,idle,,2,2,1.0,,,,,,,,,,,
event_queensorder_05_s_8,40015,event_queensorder_05_s,Speech,sakura_n,sakura,Locale_SubScenario:event_queensorder_05_s_8,True,,13,worry,,1,angry,,3,idle,,2,2,1.0,,,,,,,,,,,
event_queensorder_05_s_9,40015,event_queensorder_05_s,Speech,sakura_n,sakura,Locale_SubScenario:event_queensorder_05_s_9,True,,13,worry,,1,angry,,3,idle,,2,2,1.0,,,,,,,,,,,
event_queensorder_05_s_10,40015,event_queensorder_05_s,Speech,rosanna,rosanna,Locale_SubScenario:event_queensorder_05_s_10,True,,13,worry,,1,angry,,3,idle,,2,2,1.0,,,,,,,,,,,
event_queensorder_05_s_11,40015,event_queensorder_05_s,Speech,moran,moran,Locale_SubScenario:event_queensorder_05_s_11,False,,13,think,,1,angry,,3,idle,,130,130,1.0,,,,,,,,,,,
event_queensorder_05_s_12,40015,event_queensorder_05_s,Speech,moran,moran,Locale_SubScenario:event_queensorder_05_s_12,True,,13,think,,1,angry,,3,idle,,130,130,1.0,,,,,,,,,,,
event_queensorder_05_s_13,40015,event_queensorder_05_s,Speech,moran,moran,Locale_SubScenario:event_queensorder_05_s_13,True,,13,think,,1,angry,,3,idle,,130,130,1.0,,,,,,,,,,,
event_queensorder_05_s_14,40015,event_queensorder_05_s,Speech,rosanna,rosanna,Locale_SubScenario:event_queensorder_05_s_14,True,,13,think,,1,angry,,3,idle,,130,10,1.0,,,,,,,,,,,
event_queensorder_05_s_15,40015,event_queensorder_05_s,Speech,rosanna,rosanna,Locale_SubScenario:event_queensorder_05_s_15,True,,13,think,,1,angry,,3,idle,,10,10,1.0,,,,,,,,,,,
event_queensorder_05_s_16,40015,event_queensorder_05_s,Speech,rosanna,moran,Locale_SubScenario:event_queensorder_05_s_16,False,,13,think,,1,angry,,3,idle,,10,10,1.0,,,,,,,,,,,
event_queensorder_05_s_17,40015,event_queensorder_05_s,Speech,rosanna,rosanna,Locale_SubScenario:event_queensorder_05_s_17,True,,13,think,,1,angry,,3,idle,,10,10,1.0,,,,,,,,,,,
event_queensorder_05_s_18,40015,event_queensorder_05_s,Speech,rosanna,rosanna,Locale_SubScenario:event_queensorder_05_s_18,True,,13,think,,1,angry,,3,idle,,10,10,1.0,,,,,,,,,,,
event_queensorder_05_s_19,40015,event_queensorder_05_s,Speech,moran,moran,Locale_SubScenario:event_queensorder_05_s_19,False,,13,think,,1,angry,,3,idle,,130,130,1.0,,,,,,,,,,,
event_queensorder_05_s_20,40015,event_queensorder_05_s,Speech,sakura_n,sakura,Locale_SubScenario:event_queensorder_05_s_20,False,,13,think,,1,angry,,3,idle,,30,30,1.0,,,,,,,,,,,
event_queensorder_05_s_21,40015,event_queensorder_05_s,Self,,,Locale_SubScenario:event_queensorder_05_s_21,False,,13,think,,1,angry,,3,idle,,30,30,1.0,,,,,,,,,,,
event_queensorder_05_s_22,40015,event_queensorder_05_s,Speech,rosanna,rosanna,Locale_SubScenario:event_queensorder_05_s_22,True,,13,think,,1,idle,,3,idle,,1,10,1.7,,,,,,,,,,,
event_queensorder_05_s_23,40015,event_queensorder_05_s,Speech,moran,moran,Locale_SubScenario:event_queensorder_05_s_23,True,,13,idle,,1,idle,,3,idle,,10,130,0.6,,,,,,,,,,,
event_queensorder_05_s_24,40015,event_queensorder_05_s,Speech,moran,moran,Locale_SubScenario:event_queensorder_05_s_24,True,,13,idle,,1,idle,,3,idle,,130,130,1.0,,,,,,,,,,,
event_queensorder_05_s_25,40015,event_queensorder_05_s,Monologue,,,Locale_SubScenario:event_queensorder_05_s_25,False,,13,idle,,1,idle,,3,idle,,130,130,1.0,,,,,,,,,,,
event_queensorder_05_s_26,40015,event_queensorder_05_s,Monologue,,,Locale_SubScenario:event_queensorder_05_s_26,False,,13,idle,,1,idle,,3,idle,,130,130,1.0,,,,,,,,,,,
event_queensorder_05_s_27,40015,event_queensorder_05_s,Speech,rosanna,rosanna,Locale_SubScenario:event_queensorder_05_s_27,True,,13,idle,,1,idle,,3,idle,,130,12,1.0,,,,,,,,,,,
event_queensorder_05_s_28,40015,event_queensorder_05_s,Speech,moran,moran,Locale_SubScenario:event_queensorder_05_s_28,True,,13,worry,,1,idle,,3,idle,,12,12,1.0,,,,,,,,,,,
event_queensorder_05_s_29,40015,event_queensorder_05_s,Speech,moran,moran,Locale_SubScenario:event_queensorder_05_s_29,True,,13,worry,,1,idle,,3,idle,,12,12,1.0,,,,,,,,,,,
event_queensorder_05_s_30,40015,event_queensorder_05_s,Speech,unknown,unknown,Locale_SubScenario:event_queensorder_05_s_30,True,,13,worry,,1,idle,,3,idle,,12,12,1.0,,,,,,,,,,,
event_queensorder_05_s_31,40015,event_queensorder_05_s,Speech,moran,moran,Locale_SubScenario:event_queensorder_05_s_31,True,,13,idle,,1,idle,,3,idle,,12,12,1.0,,,,,,,,,,,
event_queensorder_05_s_32,40015,event_queensorder_05_s,Speech,rosanna,rosanna,Locale_SubScenario:event_queensorder_05_s_32,False,,13,idle,,1,angry,,3,idle,,12,12,1.0,,,,,,,,,,,
