id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
event_claymore_intermission_01_1,40050,event_claymore_intermission_01,Monologue,clay,Locale_SubScenario:event_claymore_intermission_01_1,False,CommanderRoom,black,black,1.0,none,,clay,5,shy
event_claymore_intermission_01_2,40050,event_claymore_intermission_01,Speech,clay,Locale_SubScenario:event_claymore_intermission_01_2,True,,5,50,0.7,bgm_story_backtonormal,clay,,5,shy
event_claymore_intermission_01_3,40050,event_claymore_intermission_01,Self,clay,Locale_SubScenario:event_claymore_intermission_01_3,False,,50,50,1.0,,,,5,shy
event_claymore_intermission_01_4,40050,event_claymore_intermission_01,Speech,clay,Locale_SubScenario:event_claymore_intermission_01_4,True,,50,50,1.0,,clay,,5,sad
event_claymore_intermission_01_5,40050,event_claymore_intermission_01,Speech,clay,Locale_SubScenario:event_claymore_intermission_01_5,True,,50,50,1.0,,clay,,5,sad
event_claymore_intermission_01_6,40050,event_claymore_intermission_01,Speech,clay,Locale_SubScenario:event_claymore_intermission_01_6,True,,50,50,1.0,,clay,,5,sad
event_claymore_intermission_01_7,40050,event_claymore_intermission_01,Speech,clay,Locale_SubScenario:event_claymore_intermission_01_7,True,,50,50,1.0,,clay,,5,sad
event_claymore_intermission_01_8,40050,event_claymore_intermission_01,Speech,clay,Locale_SubScenario:event_claymore_intermission_01_8,True,,50,50,1.0,,clay,,5,sad
event_claymore_intermission_01_9,40050,event_claymore_intermission_01,Speech,clay,Locale_SubScenario:event_claymore_intermission_01_9,True,,50,50,1.0,,clay,,5,shy
event_claymore_intermission_01_10,40050,event_claymore_intermission_01,Self,clay,Locale_SubScenario:event_claymore_intermission_01_10,False,,50,50,1.0,,,,5,shy
event_claymore_intermission_01_11,40050,event_claymore_intermission_01,Self,clay,Locale_SubScenario:event_claymore_intermission_01_11,False,,50,50,1.0,,,,5,shy
event_claymore_intermission_01_12,40050,event_claymore_intermission_01,Speech,clay,Locale_SubScenario:event_claymore_intermission_01_12,True,,50,50,1.0,,clay,,5,no
event_claymore_intermission_01_13,40050,event_claymore_intermission_01,Self,clay,Locale_SubScenario:event_claymore_intermission_01_13,False,,50,50,1.0,,,,5,no
event_claymore_intermission_01_14,40050,event_claymore_intermission_01,Self,clay,Locale_SubScenario:event_claymore_intermission_01_14,False,,50,50,1.0,,,,5,no
event_claymore_intermission_01_15,40050,event_claymore_intermission_01,Self,clay,Locale_SubScenario:event_claymore_intermission_01_15,False,,50,50,1.0,,,,5,no
event_claymore_intermission_01_16,40050,event_claymore_intermission_01,Speech,clay,Locale_SubScenario:event_claymore_intermission_01_16,True,,50,500,1.0,,clay,,5,shy
event_claymore_intermission_01_17,40050,event_claymore_intermission_01,Speech,clay,Locale_SubScenario:event_claymore_intermission_01_17,False,,500,500,1.0,,clay,,5,shy
event_claymore_intermission_01_18,40050,event_claymore_intermission_01,Speech,clay,Locale_SubScenario:event_claymore_intermission_01_18,True,,500,500,1.0,,clay,,5,sad
event_claymore_intermission_01_19,40050,event_claymore_intermission_01,Speech,clay,Locale_SubScenario:event_claymore_intermission_01_19,True,,500,500,1.0,,clay,,5,sad
event_claymore_intermission_01_20,40050,event_claymore_intermission_01,Speech,clay,Locale_SubScenario:event_claymore_intermission_01_20,True,,500,500,1.0,,clay,,5,sad
event_claymore_intermission_01_21,40050,event_claymore_intermission_01,Speech,clay,Locale_SubScenario:event_claymore_intermission_01_21,True,,500,500,1.0,,clay,,5,sad
event_claymore_intermission_01_22,40050,event_claymore_intermission_01,Speech,clay,Locale_SubScenario:event_claymore_intermission_01_22,True,,500,500,1.0,,clay,,5,sad
event_claymore_intermission_01_23,40050,event_claymore_intermission_01,Speech,clay,Locale_SubScenario:event_claymore_intermission_01_23,True,,500,500,1.0,,clay,,5,sad
event_claymore_intermission_01_24,40050,event_claymore_intermission_01,Speech,clay,Locale_SubScenario:event_claymore_intermission_01_24,True,,500,500,1.0,,clay,,5,shy
event_claymore_intermission_01_25,40050,event_claymore_intermission_01,Speech,clay,Locale_SubScenario:event_claymore_intermission_01_25,True,,500,500,1.0,,clay,,5,idle
event_claymore_intermission_01_26,40050,event_claymore_intermission_01,Speech,clay,Locale_SubScenario:event_claymore_intermission_01_26,True,,500,500,1.0,,clay,,5,no
event_claymore_intermission_01_27,40050,event_claymore_intermission_01,Speech,clay,Locale_SubScenario:event_claymore_intermission_01_27,True,,500,500,1.0,,clay,,5,no
event_claymore_intermission_01_28,40050,event_claymore_intermission_01,Speech,clay,Locale_SubScenario:event_claymore_intermission_01_28,True,,500,500,1.0,,clay,,5,no
