id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
event_maidinvalentine_06_e_1,40007,event_maidinvalentine_06_e,Speech,soda,soda,Locale_SubScenario:event_maidinvalentine_06_e_1,True,Cafe,12,12,1.0,bgm_story_orangepop,,,ade,3,idle,,soda,1,sad,,cocoa,13,idle,,,,
event_maidinvalentine_06_e_2,40007,event_maidinvalentine_06_e,Speech,cocoa,cocoa,Locale_SubScenario:event_maidinvalentine_06_e_2,True,,12,12,1.0,,,,,3,idle,,,1,sad,,,13,surprised,,,,
event_maidinvalentine_06_e_3,40007,event_maidinvalentine_06_e,Speech,ade,ade,Locale_SubScenario:event_maidinvalentine_06_e_3,True,,12,2,2.0,,,,,3,worried,,,1,idle,,,13,surprised,,,,
event_maidinvalentine_06_e_4,40007,event_maidinvalentine_06_e,Choice,,,Locale_SubScenario:event_maidinvalentine_06_e_4,False,,2,2,1.0,,event_maidinvalentine_06_e_6,,,3,worried,,,1,idle,,,13,idle,,,,
event_maidinvalentine_06_e_5,40007,event_maidinvalentine_06_e,Choice,,,Locale_SubScenario:event_maidinvalentine_06_e_5,False,,2,2,1.0,,event_maidinvalentine_06_e_9,,,3,worried,,,1,idle,,,13,idle,,,,
event_maidinvalentine_06_e_6,40007,event_maidinvalentine_06_e,Speech,ade,ade,Locale_SubScenario:event_maidinvalentine_06_e_6,True,,2,2,1.0,,,,,3,worried,,,1,idle,,,13,idle,,,,
event_maidinvalentine_06_e_7,40007,event_maidinvalentine_06_e,Self,,Self,Locale_SubScenario:event_maidinvalentine_06_e_7,False,,2,2,1.0,,,,,3,worried,,,1,idle,,,13,idle,,,,
event_maidinvalentine_06_e_8,40007,event_maidinvalentine_06_e,Speech,ade,ade,Locale_SubScenario:event_maidinvalentine_06_e_8,True,,2,2,1.0,,event_maidinvalentine_06_e_10,,,3,delight,,,1,idle,,,13,idle,,,,
event_maidinvalentine_06_e_9,40007,event_maidinvalentine_06_e,Speech,ade,ade,Locale_SubScenario:event_maidinvalentine_06_e_9,True,,2,2,1.0,,,,,3,delight,,,1,idle,,,13,idle,,,,
event_maidinvalentine_06_e_10,40007,event_maidinvalentine_06_e,Self,,Self,Locale_SubScenario:event_maidinvalentine_06_e_10,False,,2,2,1.0,,,,,3,idle,,,1,idle,,,13,idle,,,,
event_maidinvalentine_06_e_11,40007,event_maidinvalentine_06_e,Speech,soda,soda,Locale_SubScenario:event_maidinvalentine_06_e_11,True,,2,2,1.0,,,,,3,idle,,,1,think,,,13,idle,,,,
event_maidinvalentine_06_e_12,40007,event_maidinvalentine_06_e,Speech,cocoa,cocoa,Locale_SubScenario:event_maidinvalentine_06_e_12,True,,2,12,0.7,,,,,3,idle,,,1,think,,,13,serious,,,,
event_maidinvalentine_06_e_13,40007,event_maidinvalentine_06_e,Speech,ade,ade,Locale_SubScenario:event_maidinvalentine_06_e_13,True,,30,30,1.0,,,,,3,shy,,,1,idle,,,13,serious,,,,
event_maidinvalentine_06_e_14,40007,event_maidinvalentine_06_e,Speech,ade,ade,Locale_SubScenario:event_maidinvalentine_06_e_14,True,,30,30,1.0,,,,,3,shy,,,1,idle,,,13,idle,,,,
event_maidinvalentine_06_e_15,40007,event_maidinvalentine_06_e,Self,,Self,Locale_SubScenario:event_maidinvalentine_06_e_15,False,,30,30,1.0,,,,,3,shy,,,1,idle,,,13,idle,,,,
event_maidinvalentine_06_e_16,40007,event_maidinvalentine_06_e,Speech,ade,ade,Locale_SubScenario:event_maidinvalentine_06_e_16,True,,30,30,1.0,,,,,3,worried,,,1,idle,,,13,idle,,,,
event_maidinvalentine_06_e_17,40007,event_maidinvalentine_06_e,Speech,soda,soda,Locale_SubScenario:event_maidinvalentine_06_e_17,True,,S_10,S_10,1.0,,,,,3,worried,,,1,shy,,,13,idle,,,,
event_maidinvalentine_06_e_18,40007,event_maidinvalentine_06_e,Speech,cocoa,cocoa,Locale_SubScenario:event_maidinvalentine_06_e_18,True,,XS_130,XS_130,1.0,,,,,3,idle,,,1,shy,,,13,surprised,,,,
event_maidinvalentine_06_e_19,40007,event_maidinvalentine_06_e,Self,,Self,Locale_SubScenario:event_maidinvalentine_06_e_19,False,,XS_130,XS_130,1.0,,,,,3,idle,,,1,shy,,,13,surprised,,,,
event_maidinvalentine_06_e_20,40007,event_maidinvalentine_06_e,Speech,soda,soda,Locale_SubScenario:event_maidinvalentine_06_e_20,True,,XS_130,12,0.3,,,,,3,idle,,,1,sad,,,13,surprised,,,,
event_maidinvalentine_06_e_21,40007,event_maidinvalentine_06_e,Speech,cocoa,cocoa,Locale_SubScenario:event_maidinvalentine_06_e_21,True,,12,12,1.0,,,,,3,idle,,,1,sad,,,13,sad,,,,
event_maidinvalentine_06_e_22,40007,event_maidinvalentine_06_e,Speech,ade,ade,Locale_SubScenario:event_maidinvalentine_06_e_22,True,,12,2,0.7,,,,,3,idle,,,1,sad,,,13,sad,,,,
event_maidinvalentine_06_e_23,40007,event_maidinvalentine_06_e,Self,,Self,Locale_SubScenario:event_maidinvalentine_06_e_23,False,,2,2,1.0,,,,,3,idle,,,1,sad,,,13,sad,,,,
event_maidinvalentine_06_e_24,40007,event_maidinvalentine_06_e,Speech,cocoa,cocoa,Locale_SubScenario:event_maidinvalentine_06_e_24,True,,XS_130,XS_130,1.0,,,,,3,idle,,,1,idle,,,13,serious,,,,
event_maidinvalentine_06_e_25,40007,event_maidinvalentine_06_e,Monologue,,Monologue,Locale_SubScenario:event_maidinvalentine_06_e_25,False,,black,black,1.0,,,,,3,idle,,,1,idle,,,13,serious,,,,
event_maidinvalentine_06_e_26,40007,event_maidinvalentine_06_e,Speech,soda,soda,Locale_SubScenario:event_maidinvalentine_06_e_26,True,,S_10,S_10,1.0,,,,,3,idle,,,1,sad,,,13,idle,,,,
event_maidinvalentine_06_e_27,40007,event_maidinvalentine_06_e,Speech,ade,ade,Locale_SubScenario:event_maidinvalentine_06_e_27,True,,S_10,30,1.0,,,,,3,worried,,,1,sad,,,13,idle,,,,
event_maidinvalentine_06_e_28,40007,event_maidinvalentine_06_e,Self,,Self,Locale_SubScenario:event_maidinvalentine_06_e_28,False,,30,30,1.0,,,,,3,worried,,,1,sad,,,13,idle,,,,
event_maidinvalentine_06_e_29,40007,event_maidinvalentine_06_e,Speech,ade,ade,Locale_SubScenario:event_maidinvalentine_06_e_29,True,,30,30,1.0,,,,,3,shy,,,1,idle,,,13,idle,,,,
event_maidinvalentine_06_e_30,40007,event_maidinvalentine_06_e,Self,,Self,Locale_SubScenario:event_maidinvalentine_06_e_30,False,,30,30,1.0,,,,,3,shy,,,1,idle,,,13,idle,,,,
event_maidinvalentine_06_e_31,40007,event_maidinvalentine_06_e,Self,,Self,Locale_SubScenario:event_maidinvalentine_06_e_31,False,,30,30,1.0,,,,,3,shy,,,1,idle,,,13,idle,,,,
event_maidinvalentine_06_e_32,40007,event_maidinvalentine_06_e,Speech,ade,ade,Locale_SubScenario:event_maidinvalentine_06_e_32,True,,30,30,1.0,,,,,3,shy,,,1,idle,,,13,idle,,,,
