id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,fade,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
event_ce006_3_epilogue_1,40080,event_ce006_3_epilogue,Monologue,com,Locale_MainScenario:event_ce006_3_epilogue_1,False,com,12,idle,Park,black,black,1.0,collab_bgm_sb_camp_01,,,,,,,,,,,
event_ce006_3_epilogue_2,40080,event_ce006_3_epilogue,Monologue,com,Locale_MainScenario:event_ce006_3_epilogue_2,False,,12,idle,,black,black,1.0,,,,,,,,,,,,
event_ce006_3_epilogue_3,40080,event_ce006_3_epilogue,Monologue,com,Locale_MainScenario:event_ce006_3_epilogue_3,False,,12,idle,,black,black,1.0,,,,,,,,,,,,
event_ce006_3_epilogue_4,40080,event_ce006_3_epilogue,Monologue,com,Locale_MainScenario:event_ce006_3_epilogue_4,False,,12,idle,,black,black,1.0,,,,,,,,,,,,
event_ce006_3_epilogue_5,40080,event_ce006_3_epilogue,Monologue,com,Locale_MainScenario:event_ce006_3_epilogue_5,False,,12,idle,,black,black,1.0,,,,,,,,,,,,
event_ce006_3_epilogue_6,40080,event_ce006_3_epilogue,Monologue,com,Locale_MainScenario:event_ce006_3_epilogue_6,False,,12,idle,,black,black,1.0,,,,,,,,,,,,
event_ce006_3_epilogue_7,40080,event_ce006_3_epilogue,Monologue,com,Locale_MainScenario:event_ce006_3_epilogue_7,False,,12,idle,,black,black,1.0,,,,,,,,,,,,
event_ce006_3_epilogue_8,40080,event_ce006_3_epilogue,Monologue,com,Locale_MainScenario:event_ce006_3_epilogue_8,False,,12,idle,,black,black,1.0,,,,,,,,,,,,
event_ce006_3_epilogue_9,40080,event_ce006_3_epilogue,Speech,com,Locale_MainScenario:event_ce006_3_epilogue_9,True,,12,idle,,black,black,1.0,,com,,,,,,,,,,
event_ce006_3_epilogue_10,40080,event_ce006_3_epilogue,Speech,com,Locale_MainScenario:event_ce006_3_epilogue_10,True,,12,idle,,black,black,1.0,,com,,,,,,,,,,
event_ce006_3_epilogue_11,40080,event_ce006_3_epilogue,Speech,com,Locale_MainScenario:event_ce006_3_epilogue_11,True,,12,idle,,black,black,1.0,,com,,,,,,,,,,
event_ce006_3_epilogue_12,40080,event_ce006_3_epilogue,Monologue,com,Locale_MainScenario:event_ce006_3_epilogue_12,False,,12,idle,,12,12,1.0,,,,,,,,,,,,
event_ce006_3_epilogue_13,40080,event_ce006_3_epilogue,Monologue,com,Locale_MainScenario:event_ce006_3_epilogue_13,False,,12,idle,,12,12,1.0,,,,,,,,,,,,
event_ce006_3_epilogue_14,40080,event_ce006_3_epilogue,Monologue,privaty,Locale_MainScenario:event_ce006_3_epilogue_14,False,,12,idle,CommanderRoom,black,black,1.0,none,,com,privaty,2,idle,black,,,,,
event_ce006_3_epilogue_15,40080,event_ce006_3_epilogue,Speech,privaty,Locale_MainScenario:event_ce006_3_epilogue_15,True,,,,,S_20,S_20,1.0,bgm_story_overjoy,privaty,,,2,idle,,,,,,
event_ce006_3_epilogue_16,40080,event_ce006_3_epilogue,Self,privaty,Locale_MainScenario:event_ce006_3_epilogue_16,False,,,,,S_20,S_20,1.0,,,,,2,idle,,,,,,
