id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,play_sound,fade,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
event_icedragonsaga1_04_e_1,40064,event_icedragonsaga1_04_e,Speech,narration,Locale_MainScenario:event_icedragonsaga1_04_e_1,False,IceLand_05,17,17,1.0,event_bgm_icedragonsaga_darkness,,,,,,,,,,,,,,,,,,,
event_icedragonsaga1_04_e_2,40064,event_icedragonsaga1_04_e,Speech,narration,Locale_MainScenario:event_icedragonsaga1_04_e_2,False,,17,17,1.0,,,,,,,,,,,,,,,,,,,,
event_icedragonsaga1_04_e_3,40064,event_icedragonsaga1_04_e,Speech,narration,Locale_MainScenario:event_icedragonsaga1_04_e_3,False,,17,17,1.0,,,,,,,,,,,,,,,,,,,,
event_icedragonsaga1_04_e_4,40064,event_icedragonsaga1_04_e,Speech,vesti_c,Locale_MainScenario:event_icedragonsaga1_04_e_4,True,,17,12,1.0,,vesti_c,guillotine_w_no,3,idle,maiden_w,1,no,vesti_c,13,idle,,,,,,,,,
event_icedragonsaga1_04_e_5,40064,event_icedragonsaga1_04_e,Speech,vesti_c,Locale_MainScenario:event_icedragonsaga1_04_e_5,True,,12,12,1.0,,vesti_c,,3,idle,,1,no,,13,idle,,,,,,,,,
event_icedragonsaga1_04_e_6,40064,event_icedragonsaga1_04_e,Speech,vesti_c,Locale_MainScenario:event_icedragonsaga1_04_e_6,True,,12,12,1.0,,vesti_c,,3,idle,,1,no,,13,idle,,,,,,,,,
event_icedragonsaga1_04_e_7,40064,event_icedragonsaga1_04_e,Speech,maiden_w,Locale_MainScenario:event_icedragonsaga1_04_e_7,True,,12,12,1.0,,maiden_w,,3,idle,,1,no,,13,idle,,,,,,,,,
event_icedragonsaga1_04_e_8,40064,event_icedragonsaga1_04_e,Speech,maiden_w,Locale_MainScenario:event_icedragonsaga1_04_e_8,True,,12,2,1.0,,maiden_w,,3,idle,,1,no,,13,idle,,,,,,,,,
event_icedragonsaga1_04_e_9,40064,event_icedragonsaga1_04_e,Speech,maiden_w,Locale_MainScenario:event_icedragonsaga1_04_e_9,True,,2,2,1.0,,maiden_w,,3,idle,,1,no,,13,idle,,,,,,,,,
event_icedragonsaga1_04_e_10,40064,event_icedragonsaga1_04_e,Speech,guillotine_w_no,Locale_MainScenario:event_icedragonsaga1_04_e_10,True,,2,2,1.0,,guillotine_w_no,,3,idle,,1,no,,13,idle,,,,,,,,,
