id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
event_unbreakablesphere1_01_e_1,40075,event_unbreakablesphere1_01_e,Narration,Locale_MainScenario:event_unbreakablesphere1_01_e_1,False,TreeOfWater,black,black,1.0,sfx_scn_snackbite,event_bgm_ubsphere_waterdrop,,,mori,1,idle,littlemermaid,3,idle,mihara_b,13,idle,yuni_n,15,idle
event_unbreakablesphere1_01_e_2,40075,event_unbreakablesphere1_01_e,Narration,Locale_MainScenario:event_unbreakablesphere1_01_e_2,False,,black,black,1.0,,,,,,1,idle,,3,idle,,13,idle,,15,idle
event_unbreakablesphere1_01_e_3,40075,event_unbreakablesphere1_01_e,Speech,Locale_MainScenario:event_unbreakablesphere1_01_e_3,False,,S_100,S_10,1.0,,,mori,mori,,1,idle,,3,idle,,13,idle,,15,idle
event_unbreakablesphere1_01_e_4,40075,event_unbreakablesphere1_01_e,Narration,Locale_MainScenario:event_unbreakablesphere1_01_e_4,False,,S_10,S_10,1.0,,,mori,,,1,idle,,3,idle,,13,idle,,15,idle
event_unbreakablesphere1_01_e_5,40075,event_unbreakablesphere1_01_e,Speech,Locale_MainScenario:event_unbreakablesphere1_01_e_5,False,,S_10,31,1.0,,,littlemermaid,littlemermaid,,1,idle,,3,idle,,13,idle,,15,idle
event_unbreakablesphere1_01_e_6,40075,event_unbreakablesphere1_01_e,Speech,Locale_MainScenario:event_unbreakablesphere1_01_e_6,True,,31,31,1.0,,,mori,mori,,1,idle,,3,idle,,13,idle,,15,idle
event_unbreakablesphere1_01_e_7,40075,event_unbreakablesphere1_01_e,Speech,Locale_MainScenario:event_unbreakablesphere1_01_e_7,True,,31,31,1.0,,,littlemermaid,littlemermaid,,1,idle,,3,delight,,13,idle,,15,idle
event_unbreakablesphere1_01_e_8,40075,event_unbreakablesphere1_01_e,Speech,Locale_MainScenario:event_unbreakablesphere1_01_e_8,True,,31,31,1.0,,,mori,mori,,1,idle,,3,delight,,13,idle,,15,idle
event_unbreakablesphere1_01_e_9,40075,event_unbreakablesphere1_01_e,Speech,Locale_MainScenario:event_unbreakablesphere1_01_e_9,True,,31,1,0.7,,,mori,mori,,1,idle,,3,delight,,13,idle,,15,idle
event_unbreakablesphere1_01_e_10,40075,event_unbreakablesphere1_01_e,Speech,Locale_MainScenario:event_unbreakablesphere1_01_e_10,True,,1,113,1.0,,,mihara_b,mihara_b,,1,idle,,3,delight,,13,idle,,15,idle
event_unbreakablesphere1_01_e_11,40075,event_unbreakablesphere1_01_e,Speech,Locale_MainScenario:event_unbreakablesphere1_01_e_11,True,,113,113,1.0,,,mori,mori,,1,idle,,3,delight,,13,idle,,15,idle
event_unbreakablesphere1_01_e_12,40075,event_unbreakablesphere1_01_e,Speech,Locale_MainScenario:event_unbreakablesphere1_01_e_12,True,,113,113,1.0,,,mihara_b,mihara_b,,1,idle,,3,delight,,13,idle,,15,idle
event_unbreakablesphere1_01_e_13,40075,event_unbreakablesphere1_01_e,Speech,Locale_MainScenario:event_unbreakablesphere1_01_e_13,True,,113,113,1.0,,,mihara_b,mihara_b,,1,idle,,3,delight,,13,idle,,15,idle
event_unbreakablesphere1_01_e_14,40075,event_unbreakablesphere1_01_e,Speech,Locale_MainScenario:event_unbreakablesphere1_01_e_14,True,,S_10,S_100,0.7,,,mori,mori,,1,shy_02,,3,delight,,13,idle,,15,idle
event_unbreakablesphere1_01_e_15,40075,event_unbreakablesphere1_01_e,Speech,Locale_MainScenario:event_unbreakablesphere1_01_e_15,True,,L_300,L_300,1.0,,,littlemermaid,littlemermaid,,1,shy_02,,3,delight,,13,idle,,15,idle
event_unbreakablesphere1_01_e_16,40075,event_unbreakablesphere1_01_e,Speech,Locale_MainScenario:event_unbreakablesphere1_01_e_16,True,,1300,1300,1.0,,,mihara_b,mihara_b,,1,shy_02,,3,delight,,13,idle,,15,idle
event_unbreakablesphere1_01_e_17,40075,event_unbreakablesphere1_01_e,Speech,Locale_MainScenario:event_unbreakablesphere1_01_e_17,True,,L_300,L_300,1.0,,,littlemermaid,littlemermaid,,1,shy_02,,3,delight,,13,idle,,15,idle
event_unbreakablesphere1_01_e_18,40075,event_unbreakablesphere1_01_e,Speech,Locale_MainScenario:event_unbreakablesphere1_01_e_18,True,,1300,1300,1.0,,,mihara_b,mihara_b,,1,idle,,3,delight,,13,surprise,,15,idle
event_unbreakablesphere1_01_e_19,40075,event_unbreakablesphere1_01_e,Speech,Locale_MainScenario:event_unbreakablesphere1_01_e_19,True,,1300,1300,1.0,,,mihara_b,mihara_b,,1,idle,,3,delight,,13,surprise,,15,idle
