id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_ambient,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,highlight,speaker,play_sound,fade
snowfall_episode_mica_02_1,80903,snowfall_episode_mica_02,Monologue,Locale_SubScenario:snowfall_episode_mica_02_1,False,Trail_s,15,15,1.0,amb_so_trail_1,event_bgm_neverland_snowflakes_day,,,,,,,
snowfall_episode_mica_02_2,80903,snowfall_episode_mica_02,Monologue,Locale_SubScenario:snowfall_episode_mica_02_2,False,,15,15,1.0,,,,,,,,,
snowfall_episode_mica_02_3,80903,snowfall_episode_mica_02,Self,Locale_SubScenario:snowfall_episode_mica_02_3,False,,15,15,1.0,,,,,,,,,
snowfall_episode_mica_02_4,80903,snowfall_episode_mica_02,Monologue,Locale_SubScenario:snowfall_episode_mica_02_4,False,,15,15,1.0,,,,,,,,,
snowfall_episode_mica_02_5,80903,snowfall_episode_mica_02,Monologue,Locale_SubScenario:snowfall_episode_mica_02_5,False,,15,1,2.0,,,mica_w,1,idle,,,,
snowfall_episode_mica_02_6,80903,snowfall_episode_mica_02,Speech,Locale_SubScenario:snowfall_episode_mica_02_10,True,,1,S_10,1.0,,,,1,delight,mica_w,mica_w,,
snowfall_episode_mica_02_7,80903,snowfall_episode_mica_02,Speech,Locale_SubScenario:snowfall_episode_mica_02_11,True,,S_10,S_10,1.0,,,,1,delight,mica_w,mica_w,,
snowfall_episode_mica_02_8,80903,snowfall_episode_mica_02,Speech,Locale_SubScenario:snowfall_episode_mica_02_12,True,,S_10,S_10,1.0,,,,1,delight,mica_w,mica_w,,
snowfall_episode_mica_02_9,80903,snowfall_episode_mica_02,Self,Locale_SubScenario:snowfall_episode_mica_02_13,False,,S_10,S_10,1.0,,,,1,delight,,,,
snowfall_episode_mica_02_10,80903,snowfall_episode_mica_02,Speech,Locale_SubScenario:snowfall_episode_mica_02_14,False,,S_10,S_100,1.0,,,,1,idle,mica_w,mica_w,,
snowfall_episode_mica_02_11,80903,snowfall_episode_mica_02,Speech,Locale_SubScenario:snowfall_episode_mica_02_15,True,,S_100,S_100,1.0,,,,1,idle,mica_w,mica_w,,
snowfall_episode_mica_02_12,80903,snowfall_episode_mica_02,Self,Locale_SubScenario:snowfall_episode_mica_02_16,False,,S_100,S_100,1.0,,,,1,idle,,,,
snowfall_episode_mica_02_13,80903,snowfall_episode_mica_02,Speech,Locale_SubScenario:snowfall_episode_mica_02_17,True,,S_100,S_10,1.0,,,,1,surprise,mica_w,mica_w,,
snowfall_episode_mica_02_14,80903,snowfall_episode_mica_02,Speech,Locale_SubScenario:snowfall_episode_mica_02_18,True,,S_10,S_10,1.0,,,,1,idle,mica_w,mica_w,,
snowfall_episode_mica_02_15,80903,snowfall_episode_mica_02,Speech,Locale_SubScenario:snowfall_episode_mica_02_19,True,,S_10,S_10,1.0,,,,1,idle,mica_w,mica_w,,
snowfall_episode_mica_02_16,80903,snowfall_episode_mica_02,Speech,Locale_SubScenario:snowfall_episode_mica_02_20,True,,S_10,S_10,1.0,,,,1,delight,mica_w,mica_w,,
snowfall_episode_mica_02_17,80903,snowfall_episode_mica_02,Self,Locale_SubScenario:snowfall_episode_mica_02_21,False,,S_10,S_10,1.0,,,,1,delight,,,,
snowfall_episode_mica_02_18,80903,snowfall_episode_mica_02,Speech,Locale_SubScenario:snowfall_episode_mica_02_22,True,,S_10,S_10,1.0,,,,1,delight,mica_w,mica_w,,
snowfall_episode_mica_02_19,80903,snowfall_episode_mica_02,Self,Locale_SubScenario:snowfall_episode_mica_02_23,False,,S_10,S_10,1.0,,,,1,delight,,,,
snowfall_episode_mica_02_20,80903,snowfall_episode_mica_02,Self,Locale_SubScenario:snowfall_episode_mica_02_24,False,,S_10,S_10,1.0,,,,1,delight,,,,
snowfall_episode_mica_02_21,80903,snowfall_episode_mica_02,Speech,Locale_SubScenario:snowfall_episode_mica_02_25,True,,S_10,S_100,1.0,,,,1,surprise,mica_w,mica_w,,
snowfall_episode_mica_02_22,80903,snowfall_episode_mica_02,Self,Locale_SubScenario:snowfall_episode_mica_02_26,False,,S_100,S_100,1.0,,,,1,surprise,,,,
snowfall_episode_mica_02_23,80903,snowfall_episode_mica_02,Speech,Locale_SubScenario:snowfall_episode_mica_02_27,True,,S_100,S_100,1.0,,,,1,surprise,mica_w,mica_w,,
snowfall_episode_mica_02_24,80903,snowfall_episode_mica_02,Self,Locale_SubScenario:snowfall_episode_mica_02_28,False,,S_100,S_100,1.0,,,,1,surprise,,,,
snowfall_episode_mica_02_25,80903,snowfall_episode_mica_02,Monologue,Locale_SubScenario:snowfall_episode_mica_02_29,False,,S_100,S_10,1.0,,,,1,surprise,,,,
