id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/hide_char_id,set_camera_shake,jump_target,characters/0/hide_char_id
event_BunnyX777_04_s_1,40014,event_BunnyX777_04_s,Narration,Locale_SubScenario:event_BunnyX777_04_s_1,False,mustang,5,delight,CoinRushIndoor,black,black,1.0,event_bgm_bunny777,,,,,,,,,,
event_BunnyX777_04_s_2,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_2,True,,5,delight,,5,L_500,1.0,,mustang,mustang,,,,,,,,
event_BunnyX777_04_s_3,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_3,True,,5,delight,,L_500,L_500,1.0,,mustang,mustang,,,,,,,,
event_BunnyX777_04_s_4,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_4,True,,5,delight,,L_500,L_500,1.0,,mustang,mustang,,,,,,,,
event_BunnyX777_04_s_5,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_5,True,,5,idle,,L_500,L_500,1.0,,mustang,mustang,,,,,,,,
event_BunnyX777_04_s_6,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_6,True,,5,idle,,L_500,L_50,0.5,,mustang,mustang,,,,,,,,
event_BunnyX777_04_s_7,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_7,True,,5,idle,,L_50,L_50,1.0,,mustang,mustang,,,,,,,,
event_BunnyX777_04_s_8,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_8,True,,5,idle,,L_50,L_50,1.0,,mustang,mustang,,,,,,,,
event_BunnyX777_04_s_9,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_9,True,,5,idle,,L_50,L_50,1.0,,mustang,mustang,,,,,,,,
event_BunnyX777_04_s_10,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_10,True,,5,idle,,L_50,L_50,1.0,,participants,participants,sfx_scn_crowdcheer,,,,,,,
event_BunnyX777_04_s_11,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_11,True,,5,idle,,L_50,L_50,1.0,,mustang,mustang,,,,,,,,
event_BunnyX777_04_s_12,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_12,True,,5,idle,,L_50,L_500,1.0,,mustang,mustang,,,,,,,,
event_BunnyX777_04_s_13,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_13,True,,5,idle,,L_500,L_500,1.0,,blanc,blanc,,blanc,1,idle,,,,
event_BunnyX777_04_s_14,40014,event_BunnyX777_04_s,Narration,Locale_SubScenario:event_BunnyX777_04_s_14,False,,5,idle,,L_500,L_100,2.0,,,,,,1,idle,,,,
event_BunnyX777_04_s_15,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_15,True,,5,idle,,L_100,L_100,1.0,,blanc,blanc,,,1,idle,,,,
event_BunnyX777_04_s_16,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_16,True,,5,idle,,L_100,L_100,1.0,,blanc,blanc,,,1,delight,mustang,,,
event_BunnyX777_04_s_17,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_17,True,,,,,L_100,L_100,1.0,,participants,participants,sfx_scn_crowdcheer,,1,delight,,Low_2,,
event_BunnyX777_04_s_18,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_18,True,,,,,L_100,L_100,1.0,,youngman,youngman,,,1,delight,,,,
event_BunnyX777_04_s_19,40014,event_BunnyX777_04_s,Speech,Locale_SubScenario:event_BunnyX777_04_s_19,True,,,,,L_100,L_100,1.0,,blanc,blanc,,,1,idle,,,,
