id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,fade,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id
event_1yearalready_07_1,130003,event_1yearalready_07,Speech,alice,alice,Locale_SubScenario:event_1yearalready_07_1,True,OutpostOut,2,2,1.0,bgm_story_backtonormal,,,,alice,3,delight,,ludmilla,1,idle,,,,,,,,,,,,,,,,
event_1yearalready_07_2,130003,event_1yearalready_07,Speech,ludmilla,ludmilla,Locale_SubScenario:event_1yearalready_07_2,True,,2,2,1.0,,,,,,3,delight,,,1,idle,,,,,,,,,,,,,,,,
event_1yearalready_07_3,130003,event_1yearalready_07,Self,,,Locale_SubScenario:event_1yearalready_07_3,False,,2,2,1.0,,,,,,3,delight,,,1,idle,,,,,,,,,,,,,,,,
event_1yearalready_07_4,130003,event_1yearalready_07,Speech,alice,alice,Locale_SubScenario:event_1yearalready_07_4,True,,2,2,1.0,,,,,,3,idle,,,1,idle,,,,,,,,,,,,,,,,
event_1yearalready_07_5,130003,event_1yearalready_07,Speech,alice,alice,Locale_SubScenario:event_1yearalready_07_5,True,,2,2,1.0,,,,,,3,idle,,,1,idle,,,,,,,,,,,,,,,,
event_1yearalready_07_6,130003,event_1yearalready_07,Speech,ludmilla,ludmilla,Locale_SubScenario:event_1yearalready_07_6,True,,2,2,1.0,,,,,,3,idle,,,1,idle,,,,,,,,,,,,,,,,
event_1yearalready_07_7,130003,event_1yearalready_07,Speech,ludmilla,ludmilla,Locale_SubScenario:event_1yearalready_07_7,True,,2,2,1.0,,,,,,3,idle,,,1,idle,,,,,,,,,,,,,,,,
event_1yearalready_07_8,130003,event_1yearalready_07,Speech,ludmilla,ludmilla,Locale_SubScenario:event_1yearalready_07_8,True,,2,2,1.0,,,,,,3,idle,,,1,idle,,,,,,,,,,,,,,,,
event_1yearalready_07_9,130003,event_1yearalready_07,Monologue,,,Locale_SubScenario:event_1yearalready_07_9,False,,2,2,1.0,,,,,,3,idle,,,1,idle,,,,,,,,,,,,,,,,
event_1yearalready_07_10,130003,event_1yearalready_07,Speech,alice,alice,Locale_SubScenario:event_1yearalready_07_10,True,,2,S_30,1.0,,,,,,3,idle,,,1,idle,,,,,,,,,,,,,,,,
event_1yearalready_07_11,130003,event_1yearalready_07,Speech,alice,alice,Locale_SubScenario:event_1yearalready_07_11,True,,S_30,S_30,1.0,,,,,,3,idle,,,1,idle,,,,,,,,,,,,,,,,
event_1yearalready_07_12,130003,event_1yearalready_07,Speech,ludmilla,ludmilla,Locale_SubScenario:event_1yearalready_07_12,True,,S_30,10,1.0,,,,,,3,idle,,,1,idle,,,,,,,,,,,,,,,,
event_1yearalready_07_13,130003,event_1yearalready_07,Speech,ludmilla,ludmilla,Locale_SubScenario:event_1yearalready_07_13,True,,10,10,1.0,,,,,,3,idle,,,1,idle,,,,,,,,,,,,,,,,
event_1yearalready_07_14,130003,event_1yearalready_07,Self,,,Locale_SubScenario:event_1yearalready_07_14,False,,10,10,1.0,,,,,,3,idle,,,1,idle,,,,,,,,,,,,,,,,
event_1yearalready_07_15,130003,event_1yearalready_07,Speech,alice,alice,Locale_SubScenario:event_1yearalready_07_15,True,,10,2,1.0,,,,,,3,surprise,,,1,idle,,,,,,,,,,,,,,,,
event_1yearalready_07_16,130003,event_1yearalready_07,Speech,alice,alice,Locale_SubScenario:event_1yearalready_07_16,True,,2,2,1.0,,,,,,3,delight,,,1,idle,,,,,,,,,,,,,,,,
event_1yearalready_07_17,130003,event_1yearalready_07,Speech,ludmilla,ludmilla,Locale_SubScenario:event_1yearalready_07_17,True,,2,2,1.0,,,,,,3,delight,,,1,idle,,,,,,,,,,,,,,,,
event_1yearalready_07_18,130003,event_1yearalready_07,Speech,ludmilla,ludmilla,Locale_SubScenario:event_1yearalready_07_18,True,,2,2,1.0,,,,,,3,delight,,,1,idle,,,,,,,,,,,,,,,,
event_1yearalready_07_19,130003,event_1yearalready_07,Monologue,,,Locale_SubScenario:event_1yearalready_07_19,False,,2,2,1.0,,,,,,3,delight,alice,,1,idle,ludmilla,,,,,,,,,,,,,,,
event_1yearalready_07_20,130003,event_1yearalready_07,Narration,,,Locale_SubScenario:event_1yearalready_07_20,False,MaidCafe,4,4,1.0,none,sfx_scn_toyshopbell,black,,,,,,,,,,,,,,,,,,,,,,,,
event_1yearalready_07_21,130003,event_1yearalready_07,Speech,sugar,sugar,Locale_SubScenario:event_1yearalready_07_21,True,,4,4,1.0,bgm_story_languor,,,,sugar,5,delight,,milk,3,idle,,frima,1,idle,,,,,,,,,,,,
event_1yearalready_07_22,130003,event_1yearalready_07,Speech,milk,milk,Locale_SubScenario:event_1yearalready_07_22,True,,4,4,1.0,,,,,,5,delight,,,3,idle,,,1,idle,,,,,,,,,,,,
event_1yearalready_07_23,130003,event_1yearalready_07,Speech,frima,frima,Locale_SubScenario:event_1yearalready_07_23,True,,4,2,1.0,,,,,,5,delight,,,3,idle,,,1,idle,,,,,,,,,,,,
event_1yearalready_07_24,130003,event_1yearalready_07,Self,,,Locale_SubScenario:event_1yearalready_07_24,False,,2,2,1.0,,,,,,5,delight,,,3,idle,,,1,idle,,,,,,,,,,,,
event_1yearalready_07_25,130003,event_1yearalready_07,Speech,sugar,sugar,Locale_SubScenario:event_1yearalready_07_25,True,,S_50,S_50,1.0,,,,,,5,idle,,,3,idle,,,1,idle,,,,,,,,,,,,
event_1yearalready_07_26,130003,event_1yearalready_07,Speech,sugar,sugar,Locale_SubScenario:event_1yearalready_07_26,True,,S_50,S_50,1.0,,,,,,5,idle,,,3,idle,,,1,idle,,,,,,,,,,,,
event_1yearalready_07_27,130003,event_1yearalready_07,Speech,milk,milk,Locale_SubScenario:event_1yearalready_07_27,True,,S_50,S_30,1.0,,,,,,5,idle,,,3,good,,,1,idle,,,,,,,,,,,,
