id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,jump_target,fade,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
event_nyanyaparadise_05_s_1,40022,event_nyanyaparadise_05_s,Narration,Locale_SubScenario:event_nyanyaparadise_05_s_1,False,SchoolCorridor,black,black,1.0,bgm_inark,,,,,,,ruru,1,delight,nero,3,idle,,,,
event_nyanyaparadise_05_s_2,40022,event_nyanyaparadise_05_s,Speech,Locale_SubScenario:event_nyanyaparadise_05_s_2,True,,1,XS_10,1.0,,ruru,ruru,,,,,,1,delight,,3,idle,,,,
event_nyanyaparadise_05_s_3,40022,event_nyanyaparadise_05_s,Monologue,Locale_SubScenario:event_nyanyaparadise_05_s_3,False,,XS_10,XS_10,1.0,,,,,,,,,1,delight,,3,idle,,,,
event_nyanyaparadise_05_s_4,40022,event_nyanyaparadise_05_s,Speech,Locale_SubScenario:event_nyanyaparadise_05_s_4,True,,XS_10,31,1.0,,nero,nero,,,,,,1,delight,,3,idle,,,,
event_nyanyaparadise_05_s_5,40022,event_nyanyaparadise_05_s,Speech,Locale_SubScenario:event_nyanyaparadise_05_s_5,True,,31,31,1.0,,ruru,ruru,,,,,,1,delight,,3,idle,,,,
event_nyanyaparadise_05_s_6,40022,event_nyanyaparadise_05_s,Speech,Locale_SubScenario:event_nyanyaparadise_05_s_6,True,,31,31,1.0,,ruru,ruru,,,,,,1,delight,,3,idle,,,,
event_nyanyaparadise_05_s_7,40022,event_nyanyaparadise_05_s,Self,Locale_SubScenario:event_nyanyaparadise_05_s_7,False,,31,31,1.0,,,,,,,,,1,delight,,3,idle,,,,
event_nyanyaparadise_05_s_8,40022,event_nyanyaparadise_05_s,Speech,Locale_SubScenario:event_nyanyaparadise_05_s_8,True,,31,L_30,1.0,,nero,nero,,,,,,1,delight,,3,idle,,,,
event_nyanyaparadise_05_s_9,40022,event_nyanyaparadise_05_s,Speech,Locale_SubScenario:event_nyanyaparadise_05_s_9,True,,L_30,L_30,1.0,,nero,nero,,,,,,1,delight,,3,idle,,,,
event_nyanyaparadise_05_s_10,40022,event_nyanyaparadise_05_s,Speech,Locale_SubScenario:event_nyanyaparadise_05_s_10,True,,L_30,L_30,1.0,,nero,nero,,,,,,1,delight,,3,idle,,,,
event_nyanyaparadise_05_s_11,40022,event_nyanyaparadise_05_s,Speech,Locale_SubScenario:event_nyanyaparadise_05_s_11,True,,L_30,L_30,1.0,,nero,nero,,,,,,1,delight,,3,idle,,,,
event_nyanyaparadise_05_s_12,40022,event_nyanyaparadise_05_s,Speech,Locale_SubScenario:event_nyanyaparadise_05_s_12,True,,L_30,L_30,1.0,,nero,nero,,,,,,1,delight,,3,idle,,,,
event_nyanyaparadise_05_s_13,40022,event_nyanyaparadise_05_s,Speech,Locale_SubScenario:event_nyanyaparadise_05_s_13,True,,L_30,L_30,1.0,,nero,nero,,,,,,1,delight,,3,idle,,,,
event_nyanyaparadise_05_s_14,40022,event_nyanyaparadise_05_s,Speech,Locale_SubScenario:event_nyanyaparadise_05_s_14,False,,L_30,31,2.0,,ruru,ruru,,,,,,1,angry,,3,idle,,,,
event_nyanyaparadise_05_s_15,40022,event_nyanyaparadise_05_s,Self,Locale_SubScenario:event_nyanyaparadise_05_s_15,False,,31,31,1.0,,,,,,,,,1,angry,,3,idle,,,,
