id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,set_camera_shake,play_sound
d_ex_redash_01_1_1,80800,d_ex_redash_01_1,Narration,Narration,Locale_SuddenStory:d_ex_redash_01_1_1,False,redhood,3,surprise_02,rapunzel_o,5,idle,Hospital,black,black,1.0,none,,,
d_ex_redash_01_1_2,80800,d_ex_redash_01_1,Speech,redhood,Locale_SuddenStory:d_ex_redash_01_1_2,True,,3,surprise_02,,5,idle,,4,4,1.0,bgm_recognition_underworld,redhood,,
d_ex_redash_01_1_3,80800,d_ex_redash_01_1,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_01_1_3,True,,3,surprise_02,,5,idle,,4,4,1.0,,rapunzel_o,,
d_ex_redash_01_1_4,80800,d_ex_redash_01_1,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_01_1_4,True,,3,surprise_02,,5,idle,,4,4,1.0,,rapunzel_o,,
d_ex_redash_01_1_5,80800,d_ex_redash_01_1,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_01_1_5,True,,3,surprise_02,,5,idle,,4,4,1.0,,rapunzel_o,,
d_ex_redash_01_1_6,80800,d_ex_redash_01_1,Speech,redhood,Locale_SuddenStory:d_ex_redash_01_1_6,True,,3,angry,,5,idle,,4,3,1.0,,redhood,,
d_ex_redash_01_1_7,80800,d_ex_redash_01_1,Speech,redhood,Locale_SuddenStory:d_ex_redash_01_1_7,True,,3,go,,5,idle,,3,3,1.0,,redhood,,
d_ex_redash_01_1_8,80800,d_ex_redash_01_1,Speech,redhood,Locale_SuddenStory:d_ex_redash_01_1_8,True,,3,go,,5,idle,,3,3,1.0,,redhood,,
d_ex_redash_01_1_9,80800,d_ex_redash_01_1,Speech,redhood,Locale_SuddenStory:d_ex_redash_01_1_9,True,,3,angry,,5,idle,,3,30,1.0,,redhood,,
d_ex_redash_01_1_10,80800,d_ex_redash_01_1,Speech,redhood,Locale_SuddenStory:d_ex_redash_01_1_10,True,,3,go,,5,idle,,30,30,1.0,,redhood,,
d_ex_redash_01_1_11,80800,d_ex_redash_01_1,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_01_1_11,True,,3,go,,5,idle,,30,30,1.0,,rapunzel_o,,
d_ex_redash_01_1_12,80800,d_ex_redash_01_1,Speech,redhood,Locale_SuddenStory:d_ex_redash_01_1_12,True,,3,sad_02,,5,idle,,30,3,1.0,,redhood,,
d_ex_redash_01_1_13,80800,d_ex_redash_01_1,Speech,redhood,Locale_SuddenStory:d_ex_redash_01_1_13,True,,3,sad_02,,5,idle,,3,3,1.0,,redhood,,
d_ex_redash_01_1_14,80800,d_ex_redash_01_1,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_01_1_14,True,,3,sad_02,,5,no,,3,4,1.0,,rapunzel_o,,
d_ex_redash_01_1_15,80800,d_ex_redash_01_1,Speech,redhood,Locale_SuddenStory:d_ex_redash_01_1_15,True,,3,go,,5,no,,4,4,1.0,,redhood,,
d_ex_redash_01_1_16,80800,d_ex_redash_01_1,Speech,redhood,Locale_SuddenStory:d_ex_redash_01_1_16,True,,3,go,,5,no,,4,4,1.0,,redhood,,
d_ex_redash_01_1_17,80800,d_ex_redash_01_1,Speech,redhood,Locale_SuddenStory:d_ex_redash_01_1_17,True,,3,go,,5,no,,4,4,1.0,,redhood,,
d_ex_redash_01_1_18,80800,d_ex_redash_01_1,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_01_1_18,True,,3,go,,5,idle,,4,4,1.0,,rapunzel_o,,
