id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
event_footstepwalkrun2_04_s_1,40066,event_footstepwalkrun2_04_s,Speech,redhood,redhood,Locale_MainScenario:event_footstepwalkrun2_04_s_1,True,WasteLand_03,13,113,1.0,event_bgm_redash_alldownhill,,,rapi_m,1,idle,redhood,13,go
event_footstepwalkrun2_04_s_2,40066,event_footstepwalkrun2_04_s,Speech,rapi_m,rapi_m,Locale_MainScenario:event_footstepwalkrun2_04_s_2,True,,113,113,1.0,,,,,1,idle,,13,go
event_footstepwalkrun2_04_s_3,40066,event_footstepwalkrun2_04_s,Speech,redhood,redhood,Locale_MainScenario:event_footstepwalkrun2_04_s_3,True,,113,113,1.0,,,,,1,idle,,13,go
event_footstepwalkrun2_04_s_4,40066,event_footstepwalkrun2_04_s,Speech,rapi_m,rapi_m,Locale_MainScenario:event_footstepwalkrun2_04_s_4,True,,113,113,1.0,,,,,1,idle,,13,go
event_footstepwalkrun2_04_s_5,40066,event_footstepwalkrun2_04_s,Speech,redhood,redhood,Locale_MainScenario:event_footstepwalkrun2_04_s_5,True,,113,113,1.0,,,,,1,idle,,13,think
event_footstepwalkrun2_04_s_6,40066,event_footstepwalkrun2_04_s,Speech,rapi_m,rapi_m,Locale_MainScenario:event_footstepwalkrun2_04_s_6,False,,113,113,1.0,,,,,1,idle,,13,think
event_footstepwalkrun2_04_s_7,40066,event_footstepwalkrun2_04_s,Speech,redhood,redhood,Locale_MainScenario:event_footstepwalkrun2_04_s_7,True,,113,13,1.0,,,,,1,idle,,13,worry
event_footstepwalkrun2_04_s_8,40066,event_footstepwalkrun2_04_s,Speech,redhood,redhood,Locale_MainScenario:event_footstepwalkrun2_04_s_8,True,,13,130,1.0,,,,,1,idle,,13,worry
event_footstepwalkrun2_04_s_9,40066,event_footstepwalkrun2_04_s,Speech,redhood,redhood,Locale_MainScenario:event_footstepwalkrun2_04_s_9,True,,130,1300,1.0,,,,,1,idle,,13,worry
event_footstepwalkrun2_04_s_10,40066,event_footstepwalkrun2_04_s,Speech,rapi_m,rapi_m,Locale_MainScenario:event_footstepwalkrun2_04_s_10,True,,100,100,1.0,,,,,1,idle,,13,worry
