id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,fade,characters/0/hide_char_id,characters/1/hide_char_id,characters/5/hide_char_id,characters/6/hide_char_id,play_sound,characters/7/hide_char_id
event_ce006_1_03_s_1,40079,event_ce006_1_03_s,Speech,ce006_03,ce006_03,Locale_MainScenario:event_ce006_1_03_s_1,True,ce006_01,7,idle,ce006_npc_01,5,idle,ce006_03,3,no,roam,1,idle,rapi,13,idle,anis,15,void,artcity_d,S_30,S_30,1.0,collab_bgm_sb_field_floodedcs_inst,,,,,,,,,,,,,,,,
event_ce006_1_03_s_2,40079,event_ce006_1_03_s,Speech,ce006_03,ce006_03,Locale_MainScenario:event_ce006_1_03_s_2,True,,7,idle,,5,idle,,3,no,,1,idle,,13,idle,,15,void,,S_30,S_30,1.0,,,,,,,,,,,,,,,,,
event_ce006_1_03_s_3,40079,event_ce006_1_03_s,Speech,ce006_npc_01,ce006_npc_01,Locale_MainScenario:event_ce006_1_03_s_3,True,,7,idle,,5,idle,,3,no,,1,idle,,13,idle,,15,void,,S_30,4,1.3,,,,,,,,,,,,,,,,,
event_ce006_1_03_s_4,40079,event_ce006_1_03_s,Speech,ce006_npc_01,ce006_npc_01,Locale_MainScenario:event_ce006_1_03_s_4,True,,7,idle,,5,idle,,3,no,,1,idle,,13,idle,,15,void,,4,4,1.0,,,,,,,,,,,,,,,,,
event_ce006_1_03_s_5,40079,event_ce006_1_03_s,Speech,ce006_03,ce006_03,Locale_MainScenario:event_ce006_1_03_s_5,True,,7,idle,,5,idle,,3,special,,1,idle,,13,idle,,15,void,,4,4,1.0,,,,,,,,,,,,,,,,,
event_ce006_1_03_s_6,40079,event_ce006_1_03_s,Speech,ce006_npc_01,ce006_npc_01,Locale_MainScenario:event_ce006_1_03_s_6,True,,7,idle,,5,idle,,3,special,,1,idle,,13,idle,,15,void,,4,4,1.0,,,,,,,,,,,,,,,,,
event_ce006_1_03_s_7,40079,event_ce006_1_03_s,Speech,ce006_03,ce006_03,Locale_MainScenario:event_ce006_1_03_s_7,True,,7,idle,,5,idle,,3,sad,,1,idle,,13,idle,,15,void,,4,4,1.0,,,,,,,,,,,,,,,,,
event_ce006_1_03_s_8,40079,event_ce006_1_03_s,Speech,ce006_npc_01,ce006_npc_01,Locale_MainScenario:event_ce006_1_03_s_8,True,,7,idle,,5,idle,,3,sad,,1,idle,,13,idle,,15,void,,4,4,1.0,,,,,,,,,,,,,,,,,
event_ce006_1_03_s_9,40079,event_ce006_1_03_s,Speech,roam,roam,Locale_MainScenario:event_ce006_1_03_s_9,True,,7,idle,,5,idle,,3,sad,,1,idle,,13,idle,,15,void,,4,2,1.3,,,,,,,,,,,,,,,,,
event_ce006_1_03_s_10,40079,event_ce006_1_03_s,Speech,ce006_03,ce006_03,Locale_MainScenario:event_ce006_1_03_s_10,True,,7,idle,,5,idle,,3,sad,,1,idle,,13,idle,,15,void,,2,2,1.0,,,,,,,,,,,,,,,,,
event_ce006_1_03_s_11,40079,event_ce006_1_03_s,Speech,roam,roam,Locale_MainScenario:event_ce006_1_03_s_11,True,,7,idle,,5,idle,,3,sad,,1,idle,,13,idle,,15,void,,2,2,1.0,,,,,,,,,,,,,,,,,
event_ce006_1_03_s_12,40079,event_ce006_1_03_s,Speech,ce006_03,ce006_03,Locale_MainScenario:event_ce006_1_03_s_12,True,,7,idle,,5,idle,,3,angry,,1,idle,,13,idle,,15,void,,2,2,1.0,,,,,,,,,,,,,,,,,
event_ce006_1_03_s_13,40079,event_ce006_1_03_s,Speech,roam,roam,Locale_MainScenario:event_ce006_1_03_s_13,True,,7,idle,,5,idle,,3,angry,,1,idle,,13,idle,,15,void,,2,2,1.0,,,,,,,,,,,,,,,,,
event_ce006_1_03_s_14,40079,event_ce006_1_03_s,Speech,ce006_03,ce006_03,Locale_MainScenario:event_ce006_1_03_s_14,True,,7,idle,,5,idle,,3,surprise,,1,idle,,13,idle,,15,void,,2,2,1.0,,,,,,,,,,,,,,,,,
event_ce006_1_03_s_15,40079,event_ce006_1_03_s,Speech,ce006_03,ce006_03,Locale_MainScenario:event_ce006_1_03_s_15,True,,7,idle,,5,idle,,3,angry,,1,idle,,13,idle,,15,void,,2,S_30,1.3,,,,,,,,,,,,,,,,,
event_ce006_1_03_s_16,40079,event_ce006_1_03_s,Speech,anis,anis,Locale_MainScenario:event_ce006_1_03_s_16,True,,7,idle,,5,idle,,3,angry,,1,idle,,13,idle,,15,void,,150,150,1.0,,,,,,,,,,,,,,,,,
event_ce006_1_03_s_17,40079,event_ce006_1_03_s,Speech,ce006_03,ce006_03,Locale_MainScenario:event_ce006_1_03_s_17,True,,7,idle,,5,idle,,3,angry,,1,idle,,13,idle,,15,void,,S_30,S_30,1.0,,,,,,,,,,,,,,,,,
event_ce006_1_03_s_18,40079,event_ce006_1_03_s,Speech,ce006_03,ce006_03,Locale_MainScenario:event_ce006_1_03_s_18,True,,7,idle,,5,idle,,3,angry,,1,idle,,13,idle,,15,void,,S_30,S_30,1.0,,,,,,,,,,,,,,,,,
event_ce006_1_03_s_19,40079,event_ce006_1_03_s,Speech,ce006_03,ce006_03,Locale_MainScenario:event_ce006_1_03_s_19,True,,7,idle,,5,idle,,3,angry,,1,idle,,13,idle,,15,void,,S_30,S_30,1.0,,,,,,,,,,,,,,,,,
event_ce006_1_03_s_20,40079,event_ce006_1_03_s,Speech,ce006_npc_01,ce006_npc_01,Locale_MainScenario:event_ce006_1_03_s_20,True,,7,idle,,5,surprise,,3,angry,,1,idle,,13,idle,,15,void,,S_30,4,1.3,,,,,,,,,,,,,,,,,
event_ce006_1_03_s_21,40079,event_ce006_1_03_s,Speech,ce006_03,ce006_03,Locale_MainScenario:event_ce006_1_03_s_21,True,,7,idle,,5,surprise,,3,angry,,1,idle,,13,idle,,15,void,,4,4,1.0,,,,,,,,,,,,,,,,,
event_ce006_1_03_s_22,40079,event_ce006_1_03_s,Speech,ce006_01,ce006_01,Locale_MainScenario:event_ce006_1_03_s_22,True,,7,think,,5,surprise,,3,angry,,1,idle,,13,idle,,15,void,,4,6,1.3,,,,,,,,,,,,,,,,,
event_ce006_1_03_s_23,40079,event_ce006_1_03_s,Speech,ce006_03,ce006_03,Locale_MainScenario:event_ce006_1_03_s_23,True,,7,think,,5,surprise,,3,angry,,1,idle,,13,idle,,15,void,,3,S_30,1.3,,,,,,,,,,,,,,,,,
event_ce006_1_03_s_24,40079,event_ce006_1_03_s,Speech,ce006_03,ce006_01,Locale_MainScenario:event_ce006_1_03_s_24,False,,7,no,,5,surprise,,3,angry,,1,idle,,13,idle,,15,void,,S_30,S_30,1.0,,,,,,,,,,,,,,,,,
