id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id
event_lastkingdom1_01_e_1,40045,event_lastkingdom1_01_e,Speech,marian_q,marian_q,Locale_MainScenario:event_lastkingdom1_01_e_1,True,CrownCastleDiningRoom_d,1,10,1.0,event_bgm_lastkingdom_imwaitingcmd,,,marian_q,1,idle,,kilo,3,smile,,,,,crown,13,idle,,chime,15,idle,
event_lastkingdom1_01_e_2,40045,event_lastkingdom1_01_e,Speech,marian_q,marian_q,Locale_MainScenario:event_lastkingdom1_01_e_2,True,,10,10,1.0,,,,,1,idle,,,3,smile,,,,,,13,idle,,,15,idle,
event_lastkingdom1_01_e_3,40045,event_lastkingdom1_01_e,Speech,kilo,kilo,Locale_MainScenario:event_lastkingdom1_01_e_3,True,,10,S_30,1.0,,,,,1,idle,,,3,smile,,,,,,13,idle,,,15,idle,
event_lastkingdom1_01_e_4,40045,event_lastkingdom1_01_e,Speech,kilo,kilo,Locale_MainScenario:event_lastkingdom1_01_e_4,False,,S_30,S_30,1.0,,,,,1,idle,,,3,delight,,,,,,13,idle,,,15,idle,
event_lastkingdom1_01_e_5,40045,event_lastkingdom1_01_e,Speech,marian_q,marian_q,Locale_MainScenario:event_lastkingdom1_01_e_5,False,,S_30,31,1.0,,,,,1,void,,,3,delight,,,,,,13,idle,,,15,idle,
event_lastkingdom1_01_e_6,40045,event_lastkingdom1_01_e,Speech,kilo,kilo,Locale_MainScenario:event_lastkingdom1_01_e_6,True,,31,31,1.0,,,,,1,void,,,3,delight,,,,,,13,idle,,,15,idle,
event_lastkingdom1_01_e_7,40045,event_lastkingdom1_01_e,Speech,marian_q,marian_q,Locale_MainScenario:event_lastkingdom1_01_e_7,True,,31,31,1.0,,,,,1,idle,,,3,delight,,,,,,13,idle,,,15,idle,
event_lastkingdom1_01_e_8,40045,event_lastkingdom1_01_e,Speech,kilo,kilo,Locale_MainScenario:event_lastkingdom1_01_e_8,True,,31,31,1.0,,,,,1,idle,,,3,idle,,,,,,13,idle,,,15,idle,
event_lastkingdom1_01_e_9,40045,event_lastkingdom1_01_e,Speech,marian_q,marian_q,Locale_MainScenario:event_lastkingdom1_01_e_9,True,,31,31,1.0,,,,,1,idle,,,3,idle,,,,,,13,idle,,,15,idle,
event_lastkingdom1_01_e_10,40045,event_lastkingdom1_01_e,Speech,crown,crown,Locale_MainScenario:event_lastkingdom1_01_e_10,True,,31,13,1.5,,,,,1,idle,,,3,idle,,,,,,13,idle,,,15,idle,
