id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,play_sound,set_camera_shake,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
event_absolute1_06_s_1,40086,event_absolute1_06_s,Narration,vesti_t,Locale_MainScenario:event_absolute1_06_s_1,False,IceLand_03,black,black,1.0,bgm_story_ash,,,,,vesti_t,7,rage,,emma_t,2,worry,,eunhwa_t,12,idle,
event_absolute1_06_s_2,40086,event_absolute1_06_s,Speech,vesti_t,Locale_MainScenario:event_absolute1_06_s_2,True,,7,XS_70,1.3,,vesti_t,,,,,7,rage,,,2,worry,,,12,idle,
event_absolute1_06_s_3,40086,event_absolute1_06_s,Narration,vesti_t,Locale_MainScenario:event_absolute1_06_s_3,False,,black,black,1.0,,,sfx_scn_explosions,,,,7,rage,,,2,worry,,,12,idle,
event_absolute1_06_s_4,40086,event_absolute1_06_s,Speech,vesti_t,Locale_MainScenario:event_absolute1_06_s_4,True,,XS_70,XS_700,1.3,,vesti_t,,,,,7,rage,,,2,worry,,,12,idle,
event_absolute1_06_s_5,40086,event_absolute1_06_s,Narration,vesti_t,Locale_MainScenario:event_absolute1_06_s_5,False,,black,black,1.0,,,sfx_scn_explosionhuge,,,,7,rage,,,2,worry,,,12,idle,
event_absolute1_06_s_6,40086,event_absolute1_06_s,Speech,vesti_t,Locale_MainScenario:event_absolute1_06_s_6,True,,XS_700,XS_700,1.0,,vesti_t,,,,,7,rage,,,2,worry,,,12,idle,
event_absolute1_06_s_7,40086,event_absolute1_06_s,Narration,vesti_t,Locale_MainScenario:event_absolute1_06_s_7,False,,black,black,1.0,,,sfx_scn_firemissiles,,,,7,rage,,,2,worry,,,12,idle,
event_absolute1_06_s_8,40086,event_absolute1_06_s,Speech,eunhwa_t,Locale_MainScenario:event_absolute1_06_s_8,True,,120,120,1.0,,eunhwa_t,,,,,7,rage,,,2,worry,,,12,idle,
event_absolute1_06_s_9,40086,event_absolute1_06_s,Speech,eunhwa_t,Locale_MainScenario:event_absolute1_06_s_9,True,,120,120,1.0,,eunhwa_t,,,,,7,rage,,,2,worry,,,12,idle,
event_absolute1_06_s_10,40086,event_absolute1_06_s,Speech,emma_t,Locale_MainScenario:event_absolute1_06_s_10,True,,120,20,1.0,,emma_t,,,,,7,rage,,,2,worry,,,12,idle,
