id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,characters/0/hide_char_id,set_filter_01,fade,jump_target,play_sound,set_camera_shake,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_filter_02,characters/2/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
event_killthelord_06_e_1,40043,event_killthelord_06_e,Self,d_w,Locale_SubScenario:event_killthelord_06_e_1,False,d_w,13,special,Hotel,130,130,1.0,bgm_risk,,,,,,,,,,,,,,,,
event_killthelord_06_e_2,40043,event_killthelord_06_e,Speech,d_w,Locale_SubScenario:event_killthelord_06_e_2,True,,13,special,,130,130,1.0,,d_w,,,,,,,,,,,,,,,
event_killthelord_06_e_3,40043,event_killthelord_06_e,Speech,d_w,Locale_SubScenario:event_killthelord_06_e_3,True,,13,think,,130,130,1.0,,d_w,,,,,,,,,,,,,,,
event_killthelord_06_e_4,40043,event_killthelord_06_e,Speech,d_w,Locale_SubScenario:event_killthelord_06_e_4,True,,13,think,,130,130,1.0,,d_w,,,,,,,,,,,,,,,
event_killthelord_06_e_5,40043,event_killthelord_06_e,Speech,d_w,Locale_SubScenario:event_killthelord_06_e_5,True,,13,special,,130,130,1.0,,d_w,,,,,,,,,,,,,,,
event_killthelord_06_e_6,40043,event_killthelord_06_e,Speech,d_w,Locale_SubScenario:event_killthelord_06_e_6,True,,13,special,,130,130,1.0,,d_w,,,,,,,,,,,,,,,
event_killthelord_06_e_7,40043,event_killthelord_06_e,Monologue,d_w,Locale_SubScenario:event_killthelord_06_e_7,False,,13,special,,130,130,1.0,,,,,,,,,,,,,,,,,
event_killthelord_06_e_8,40043,event_killthelord_06_e,Monologue,d_w,Locale_SubScenario:event_killthelord_06_e_8,False,,13,special,,130,130,1.0,,,,,,,,,,,,,,,,,
event_killthelord_06_e_9,40043,event_killthelord_06_e,Monologue,d_w,Locale_SubScenario:event_killthelord_06_e_9,False,,13,special,,black,black,1.0,,,,,,,,,,,,,,,,,
event_killthelord_06_e_10,40043,event_killthelord_06_e,Monologue,d_w,Locale_SubScenario:event_killthelord_06_e_10,False,,13,special,,black,black,1.0,,,d_w,Grey,,,,,,,,,,,,,
event_killthelord_06_e_11,40043,event_killthelord_06_e,Monologue,d_w,Locale_SubScenario:event_killthelord_06_e_11,False,,,,,black,black,1.0,,,,Grey,,,,,,,,,,,,,
event_killthelord_06_e_12,40043,event_killthelord_06_e,Monologue,d_w,Locale_SubScenario:event_killthelord_06_e_12,False,,,,,black,black,1.0,,,,Grey,,,,,,,,,,,,,
event_killthelord_06_e_13,40043,event_killthelord_06_e,Monologue,d_w,Locale_SubScenario:event_killthelord_06_e_13,False,,,,,black,black,1.0,,,,Grey,,,,,,,,,,,,,
event_killthelord_06_e_14,40043,event_killthelord_06_e,Monologue,d_w,Locale_SubScenario:event_killthelord_06_e_14,False,,,,,black,black,1.0,,,,,,,,,,,,,,,,,
event_killthelord_06_e_15,40043,event_killthelord_06_e,Speech,d_w,Locale_SubScenario:event_killthelord_06_e_15,True,d_w,13,special,,13,13,1.0,,d_w,,,white,,,,,,,,,,,,
event_killthelord_06_e_16,40043,event_killthelord_06_e,Speech,d_w,Locale_SubScenario:event_killthelord_06_e_16,True,,13,special,,13,13,1.0,,d_w,,,,,,,,,,,,,,,
event_killthelord_06_e_17,40043,event_killthelord_06_e,Speech,d_w,Locale_SubScenario:event_killthelord_06_e_17,True,,13,special,,13,13,1.0,,d_w,,,,,,,,,,,,,,,
event_killthelord_06_e_18,40043,event_killthelord_06_e,Speech,d_w,Locale_SubScenario:event_killthelord_06_e_18,True,,13,special,,13,13,1.0,,d_w,,,,,,,,,,,,,,,
event_killthelord_06_e_19,40043,event_killthelord_06_e,Speech,d_w,Locale_SubScenario:event_killthelord_06_e_19,True,,13,special,,13,13,1.0,,d_w,,,,,,,,,,,,,,,
event_killthelord_06_e_20,40043,event_killthelord_06_e,Speech,d_w,Locale_SubScenario:event_killthelord_06_e_20,True,,13,void,,13,13,1.0,,d_w,,,,,,,,,,,,,,,
event_killthelord_06_e_21,40043,event_killthelord_06_e,Speech,d_w,Locale_SubScenario:event_killthelord_06_e_21,True,,13,void,,13,130,1.0,,d_w,,,,,,,,,,,,,,,
event_killthelord_06_e_22,40043,event_killthelord_06_e,Choice,d_w,Locale_SubScenario:event_killthelord_06_e_22,False,,13,void,,130,130,1.0,,,,,,event_killthelord_06_e_24,,,,,,,,,,,
event_killthelord_06_e_23,40043,event_killthelord_06_e,Choice,d_w,Locale_SubScenario:event_killthelord_06_e_23,False,,13,void,,130,130,1.0,,,,,,event_killthelord_06_e_87,,,,,,,,,,,
event_killthelord_06_e_24,40043,event_killthelord_06_e,Speech,d_w,Locale_SubScenario:event_killthelord_06_e_24,True,,13,special,,130,130,1.0,,d_w,,,,,,,,,,,,,,,
event_killthelord_06_e_25,40043,event_killthelord_06_e,Narration,d_w,Locale_SubScenario:event_killthelord_06_e_25,False,,13,special,,130,5,0.6,,,,,,,sfx_scn_swing,,,,,,,,,,
event_killthelord_06_e_26,40043,event_killthelord_06_e,Narration,d_w,Locale_SubScenario:event_killthelord_06_e_26,False,,13,special,,5,5,1.0,,,,,,,sfx_scn_clothtear,,,,,,,,,,
event_killthelord_06_e_27,40043,event_killthelord_06_e,Monologue,d_w,Locale_SubScenario:event_killthelord_06_e_27,False,,13,special,,5,5,1.0,,,,,,,,,,,,,,,,,
event_killthelord_06_e_28,40043,event_killthelord_06_e,Speech,d_w,Locale_SubScenario:event_killthelord_06_e_28,False,,13,special,,5,50,0.6,,kamila,,,,,,Low_2,,,,,,,,,
