id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,set_camera_shake
event_lastkingdom2_06_s_1,40046,event_lastkingdom2_06_s,Speech,indivilia,indivilia,Locale_MainScenario:event_lastkingdom2_06_s_1,True,indivilia,1,special,marian_q,3,void,chime,5,void,CrownCastleGate_d,31,31,1.0,event_bgm_lastkingdom_pinch,,,,,
event_lastkingdom2_06_s_2,40046,event_lastkingdom2_06_s,Speech,marian_q,marian_q,Locale_MainScenario:event_lastkingdom2_06_s_2,False,,1,special,,3,void,,5,void,,31,31,1.0,,,,,,
event_lastkingdom2_06_s_3,40046,event_lastkingdom2_06_s,Speech,indivilia,indivilia,Locale_MainScenario:event_lastkingdom2_06_s_3,True,,1,special,,3,void,,5,void,,31,31,1.0,,,,,,
event_lastkingdom2_06_s_4,40046,event_lastkingdom2_06_s,Speech,marian_q,marian_q,Locale_MainScenario:event_lastkingdom2_06_s_4,True,,1,special,,3,void,,5,void,,31,31,1.0,,,,,,
event_lastkingdom2_06_s_5,40046,event_lastkingdom2_06_s,Speech,indivilia,indivilia,Locale_MainScenario:event_lastkingdom2_06_s_5,True,,1,special,,3,void,,5,void,,31,L_10,1.0,,,,,,
event_lastkingdom2_06_s_6,40046,event_lastkingdom2_06_s,Speech,indivilia,indivilia,Locale_MainScenario:event_lastkingdom2_06_s_6,True,,1,special,,3,void,,5,void,,L_10,L_100,1.0,,,,,,
event_lastkingdom2_06_s_7,40046,event_lastkingdom2_06_s,Speech,indivilia,indivilia,Locale_MainScenario:event_lastkingdom2_06_s_7,True,,1,special,,3,void,,5,void,,L_100,L_100,1.0,,,,,,
event_lastkingdom2_06_s_8,40046,event_lastkingdom2_06_s,Speech,indivilia,indivilia,Locale_MainScenario:event_lastkingdom2_06_s_8,True,,1,special,,3,void,,5,void,,L_100,L_10,1.0,,,,,,
event_lastkingdom2_06_s_9,40046,event_lastkingdom2_06_s,Speech,marian_q,marian_q,Locale_MainScenario:event_lastkingdom2_06_s_9,True,,1,special,,3,void,,5,void,,L_10,31,1.0,,,,,,
event_lastkingdom2_06_s_10,40046,event_lastkingdom2_06_s,Speech,indivilia,indivilia,Locale_MainScenario:event_lastkingdom2_06_s_10,True,,1,special,,3,void,,5,void,,31,31,1.0,,,,,,
event_lastkingdom2_06_s_11,40046,event_lastkingdom2_06_s,Speech,indivilia,indivilia,Locale_MainScenario:event_lastkingdom2_06_s_11,True,,1,special,,3,void,,5,void,,31,31,1.0,,,,,,
event_lastkingdom2_06_s_12,40046,event_lastkingdom2_06_s,Speech,indivilia,indivilia,Locale_MainScenario:event_lastkingdom2_06_s_12,True,,1,special,,3,void,,5,void,,31,31,1.0,,,,,,
event_lastkingdom2_06_s_13,40046,event_lastkingdom2_06_s,Speech,indivilia,indivilia,Locale_MainScenario:event_lastkingdom2_06_s_13,True,,1,special,,3,void,,5,void,,31,31,1.0,,,,,,
event_lastkingdom2_06_s_14,40046,event_lastkingdom2_06_s,Speech,indivilia,indivilia,Locale_MainScenario:event_lastkingdom2_06_s_14,True,,1,special,,3,void,,5,void,,31,31,1.0,,,,,,
event_lastkingdom2_06_s_15,40046,event_lastkingdom2_06_s,Speech,marian_q,marian_q,Locale_MainScenario:event_lastkingdom2_06_s_15,False,,1,special,,3,void,,5,void,,31,31,1.0,,,,,,
event_lastkingdom2_06_s_16,40046,event_lastkingdom2_06_s,Speech,indivilia,indivilia,Locale_MainScenario:event_lastkingdom2_06_s_16,True,,1,special,,3,void,,5,void,,31,31,1.0,,,,,,
event_lastkingdom2_06_s_17,40046,event_lastkingdom2_06_s,Speech,indivilia,indivilia,Locale_MainScenario:event_lastkingdom2_06_s_17,True,,1,special,,3,void,,5,void,,31,31,1.0,,,,,,
event_lastkingdom2_06_s_18,40046,event_lastkingdom2_06_s,Speech,marian_q,marian_q,Locale_MainScenario:event_lastkingdom2_06_s_18,True,,1,special,,3,void,,5,void,,31,31,1.0,,,,,,
event_lastkingdom2_06_s_19,40046,event_lastkingdom2_06_s,Speech,indivilia,indivilia,Locale_MainScenario:event_lastkingdom2_06_s_19,True,,1,special,,3,void,,5,void,,L_10,L_10,1.0,,,,,,
event_lastkingdom2_06_s_20,40046,event_lastkingdom2_06_s,Speech,indivilia,indivilia,Locale_MainScenario:event_lastkingdom2_06_s_20,True,,1,special,,3,void,,5,void,,L_10,L_100,1.0,,,,,,
event_lastkingdom2_06_s_21,40046,event_lastkingdom2_06_s,Speech,marian_q,marian_q,Locale_MainScenario:event_lastkingdom2_06_s_21,True,,1,special,,3,void,,5,void,,300,300,1.0,,,,,,
event_lastkingdom2_06_s_22,40046,event_lastkingdom2_06_s,Speech,indivilia,indivilia,Locale_MainScenario:event_lastkingdom2_06_s_22,True,,1,special,,3,void,,5,void,,L_100,L_10,1.0,,,,,,
event_lastkingdom2_06_s_23,40046,event_lastkingdom2_06_s,Speech,indivilia,indivilia,Locale_MainScenario:event_lastkingdom2_06_s_23,True,,1,special,,3,void,,5,void,,L_10,L_10,1.0,,,,,,
event_lastkingdom2_06_s_24,40046,event_lastkingdom2_06_s,Speech,indivilia,indivilia,Locale_MainScenario:event_lastkingdom2_06_s_24,True,,1,special,,3,void,,5,void,,L_10,L_10,1.0,,,,,,
event_lastkingdom2_06_s_25,40046,event_lastkingdom2_06_s,Speech,indivilia,indivilia,Locale_MainScenario:event_lastkingdom2_06_s_25,True,,1,special,,3,void,,5,void,,L_10,L_10,1.0,,,,,,
event_lastkingdom2_06_s_26,40046,event_lastkingdom2_06_s,Speech,indivilia,indivilia,Locale_MainScenario:event_lastkingdom2_06_s_26,True,,1,special,,3,void,,5,void,,L_10,L_10,1.0,,,,,,
event_lastkingdom2_06_s_27,40046,event_lastkingdom2_06_s,Speech,marian_q,marian_q,Locale_MainScenario:event_lastkingdom2_06_s_27,False,,1,special,,3,void,,5,void,,L_10,31,1.0,,,,,,
event_lastkingdom2_06_s_28,40046,event_lastkingdom2_06_s,Speech,indivilia,indivilia,Locale_MainScenario:event_lastkingdom2_06_s_28,True,,1,special,,3,void,,5,void,,31,31,1.0,,,,,,
event_lastkingdom2_06_s_29,40046,event_lastkingdom2_06_s,Speech,indivilia,indivilia,Locale_MainScenario:event_lastkingdom2_06_s_29,True,,1,special,,3,void,,5,void,,31,31,1.0,,,,,,
event_lastkingdom2_06_s_30,40046,event_lastkingdom2_06_s,Speech,chime,chime,Locale_MainScenario:event_lastkingdom2_06_s_30,True,,1,special,,3,void,,5,angry_03,,31,53,1.0,,,,,,
event_lastkingdom2_06_s_31,40046,event_lastkingdom2_06_s,Speech,marian_q,marian_q,Locale_MainScenario:event_lastkingdom2_06_s_31,True,,1,special,,3,void,,5,angry_03,,53,53,1.0,,,,,,
event_lastkingdom2_06_s_32,40046,event_lastkingdom2_06_s,Speech,indivilia,indivilia,Locale_MainScenario:event_lastkingdom2_06_s_32,True,,1,special,,3,void,,5,angry_03,,53,31,1.0,,,,,,
event_lastkingdom2_06_s_33,40046,event_lastkingdom2_06_s,Speech,indivilia,indivilia,Locale_MainScenario:event_lastkingdom2_06_s_33,True,,1,special,,3,void,,5,angry_03,,31,31,1.0,,,,,,
event_lastkingdom2_06_s_34,40046,event_lastkingdom2_06_s,Speech,indivilia,indivilia,Locale_MainScenario:event_lastkingdom2_06_s_34,True,,1,special,,3,void,,5,angry_03,,31,L_10,1.0,,,,,,
event_lastkingdom2_06_s_35,40046,event_lastkingdom2_06_s,Speech,indivilia,indivilia,Locale_MainScenario:event_lastkingdom2_06_s_35,True,,1,special,,3,void,,5,angry_03,,L_10,L_10,1.0,,,,,,
event_lastkingdom2_06_s_36,40046,event_lastkingdom2_06_s,Speech,indivilia,indivilia,Locale_MainScenario:event_lastkingdom2_06_s_36,True,,1,special,,3,void,,5,angry_03,,L_10,L_10,1.0,,,,,,
