id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,jump_target,play_sound
event_ltk_02_e_1,40012,event_ltk_02_e,Narration,Narration,Locale_SubScenario:event_ltk_02_e_1,False,Hospital,5,1,2.0,bgm_recognition_underworld,,,,,,,,,
event_ltk_02_e_2,40012,event_ltk_02_e,Speech,k,Locale_SubScenario:event_ltk_02_e_2,True,,1,1,1.0,,k,d,2,idle,k,12,idle,,
event_ltk_02_e_3,40012,event_ltk_02_e,Self,Self,Locale_SubScenario:event_ltk_02_e_3,False,,1,1,1.0,,,,2,idle,,12,idle,,
event_ltk_02_e_4,40012,event_ltk_02_e,Speech,k,Locale_SubScenario:event_ltk_02_e_4,True,,1,1,1.0,,k,,2,idle,,12,idle,,
event_ltk_02_e_5,40012,event_ltk_02_e,Speech,k,Locale_SubScenario:event_ltk_02_e_5,True,,1,1,1.0,,k,,2,idle,,12,idle,,
event_ltk_02_e_6,40012,event_ltk_02_e,Choice,,Locale_SubScenario:event_ltk_02_e_6,False,,1,1,1.0,,,,2,idle,,12,idle,event_ltk_02_e_8,
event_ltk_02_e_7,40012,event_ltk_02_e,Choice,,Locale_SubScenario:event_ltk_02_e_7,False,,1,1,1.0,,,,2,idle,,12,idle,event_ltk_02_e_8,
event_ltk_02_e_8,40012,event_ltk_02_e,Speech,k,Locale_SubScenario:event_ltk_02_e_8,False,,1,S_120,2.0,,k,,2,idle,,12,idle,,
event_ltk_02_e_9,40012,event_ltk_02_e,Speech,k,Locale_SubScenario:event_ltk_02_e_9,True,,S_120,S_120,1.0,,k,,2,idle,,12,idle,,
event_ltk_02_e_10,40012,event_ltk_02_e,Speech,k,Locale_SubScenario:event_ltk_02_e_10,True,,S_120,S_1200,0.3,,k,,2,idle,,12,surprise,,
event_ltk_02_e_11,40012,event_ltk_02_e,Self,Self,Locale_SubScenario:event_ltk_02_e_11,False,,S_1200,S_1200,1.0,,,,2,idle,,12,surprise,,
event_ltk_02_e_12,40012,event_ltk_02_e,Speech,k,Locale_SubScenario:event_ltk_02_e_12,False,,S_1200,S_120,2.0,,k,,2,idle,,12,think,,
event_ltk_02_e_13,40012,event_ltk_02_e,Speech,k,Locale_SubScenario:event_ltk_02_e_13,True,,S_120,1,1.0,,k,,2,idle,,12,idle,,
event_ltk_02_e_14,40012,event_ltk_02_e,Speech,d,Locale_SubScenario:event_ltk_02_e_14,True,,1,1,1.0,,d,,2,idle,,12,idle,,
event_ltk_02_e_15,40012,event_ltk_02_e,Self,Self,Locale_SubScenario:event_ltk_02_e_15,False,,1,1,1.0,,,,2,idle,,12,idle,,
event_ltk_02_e_16,40012,event_ltk_02_e,Speech,k,Locale_SubScenario:event_ltk_02_e_16,True,,1,1,1.0,,k,,2,idle,,12,idle,,
event_ltk_02_e_17,40012,event_ltk_02_e,Monologue,Monologue,Locale_SubScenario:event_ltk_02_e_17,False,,1,1,1.0,,,,2,idle,,12,idle,,
event_ltk_02_e_18,40012,event_ltk_02_e,Speech,k,Locale_SubScenario:event_ltk_02_e_18,True,,1,S_120,2.0,,k,,2,idle,,12,think,,
event_ltk_02_e_19,40012,event_ltk_02_e,Speech,k,Locale_SubScenario:event_ltk_02_e_19,True,,S_120,S_120,1.0,,k,,2,idle,,12,think,,
event_ltk_02_e_20,40012,event_ltk_02_e,Speech,k,Locale_SubScenario:event_ltk_02_e_20,True,,S_120,S_120,1.0,,k,,2,idle,,12,think,,
event_ltk_02_e_21,40012,event_ltk_02_e,Speech,d,Locale_SubScenario:event_ltk_02_e_21,True,,20,20,1.0,,d,,2,idle,,12,think,,
event_ltk_02_e_22,40012,event_ltk_02_e,Speech,k,Locale_SubScenario:event_ltk_02_e_22,True,,S_120,S_120,1.0,,k,,2,idle,,12,think,,
event_ltk_02_e_23,40012,event_ltk_02_e,Speech,k,Locale_SubScenario:event_ltk_02_e_23,True,,S_120,S_120,1.0,,k,,2,idle,,12,idle,,
event_ltk_02_e_24,40012,event_ltk_02_e,Speech,d,Locale_SubScenario:event_ltk_02_e_24,True,,20,20,1.0,,d,,2,idle,,12,idle,,
