id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_ambient,play_bgm,jump_target,is_exit_scenario,highlight,speaker,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
snowfall_speech_noirblanc_04_1,80903,snowfall_speech_noirblanc_04,Monologue,Locale_SubScenario:snowfall_speech_noirblanc_04_1,False,HotSpringInnIn_n,1,1,1.0,amb_so_inn_in_3,event_bgm_neverland_hugme_night,,,,,,,,,,,,
snowfall_speech_noirblanc_04_2,80903,snowfall_speech_noirblanc_04,Monologue,Locale_SubScenario:snowfall_speech_noirblanc_04_2,False,,1,1,1.0,,,,,,,,,,,,,,
snowfall_speech_noirblanc_04_3,80903,snowfall_speech_noirblanc_04,Monologue,Locale_SubScenario:snowfall_speech_noirblanc_04_3,False,,1,1,1.0,,,,,,,,,,,,,,
snowfall_speech_noirblanc_04_4,80903,snowfall_speech_noirblanc_04,Choice,Locale_SubScenario:snowfall_speech_noirblanc_04_4,False,,1,1,1.0,,,snowfall_speech_noirblanc_04_7,,,,,,,,,,,
snowfall_speech_noirblanc_04_5,80903,snowfall_speech_noirblanc_04,Choice,Locale_SubScenario:snowfall_speech_noirblanc_04_5,False,,1,1,1.0,,,snowfall_speech_noirblanc_04_6,,,,,,,,,,,
snowfall_speech_noirblanc_04_6,80903,snowfall_speech_noirblanc_04,Monologue,Locale_SubScenario:snowfall_speech_noirblanc_04_6,False,,black,black,1.0,,,,True,,,,,,,,,,
snowfall_speech_noirblanc_04_7,80903,snowfall_speech_noirblanc_04,Monologue,Locale_SubScenario:snowfall_speech_noirblanc_04_7,False,,1,10,1.0,,,,,,,,,,,,,,
snowfall_speech_noirblanc_04_8,80903,snowfall_speech_noirblanc_04,Speech,Locale_SubScenario:snowfall_speech_noirblanc_04_8,True,,10,10,1.0,,,,,noir_c,noir_c,,,,,,,,
snowfall_speech_noirblanc_04_9,80903,snowfall_speech_noirblanc_04,Speech,Locale_SubScenario:snowfall_speech_noirblanc_04_9,True,,10,10,1.0,,,,,blanc_c,blanc_c,,,,,,,,
snowfall_speech_noirblanc_04_10,80903,snowfall_speech_noirblanc_04,Speech,Locale_SubScenario:snowfall_speech_noirblanc_04_10,True,,10,10,1.0,,,,,blanc_c,blanc_c,,,,,,,,
snowfall_speech_noirblanc_04_11,80903,snowfall_speech_noirblanc_04,Speech,Locale_SubScenario:snowfall_speech_noirblanc_04_11,True,,10,10,1.0,,,,,noir_c,noir_c,,,,,,,,
snowfall_speech_noirblanc_04_12,80903,snowfall_speech_noirblanc_04,Monologue,Locale_SubScenario:snowfall_speech_noirblanc_04_12,False,,10,10,1.0,,,,,noir_c,,,,,,,,,
snowfall_speech_noirblanc_04_13,80903,snowfall_speech_noirblanc_04,Narration,Locale_SubScenario:snowfall_speech_noirblanc_04_13,False,,10,1,1.0,,,,,noir_c,,sfx_scn_heavytrip,Low_2,,,,,,
snowfall_speech_noirblanc_04_14,80903,snowfall_speech_noirblanc_04,Monologue,Locale_SubScenario:snowfall_speech_noirblanc_04_14,False,,black,black,1.0,,,,,noir_c,,,,,,,,,
snowfall_speech_noirblanc_04_15,80903,snowfall_speech_noirblanc_04,Speech,Locale_SubScenario:snowfall_speech_noirblanc_04_15,True,,L_130,L_130,1.0,,,,,blanc_c,blanc_c,,,,,,,,
