id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,set_camera_shake,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,fade
event_seayouagain1_05_s_1,40024,event_seayouagain1_05_s,Narration,Locale_MainScenario:event_seayouagain1_05_s_1,False,anis_s,1,angry,helm_s,13,idle,liter_s,15,no,Beach_n,5,5,1.0,sfx_scn_bigwavebreak,bgm_story_fairytalesend_a,,,,,,,,,,,,,,,,,,,,,,
event_seayouagain1_05_s_2,40024,event_seayouagain1_05_s,Monologue,Locale_MainScenario:event_seayouagain1_05_s_2,False,,1,angry,,13,idle,,15,no,,5,5,1.0,,,,,,,,,,,,,,,,,,,,,,,,
event_seayouagain1_05_s_3,40024,event_seayouagain1_05_s,Monologue,Locale_MainScenario:event_seayouagain1_05_s_3,False,,1,angry,,13,idle,,15,no,,5,5,1.0,,,,,,,,,,,,,,,,,,,,,,,,
event_seayouagain1_05_s_4,40024,event_seayouagain1_05_s,Speech,Locale_MainScenario:event_seayouagain1_05_s_4,True,,1,angry,,13,idle,,15,no,,5,12,1.0,,,anis_s,anis_s,,,,,,,,,,,,,,,,,,,,
event_seayouagain1_05_s_5,40024,event_seayouagain1_05_s,Speech,Locale_MainScenario:event_seayouagain1_05_s_5,True,,1,angry,,13,idle,,15,no,,12,12,1.0,,,anis_s,anis_s,,,,,,,,,,,,,,,,,,,,
event_seayouagain1_05_s_6,40024,event_seayouagain1_05_s,Speech,Locale_MainScenario:event_seayouagain1_05_s_6,True,,1,angry,,13,idle,,15,no,,12,12,1.0,,,helm_s,helm_s,,,,,,,,,,,,,,,,,,,,
event_seayouagain1_05_s_7,40024,event_seayouagain1_05_s,Speech,Locale_MainScenario:event_seayouagain1_05_s_7,True,,1,angry,,13,idle,,15,no,,12,XS_10,1.0,,,anis_s,anis_s,,,,,,,,,,,,,,,,,,,,
event_seayouagain1_05_s_8,40024,event_seayouagain1_05_s,Monologue,Locale_MainScenario:event_seayouagain1_05_s_8,False,,1,angry,,13,idle,,15,no,,black,black,1.0,,,,,,,,,,,,,,,,,,,,,,,,
event_seayouagain1_05_s_9,40024,event_seayouagain1_05_s,Narration,Locale_MainScenario:event_seayouagain1_05_s_9,False,,1,angry,,13,idle,,15,no,,black,black,1.0,sfx_scn_krakenbigvibrate,,,,Low_2,,,,,,,,,,,,,,,,,,,
event_seayouagain1_05_s_10,40024,event_seayouagain1_05_s,Narration,Locale_MainScenario:event_seayouagain1_05_s_10,False,,1,angry,,13,idle,,15,no,,black,black,1.0,,,,,Low_2,,,,,,,,,,,,,,,,,,,
event_seayouagain1_05_s_11,40024,event_seayouagain1_05_s,Monologue,Locale_MainScenario:event_seayouagain1_05_s_11,False,,1,angry,,13,idle,,15,no,EventScene_SeaYouAgain_01_2,black,black,1.0,,,,,,anis_s,helm_s,liter_s,,,,,,,,,,,,,,,,
event_seayouagain1_05_s_12,40024,event_seayouagain1_05_s,Monologue,Locale_MainScenario:event_seayouagain1_05_s_12,False,,,,,,,,,,,1,krakenleg_01,0.6,,,,,,,,,,,,,,,,,,,,,,,,
event_seayouagain1_05_s_13,40024,event_seayouagain1_05_s,Speech,Locale_MainScenario:event_seayouagain1_05_s_13,False,,,,,,,,,,,krakenleg_01,krakenleg_01,1.0,,,anis_s,anis_s,,,,,,,,,,,,,,,,,,,,
event_seayouagain1_05_s_14,40024,event_seayouagain1_05_s,Speech,Locale_MainScenario:event_seayouagain1_05_s_14,True,,,,,,,,,,,krakenleg_01,krakenleg_01,1.0,,,anis_s,anis_s,,,,,,,,,,,,,,,,,,,,
event_seayouagain1_05_s_15,40024,event_seayouagain1_05_s,Speech,Locale_MainScenario:event_seayouagain1_05_s_15,True,,,,,,,,,,,krakenleg_01,krakenleg_01,1.0,,,helm_s,helm_s,,,,,,,,,,,,,,,,,,,,
event_seayouagain1_05_s_16,40024,event_seayouagain1_05_s,Speech,Locale_MainScenario:event_seayouagain1_05_s_16,True,,,,,,,,,,,krakenleg_01,krakenleg_01,1.0,,,helm_s,helm_s,,,,,,,,,,,,,,,,,,,,
event_seayouagain1_05_s_17,40024,event_seayouagain1_05_s,Speech,Locale_MainScenario:event_seayouagain1_05_s_17,True,,,,,,,,,,,krakenleg_01,krakenleg_01,1.0,,,anis_s,anis_s,,,,,,,,,,,,,,,,,,,,
event_seayouagain1_05_s_18,40024,event_seayouagain1_05_s,Speech,Locale_MainScenario:event_seayouagain1_05_s_18,True,,,,,,,,,,,krakenleg_01,krakenleg_01,1.0,,,anis_s,anis_s,,,,,,,,,,,,,,,,,,,,
event_seayouagain1_05_s_19,40024,event_seayouagain1_05_s,Speech,Locale_MainScenario:event_seayouagain1_05_s_19,True,,,,,,,,,,,krakenleg_01,krakenleg_02,1.0,,,anis_s,anis_s,,,,,,,,,,,,,,,,,,,,
event_seayouagain1_05_s_20,40024,event_seayouagain1_05_s,Speech,Locale_MainScenario:event_seayouagain1_05_s_20,True,,,,,,,,,,,krakenleg_02,krakenleg_02,1.0,,,anis_s,anis_s,,,,,,,,,,,,,,,,,,,,
event_seayouagain1_05_s_21,40024,event_seayouagain1_05_s,Speech,Locale_MainScenario:event_seayouagain1_05_s_21,False,anis_s,1,void,helm_s,13,surprise,liter_s,15,no,Beach_n,13,130,1.0,,,helm_s,helm_s,,,,,,,,,,,,,,,,,,,,
event_seayouagain1_05_s_22,40024,event_seayouagain1_05_s,Speech,Locale_MainScenario:event_seayouagain1_05_s_22,True,,1,void,,13,angry,,15,no,,130,130,1.0,,,helm_s,helm_s,,,,,,,,,,,,,,,,,,,,
event_seayouagain1_05_s_23,40024,event_seayouagain1_05_s,Narration,Locale_MainScenario:event_seayouagain1_05_s_23,False,,1,void,,13,angry,,15,no,,black,black,1.0,sfx_scn_groundbreak,,,,,,,,,,,,,,,,,,,,,,,
event_seayouagain1_05_s_24,40024,event_seayouagain1_05_s,Monologue,Locale_MainScenario:event_seayouagain1_05_s_24,False,,1,void,,13,angry,,15,no,,black,black,1.0,,,,,,,,,,,,,,,,,,,,,,,,
event_seayouagain1_05_s_25,40024,event_seayouagain1_05_s,Speech,Locale_MainScenario:event_seayouagain1_05_s_25,True,,1,void,,13,angry,,15,no,,130,13,1.0,,,helm_s,helm_s,,,,,,,,,,,,,,,,,,,,
event_seayouagain1_05_s_26,40024,event_seayouagain1_05_s,Speech,Locale_MainScenario:event_seayouagain1_05_s_26,True,,1,void,,13,angry,,15,no,,13,13,1.0,,,helm_s,helm_s,,,,,,,,,,,,,,,,,,,,
event_seayouagain1_05_s_27,40024,event_seayouagain1_05_s,Self,Locale_MainScenario:event_seayouagain1_05_s_27,False,,1,void,,13,angry,,15,no,,13,13,1.0,,,,,,,,,,,,,,,,,,,,,,,,
event_seayouagain1_05_s_28,40024,event_seayouagain1_05_s,Speech,Locale_MainScenario:event_seayouagain1_05_s_28,True,,1,void,,13,angry,,15,no,,XS_10,XS_10,1.0,,,anis_s,anis_s,,,,,,,,,,,,,,,,,,,,
event_seayouagain1_05_s_29,40024,event_seayouagain1_05_s,Speech,Locale_MainScenario:event_seayouagain1_05_s_29,True,,1,void,,13,angry,,15,sorrow,,XS_150,XS_150,1.0,,,liter_s,liter_s,,,,,,,,,,,,,,,,,,,,
event_seayouagain1_05_s_30,40024,event_seayouagain1_05_s,Speech,Locale_MainScenario:event_seayouagain1_05_s_30,False,,1,void,,13,angry,,15,sorrow,,130,130,1.0,,,helm_s,helm_s,,,,,,,,,,,,,,,,,,,,
event_seayouagain1_05_s_31,40024,event_seayouagain1_05_s,Speech,Locale_MainScenario:event_seayouagain1_05_s_31,True,,1,void,,13,angry,,15,sorrow,,130,130,1.0,,,helm_s,helm_s,,,,,,,,,,,,,,,,,,,,
event_seayouagain1_05_s_32,40024,event_seayouagain1_05_s,Narration,Locale_MainScenario:event_seayouagain1_05_s_32,False,,1,void,,13,angry,,15,sorrow,,130,130,1.0,sfx_scn_largewinchpull,,,,Low_1,,,,,,,,,,,,,,,,,,,
event_seayouagain1_05_s_33,40024,event_seayouagain1_05_s,Monologue,Locale_MainScenario:event_seayouagain1_05_s_33,False,,1,void,,13,angry,,15,sorrow,,130,130,1.0,,,,,Low_2,,,,,,,,,,,,,,,,,,,
event_seayouagain1_05_s_34,40024,event_seayouagain1_05_s,Speech,Locale_MainScenario:event_seayouagain1_05_s_34,True,,1,void,,13,angry,,15,sorrow,,130,13,1.0,,,helm_s,helm_s,,,,,,,,,,,,,,,,,,,,
event_seayouagain1_05_s_35,40024,event_seayouagain1_05_s,Speech,Locale_MainScenario:event_seayouagain1_05_s_35,True,,1,void,,13,angry,,15,no,,15,15,1.0,,,liter_s,liter_s,,,,,,,,,,,,,,,,,,,,
event_seayouagain1_05_s_36,40024,event_seayouagain1_05_s,Speech,Locale_MainScenario:event_seayouagain1_05_s_36,True,,1,angry,,13,angry,,15,no,,1,XS_10,1.0,,,anis_s,anis_s,,,,,,,,,,,,,,,,,,,,
event_seayouagain1_05_s_37,40024,event_seayouagain1_05_s,Speech,Locale_MainScenario:event_seayouagain1_05_s_37,True,,1,angry,,13,angry,,15,no,,XS_10,XS_10,1.0,,,anis_s,anis_s,,,,,,,,,,,,,,,,,,,,
event_seayouagain1_05_s_38,40024,event_seayouagain1_05_s,Monologue,Locale_MainScenario:event_seayouagain1_05_s_38,False,,1,angry,,13,angry,,15,no,,black,black,1.0,,,,,,,,,,,,,,,,,,,,,,,,
event_seayouagain1_05_s_39,40024,event_seayouagain1_05_s,Monologue,Locale_MainScenario:event_seayouagain1_05_s_39,False,,1,angry,,13,angry,,15,no,,black,black,1.0,,,,,,,,,,,,,,,,,,,,,,,,
event_seayouagain1_05_s_40,40024,event_seayouagain1_05_s,Monologue,Locale_MainScenario:event_seayouagain1_05_s_40,False,,1,angry,,13,angry,,15,no,,black,black,1.0,,,,,,,,,,,,,,,,,,,,,,,,
event_seayouagain1_05_s_41,40024,event_seayouagain1_05_s,Monologue,Locale_MainScenario:event_seayouagain1_05_s_41,False,,1,angry,,13,angry,,15,no,,black,black,1.0,,,,,,,,,,,,,,,,,,,,,,,,
event_seayouagain1_05_s_42,40024,event_seayouagain1_05_s,Speech,Locale_MainScenario:event_seayouagain1_05_s_42,True,,1,angry,,13,angry,,15,no,,12,12,1.0,,,anis_s,anis_s,,,,,,,,,,,,,,,,,,,,
event_seayouagain1_05_s_43,40024,event_seayouagain1_05_s,Speech,Locale_MainScenario:event_seayouagain1_05_s_43,False,,1,angry,,13,angry,,15,no,,12,12,1.0,,,helm_s,helm_s,,,,,,,,,,,,,,,,,,,,
