id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound
event_jinxplayer_05_e_1,40058,event_jinxplayer_05_e,Monologue,rouge,Monologue,Locale_SubScenario:event_jinxplayer_05_e_1,False,rouge,3,idle,noir,7,idle,blanc,5,idle,CommanderRoom,3,3,1.0,none,
event_jinxplayer_05_e_2,40058,event_jinxplayer_05_e,Narration,rouge,Narration,Locale_SubScenario:event_jinxplayer_05_e_2,False,,3,idle,,7,idle,,5,idle,,3,3,1.0,bgm_story_epicjazzymoods,sfx_scn_card_2
event_jinxplayer_05_e_3,40058,event_jinxplayer_05_e,Speech,noir,noir,Locale_SubScenario:event_jinxplayer_05_e_3,True,,3,idle,,7,delight,,5,delight,,6,6,1.0,,
event_jinxplayer_05_e_4,40058,event_jinxplayer_05_e,Speech,noir,noir,Locale_SubScenario:event_jinxplayer_05_e_4,True,,3,idle,,7,delight,,5,delight,,6,6,1.0,,
event_jinxplayer_05_e_5,40058,event_jinxplayer_05_e,Speech,blanc,blanc,Locale_SubScenario:event_jinxplayer_05_e_5,True,,3,idle,,7,delight,,5,delight,,6,6,1.0,,
event_jinxplayer_05_e_6,40058,event_jinxplayer_05_e,Speech,blanc,blanc,Locale_SubScenario:event_jinxplayer_05_e_6,True,,3,idle,,7,delight,,5,idle,,6,6,1.0,,
event_jinxplayer_05_e_7,40058,event_jinxplayer_05_e,Speech,rouge,rouge,Locale_SubScenario:event_jinxplayer_05_e_7,True,,3,idle,,7,delight,,5,idle,,3,3,1.0,,
event_jinxplayer_05_e_8,40058,event_jinxplayer_05_e,Narration,rouge,Narration,Locale_SubScenario:event_jinxplayer_05_e_8,False,,3,idle,,7,idle,,5,idle,,3,3,1.0,,sfx_scn_card_1
event_jinxplayer_05_e_9,40058,event_jinxplayer_05_e,Monologue,rouge,Monologue,Locale_SubScenario:event_jinxplayer_05_e_9,False,,3,idle,,7,idle,,5,idle,,3,3,1.0,,
event_jinxplayer_05_e_10,40058,event_jinxplayer_05_e,Speech,rouge,rouge,Locale_SubScenario:event_jinxplayer_05_e_10,True,,3,shy,,7,idle,,5,idle,,3,30,0.3,,
event_jinxplayer_05_e_11,40058,event_jinxplayer_05_e,Speech,rouge,rouge,Locale_SubScenario:event_jinxplayer_05_e_11,True,,3,shy,,7,idle,,5,idle,,30,30,1.0,,
event_jinxplayer_05_e_12,40058,event_jinxplayer_05_e,Speech,rouge,rouge,Locale_SubScenario:event_jinxplayer_05_e_12,True,,3,idle,,7,idle,,5,idle,,30,30,1.0,,
event_jinxplayer_05_e_13,40058,event_jinxplayer_05_e,Speech,blanc,blanc,Locale_SubScenario:event_jinxplayer_05_e_13,True,,3,idle,,7,idle,,5,delight,,30,4,1.0,,
event_jinxplayer_05_e_14,40058,event_jinxplayer_05_e,Speech,blanc,blanc,Locale_SubScenario:event_jinxplayer_05_e_14,True,,3,idle,,7,idle,,5,idle,,4,4,1.0,,
event_jinxplayer_05_e_15,40058,event_jinxplayer_05_e,Speech,rouge,rouge,Locale_SubScenario:event_jinxplayer_05_e_15,True,,3,idle,,7,idle,,5,idle,,4,4,1.0,,
event_jinxplayer_05_e_16,40058,event_jinxplayer_05_e,Speech,rouge,rouge,Locale_SubScenario:event_jinxplayer_05_e_16,True,,3,idle,,7,idle,,5,idle,,4,4,1.0,,
event_jinxplayer_05_e_17,40058,event_jinxplayer_05_e,Speech,rouge,rouge,Locale_SubScenario:event_jinxplayer_05_e_17,True,,3,idle,,7,idle,,5,idle,,4,4,1.0,,
event_jinxplayer_05_e_18,40058,event_jinxplayer_05_e,Speech,blanc,blanc,Locale_SubScenario:event_jinxplayer_05_e_18,True,,3,idle,,7,idle,,5,idle,,4,4,1.0,,
event_jinxplayer_05_e_19,40058,event_jinxplayer_05_e,Speech,rouge,rouge,Locale_SubScenario:event_jinxplayer_05_e_19,True,,3,sad,,7,idle,,5,idle,,4,4,1.0,,
event_jinxplayer_05_e_20,40058,event_jinxplayer_05_e,Speech,rouge,rouge,Locale_SubScenario:event_jinxplayer_05_e_20,True,,3,idle,,7,idle,,5,idle,,4,4,1.0,,
event_jinxplayer_05_e_21,40058,event_jinxplayer_05_e,Speech,blanc,blanc,Locale_SubScenario:event_jinxplayer_05_e_21,True,,3,idle,,7,idle,,5,idle,,4,4,1.0,,
event_jinxplayer_05_e_22,40058,event_jinxplayer_05_e,Speech,rouge,rouge,Locale_SubScenario:event_jinxplayer_05_e_22,True,,3,idle,,7,idle,,5,idle,,4,4,1.0,,
event_jinxplayer_05_e_23,40058,event_jinxplayer_05_e,Speech,rouge,rouge,Locale_SubScenario:event_jinxplayer_05_e_23,True,,3,idle,,7,idle,,5,idle,,4,4,1.0,,
