id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_camera_shake,play_sound
event_perfectmaid_04_s_1,40039,event_perfectmaid_04_s,Self,Locale_SubScenario:event_perfectmaid_04_s_1,False,Park_n,3,3,1.0,bgm_story_marrybad,,,,,,,,,,
event_perfectmaid_04_s_2,40039,event_perfectmaid_04_s,Speech,Locale_SubScenario:event_perfectmaid_04_s_2,True,,3,1,1.0,,ade,ade,ade,1,angry,,,,,
event_perfectmaid_04_s_3,40039,event_perfectmaid_04_s,Self,Locale_SubScenario:event_perfectmaid_04_s_3,False,,1,1,1.0,,,,,1,angry,,,,,
event_perfectmaid_04_s_4,40039,event_perfectmaid_04_s,Speech,Locale_SubScenario:event_perfectmaid_04_s_4,True,,1,1,1.0,,ade,ade,,1,angry,,,,,
event_perfectmaid_04_s_5,40039,event_perfectmaid_04_s,Speech,Locale_SubScenario:event_perfectmaid_04_s_5,True,,1,1,1.0,,ade,ade,,1,angry,,,,,
event_perfectmaid_04_s_6,40039,event_perfectmaid_04_s,Speech,Locale_SubScenario:event_perfectmaid_04_s_6,False,,1,1,1.0,,ade,ade,,1,angry,,,,,
event_perfectmaid_04_s_7,40039,event_perfectmaid_04_s,Self,Locale_SubScenario:event_perfectmaid_04_s_7,False,,1,1,1.0,,,,,1,angry,,,,,
event_perfectmaid_04_s_8,40039,event_perfectmaid_04_s,Speech,Locale_SubScenario:event_perfectmaid_04_s_8,True,,1,1,1.0,,ade,ade,,1,angry,,,,,
event_perfectmaid_04_s_9,40039,event_perfectmaid_04_s,Self,Locale_SubScenario:event_perfectmaid_04_s_9,False,,1,10,1.0,,,,,1,angry,,,,,
event_perfectmaid_04_s_10,40039,event_perfectmaid_04_s,Speech,Locale_SubScenario:event_perfectmaid_04_s_10,False,,10,10,1.0,,ade,ade,,1,worried,,,,,
event_perfectmaid_04_s_11,40039,event_perfectmaid_04_s,Speech,Locale_SubScenario:event_perfectmaid_04_s_11,True,,10,10,1.0,,ade,ade,,1,worried,,,,,
event_perfectmaid_04_s_12,40039,event_perfectmaid_04_s,Speech,Locale_SubScenario:event_perfectmaid_04_s_12,True,,10,10,1.0,,ade,ade,,1,worried,,,,,
event_perfectmaid_04_s_13,40039,event_perfectmaid_04_s,Speech,Locale_SubScenario:event_perfectmaid_04_s_13,True,,10,10,1.0,,ade,ade,,1,worried,,,,,
