id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,set_filter_01,jump_target,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
event_nocallerid_intermission_01_1,40001,event_nocallerid_intermission_01,Speech,rapi,rapi,Locale_SubScenario:event_nocallerid_intermission_01_1,True,Desert_02_n,1,1,1.0,bgm_distress,,,,,rapi,1,idle,,anis,13,idle,,neon,15,idle,
event_nocallerid_intermission_01_2,40001,event_nocallerid_intermission_01,Speech,rapi,rapi,Locale_SubScenario:event_nocallerid_intermission_01_2,True,,1,1,1.0,,,,,,,1,idle,,,13,idle,,,15,idle,
event_nocallerid_intermission_01_3,40001,event_nocallerid_intermission_01,Self,,Self,Locale_SubScenario:event_nocallerid_intermission_01_3,False,,1,1,1.0,,,,,,,1,idle,,,13,idle,,,15,idle,
event_nocallerid_intermission_01_4,40001,event_nocallerid_intermission_01,Speech,anis,anis,Locale_SubScenario:event_nocallerid_intermission_01_4,True,,1,13,1.0,,,,,,,1,idle,,,13,idle,,,15,idle,
event_nocallerid_intermission_01_5,40001,event_nocallerid_intermission_01,Speech,neon,neon,Locale_SubScenario:event_nocallerid_intermission_01_5,True,,13,14,1.0,,,,,,,1,idle,,,13,idle,,,15,idle,
event_nocallerid_intermission_01_6,40001,event_nocallerid_intermission_01,Speech,rapi,rapi,Locale_SubScenario:event_nocallerid_intermission_01_6,True,,14,14,1.0,,,,,,,1,idle,,,13,idle,,,15,idle,
event_nocallerid_intermission_01_7,40001,event_nocallerid_intermission_01,Narration,rapi,Narration,Locale_SubScenario:event_nocallerid_intermission_01_7,False,,14,14,1.0,,,,,,,1,idle,,,15,idle,anis,,17,idle,neon
event_nocallerid_intermission_01_8,40001,event_nocallerid_intermission_01,Speech,rapi,rapi,Locale_SubScenario:event_nocallerid_intermission_01_8,True,,14,1,1.0,,,,,,,1,idle,,,,,,,,,
event_nocallerid_intermission_01_9,40001,event_nocallerid_intermission_01,Speech,rapi,rapi,Locale_SubScenario:event_nocallerid_intermission_01_9,True,,1,1,1.0,,,,,,,1,idle,,,,,,,,,
event_nocallerid_intermission_01_10,40001,event_nocallerid_intermission_01,Speech,rapi,rapi,Locale_SubScenario:event_nocallerid_intermission_01_10,True,,1,1,1.0,,,,,,,1,idle,,,,,,,,,
event_nocallerid_intermission_01_11,40001,event_nocallerid_intermission_01,Self,rapi,Self,Locale_SubScenario:event_nocallerid_intermission_01_11,False,,1,1,1.0,,,,,,,1,idle,,,,,,,,,
event_nocallerid_intermission_01_12,40001,event_nocallerid_intermission_01,Speech,rapi,rapi,Locale_SubScenario:event_nocallerid_intermission_01_12,True,,1,1,1.0,,,,,,,1,idle,,,,,,,,,
event_nocallerid_intermission_01_13,40001,event_nocallerid_intermission_01,Self,rapi,Self,Locale_SubScenario:event_nocallerid_intermission_01_13,False,,1,1,1.0,,,,,,,1,idle,,,,,,,,,
event_nocallerid_intermission_01_14,40001,event_nocallerid_intermission_01,Speech,rapi,rapi,Locale_SubScenario:event_nocallerid_intermission_01_14,True,,1,10,2.0,,,,,,,1,idle,,,,,,,,,
event_nocallerid_intermission_01_15,40001,event_nocallerid_intermission_01,Self,rapi,Self,Locale_SubScenario:event_nocallerid_intermission_01_15,False,,10,10,1.0,,,,,,,1,idle,,,,,,,,,
event_nocallerid_intermission_01_16,40001,event_nocallerid_intermission_01,Speech,rapi,rapi,Locale_SubScenario:event_nocallerid_intermission_01_16,False,,10,10,1.0,,,,,,,1,think,,,,,,,,,
event_nocallerid_intermission_01_17,40001,event_nocallerid_intermission_01,Speech,rapi,rapi,Locale_SubScenario:event_nocallerid_intermission_01_17,True,,10,10,1.0,,,,,,,1,idle,,,,,,,,,
event_nocallerid_intermission_01_18,40001,event_nocallerid_intermission_01,Speech,rapi,rapi,Locale_SubScenario:event_nocallerid_intermission_01_18,True,,10,10,1.0,,,,,,,1,idle,,,,,,,,,
event_nocallerid_intermission_01_19,40001,event_nocallerid_intermission_01,Speech,rapi,rapi,Locale_SubScenario:event_nocallerid_intermission_01_19,True,,10,10,1.0,,,,,,,1,idle,,,,,,,,,
event_nocallerid_intermission_01_20,40001,event_nocallerid_intermission_01,Speech,rapi,rapi,Locale_SubScenario:event_nocallerid_intermission_01_20,True,,10,10,1.0,,,,,,,1,idle,,,,,,,,,
event_nocallerid_intermission_01_21,40001,event_nocallerid_intermission_01,Self,rapi,Self,Locale_SubScenario:event_nocallerid_intermission_01_21,False,,10,10,1.0,,,,,,,1,idle,,,,,,,,,
event_nocallerid_intermission_01_22,40001,event_nocallerid_intermission_01,Speech,rapi,rapi,Locale_SubScenario:event_nocallerid_intermission_01_22,False,,10,1,2.0,,,,,,,1,think,,,,,,,,,
event_nocallerid_intermission_01_23,40001,event_nocallerid_intermission_01,Speech,rapi,rapi,Locale_SubScenario:event_nocallerid_intermission_01_23,True,,1,1,1.0,,,,,,,1,idle,,,,,,,,,
event_nocallerid_intermission_01_24,40001,event_nocallerid_intermission_01,Speech,rapi,rapi,Locale_SubScenario:event_nocallerid_intermission_01_24,True,,1,1,1.0,,,,,,,1,idle,,,,,,,,,
event_nocallerid_intermission_01_25,40001,event_nocallerid_intermission_01,Self,rapi,Self,Locale_SubScenario:event_nocallerid_intermission_01_25,False,,1,1,1.0,,,,,,,1,idle,,,,,,,,,
event_nocallerid_intermission_01_26,40001,event_nocallerid_intermission_01,Speech,rapi,rapi,Locale_SubScenario:event_nocallerid_intermission_01_26,True,,1,1,1.0,,,,,,,1,delight,,,,,,,,,
