id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound
event_foolburstday_11_1,130007,event_foolburstday_11,Speech,mechashifty,mechashifty,Locale_SubScenario:event_foolburstday_11_1,True,mechashifty,1,idle,shifty_s,3,surprise,CommanderRoom,S_10,1,1.0,bgm_story_tepidappleade,
event_foolburstday_11_2,130007,event_foolburstday_11,Speech,shifty_s,shifty_s,Locale_SubScenario:event_foolburstday_11_2,True,,1,idle,,3,surprise,,1,31,1.0,,
event_foolburstday_11_3,130007,event_foolburstday_11,Speech,mechashifty,mechashifty,Locale_SubScenario:event_foolburstday_11_3,True,,1,idle,,3,surprise,,31,31,1.0,,
event_foolburstday_11_4,130007,event_foolburstday_11,Speech,mechashifty,mechashifty,Locale_SubScenario:event_foolburstday_11_4,True,,1,angry,,3,surprise,,31,31,1.0,,
event_foolburstday_11_5,130007,event_foolburstday_11,Speech,shifty_s,shifty_s,Locale_SubScenario:event_foolburstday_11_5,True,,1,angry,,3,sad,,31,31,1.0,,
event_foolburstday_11_6,130007,event_foolburstday_11,Speech,mechashifty,mechashifty,Locale_SubScenario:event_foolburstday_11_6,True,,1,idle,,3,sad,,31,31,1.0,,
event_foolburstday_11_7,130007,event_foolburstday_11,Speech,shifty_s,shifty_s,Locale_SubScenario:event_foolburstday_11_7,True,,1,idle,,3,sad,,31,31,1.0,,
event_foolburstday_11_8,130007,event_foolburstday_11,Speech,mechashifty,mechashifty,Locale_SubScenario:event_foolburstday_11_8,True,,1,idle,,3,sad,,31,1,1.0,,
event_foolburstday_11_9,130007,event_foolburstday_11,Speech,mechashifty,mechashifty,Locale_SubScenario:event_foolburstday_11_9,True,,1,idle,,3,sad,,1,1,1.0,,
event_foolburstday_11_10,130007,event_foolburstday_11,Self,mechashifty,,Locale_SubScenario:event_foolburstday_11_10,False,,1,idle,,3,sad,,1,1,1.0,,
event_foolburstday_11_11,130007,event_foolburstday_11,Narration,mechashifty,,Locale_SubScenario:event_foolburstday_11_11,False,,1,idle,,3,sad,,1,S_10,1.0,,
event_foolburstday_11_12,130007,event_foolburstday_11,Speech,mechashifty,mechashifty,Locale_SubScenario:event_foolburstday_11_12,True,,1,angry,,3,sad,,S_10,S_10,1.0,,
event_foolburstday_11_13,130007,event_foolburstday_11,Self,mechashifty,,Locale_SubScenario:event_foolburstday_11_13,False,,1,angry,,3,sad,,S_10,S_10,1.0,,
event_foolburstday_11_14,130007,event_foolburstday_11,Speech,mechashifty,mechashifty,Locale_SubScenario:event_foolburstday_11_14,True,,1,idle,,3,sad,,S_10,S_10,1.0,,
event_foolburstday_11_15,130007,event_foolburstday_11,Self,mechashifty,,Locale_SubScenario:event_foolburstday_11_15,False,,1,idle,,3,no,,S_10,S_10,1.0,,
event_foolburstday_11_16,130007,event_foolburstday_11,Speech,mechashifty,mechashifty,Locale_SubScenario:event_foolburstday_11_16,True,,1,idle,,3,no,,S_10,S_10,1.0,,
event_foolburstday_11_17,130007,event_foolburstday_11,Speech,mechashifty,mechashifty,Locale_SubScenario:event_foolburstday_11_17,True,,1,idle,,3,no,,S_10,S_10,1.0,,
event_foolburstday_11_18,130007,event_foolburstday_11,Speech,shifty_s,shifty_s,Locale_SubScenario:event_foolburstday_11_18,True,,1,idle,,3,no,,S_10,S_30,1.0,,
event_foolburstday_11_19,130007,event_foolburstday_11,Self,shifty_s,,Locale_SubScenario:event_foolburstday_11_19,False,,1,idle,,3,no,,S_30,S_30,1.0,,
event_foolburstday_11_20,130007,event_foolburstday_11,Speech,mechashifty,mechashifty,Locale_SubScenario:event_foolburstday_11_20,True,,1,idle,,3,no,,S_10,S_10,1.0,,
event_foolburstday_11_21,130007,event_foolburstday_11,Speech,shifty_s,shifty_s,Locale_SubScenario:event_foolburstday_11_21,True,,1,idle,,3,no,,S_30,S_30,1.0,,
event_foolburstday_11_22,130007,event_foolburstday_11,Speech,mechashifty,mechashifty,Locale_SubScenario:event_foolburstday_11_22,True,,1,idle,,3,no,,S_100,S_100,1.0,,
event_foolburstday_11_23,130007,event_foolburstday_11,Speech,mechashifty,mechashifty,Locale_SubScenario:event_foolburstday_11_23,True,,1,idle,,3,no,,S_100,S_10,1.0,,
event_foolburstday_11_24,130007,event_foolburstday_11,Speech,mechashifty,mechashifty,Locale_SubScenario:event_foolburstday_11_24,True,,1,idle,,3,no,,S_10,S_10,1.0,,
event_foolburstday_11_25,130007,event_foolburstday_11,Speech,shifty_s,shifty_s,Locale_SubScenario:event_foolburstday_11_25,True,,1,idle,,3,no,,S_10,S_30,1.0,,
event_foolburstday_11_26,130007,event_foolburstday_11,Self,shifty_s,,Locale_SubScenario:event_foolburstday_11_26,False,,1,idle,,3,no,,S_30,S_30,1.0,,
event_foolburstday_11_27,130007,event_foolburstday_11,Speech,mechashifty,mechashifty,Locale_SubScenario:event_foolburstday_11_27,True,,1,idle,,3,no,,S_30,S_10,1.0,,
event_foolburstday_11_28,130007,event_foolburstday_11,Speech,shifty_s,shifty_s,Locale_SubScenario:event_foolburstday_11_28,True,,1,idle,,3,no,,S_10,31,1.0,,
event_foolburstday_11_29,130007,event_foolburstday_11,Speech,mechashifty,mechashifty,Locale_SubScenario:event_foolburstday_11_29,True,,1,idle,,3,no,,31,31,1.0,,
event_foolburstday_11_30,130007,event_foolburstday_11,Narration,mechashifty,,Locale_SubScenario:event_foolburstday_11_30,False,,1,idle,,3,no,,31,31,1.0,none,sfx_scn_phonevibration
event_foolburstday_11_31,130007,event_foolburstday_11,Speech,shifty_s,shifty_s,Locale_SubScenario:event_foolburstday_11_31,True,,1,idle,,3,worry,,31,31,1.0,,
event_foolburstday_11_32,130007,event_foolburstday_11,Speech,mechashifty,mechashifty,Locale_SubScenario:event_foolburstday_11_32,True,,1,idle,,3,worry,,31,31,1.0,,
event_foolburstday_11_33,130007,event_foolburstday_11,Speech,shifty_s,shifty_s,Locale_SubScenario:event_foolburstday_11_33,True,,1,idle,,3,worry,,31,31,1.0,,
event_foolburstday_11_34,130007,event_foolburstday_11,Speech,shifty_s,shifty_s,Locale_SubScenario:event_foolburstday_11_34,True,,1,idle,,3,idle,,31,3,1.0,,
event_foolburstday_11_35,130007,event_foolburstday_11,Speech,shifty_s,shifty_s,Locale_SubScenario:event_foolburstday_11_35,True,,1,idle,,3,idle,,3,3,1.0,,
event_foolburstday_11_36,130007,event_foolburstday_11,Speech,shifty_s,shifty_s,Locale_SubScenario:event_foolburstday_11_36,True,,1,idle,,3,surprise,,3,S_30,1.0,,
