id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
event_redash2_05_e_1,40032,event_redash2_05_e,Speech,dorothy,dorothy,Locale_MainScenario:event_redash2_05_e_1,True,Desert_05,1,10,1.0,none,,,dorothy,1,angry,,rapunzel_o,3,idle,,snowwhite_o,5,angry,,hongryeon_o,13,idle,
event_redash2_05_e_2,40032,event_redash2_05_e,Speech,snowwhite_o,snowwhite_o,Locale_MainScenario:event_redash2_05_e_2,True,,S_50,S_50,1.0,,,,,1,angry,,,3,idle,,,5,sad,,,13,idle,
event_redash2_05_e_3,40032,event_redash2_05_e,Speech,hongryeon_o,hongryeon_o,Locale_MainScenario:event_redash2_05_e_3,True,,130,130,1.0,,,,,1,angry,,,3,idle,,,5,sad,,,13,idle,
event_redash2_05_e_4,40032,event_redash2_05_e,Speech,rapunzel_o,rapunzel_o,Locale_MainScenario:event_redash2_05_e_4,True,,L_30,L_30,1.0,,,,,1,angry,,,3,idle,,,5,sad,,,13,idle,
event_redash2_05_e_5,40032,event_redash2_05_e,Speech,dorothy,dorothy,Locale_MainScenario:event_redash2_05_e_5,True,,L_30,10,1.0,,,,,1,think,,,3,idle,,,5,idle,,,13,idle,
event_redash2_05_e_6,40032,event_redash2_05_e,Speech,dorothy,dorothy,Locale_MainScenario:event_redash2_05_e_6,True,,10,10,1.0,,,,,1,think,,,3,idle,,,5,idle,,,13,idle,
event_redash2_05_e_7,40032,event_redash2_05_e,Speech,dorothy,dorothy,Locale_MainScenario:event_redash2_05_e_7,True,,10,10,1.0,,,,,1,think,,,3,idle,,,5,idle,,,13,idle,
event_redash2_05_e_8,40032,event_redash2_05_e,Speech,dorothy,dorothy,Locale_MainScenario:event_redash2_05_e_8,True,,10,10,1.0,,,,,1,think,,,3,idle,,,5,idle,,,13,idle,
event_redash2_05_e_9,40032,event_redash2_05_e,Narration,,,Locale_MainScenario:event_redash2_05_e_9,False,,black,black,1.0,event_bgm_redash_facethat,sfx_scn_earthquake,,,1,think,,,3,idle,,,5,idle,,,13,idle,
event_redash2_05_e_10,40032,event_redash2_05_e,Speech,dorothy,dorothy,Locale_MainScenario:event_redash2_05_e_10,False,,10,10,1.0,,,,,1,think,,,3,idle,,,5,idle,,,13,idle,
event_redash2_05_e_11,40032,event_redash2_05_e,Speech,snowwhite_o,snowwhite_o,Locale_MainScenario:event_redash2_05_e_11,True,,S_50,S_50,1.0,,,,,1,think,,,3,idle,,,5,sad,,,13,idle,
event_redash2_05_e_12,40032,event_redash2_05_e,Speech,hongryeon_o,hongryeon_o,Locale_MainScenario:event_redash2_05_e_12,True,,130,130,1.0,,,,,1,think,,,3,idle,,,5,sad,,,13,idle,
event_redash2_05_e_13,40032,event_redash2_05_e,Speech,dorothy,dorothy,Locale_MainScenario:event_redash2_05_e_13,True,,10,10,1.0,,,,,1,think,,,3,idle,,,5,sad,,,13,idle,
event_redash2_05_e_14,40032,event_redash2_05_e,Speech,dorothy,dorothy,Locale_MainScenario:event_redash2_05_e_14,True,,10,10,1.0,,,,,1,think,,,3,idle,,,5,sad,,,13,idle,
event_redash2_05_e_15,40032,event_redash2_05_e,Speech,dorothy,dorothy,Locale_MainScenario:event_redash2_05_e_15,True,,10,100,1.0,,,,,1,think,,,3,idle,,,5,sad,,,13,idle,
event_redash2_05_e_16,40032,event_redash2_05_e,Speech,snowwhite_o,snowwhite_o,Locale_MainScenario:event_redash2_05_e_16,False,,S_500,S_500,1.0,,,,,1,think,,,3,idle,,,5,sad,,,13,idle,
event_redash2_05_e_17,40032,event_redash2_05_e,Speech,hongryeon_o,hongryeon_o,Locale_MainScenario:event_redash2_05_e_17,True,,1300,1300,1.0,,,,,1,think,,,3,idle,,,5,sad,,,13,idle,
event_redash2_05_e_18,40032,event_redash2_05_e,Speech,rapunzel_o,rapunzel_o,Locale_MainScenario:event_redash2_05_e_18,False,,L_300,L_300,1.0,,,,,1,think,,,3,think,,,5,sad,,,13,idle,
event_redash2_05_e_19,40032,event_redash2_05_e,Narration,,,Locale_MainScenario:event_redash2_05_e_19,False,,black,black,1.0,,sfx_scn_5rapturestep,,,1,think,,,3,think,,,5,idle,,,13,idle,
event_redash2_05_e_20,40032,event_redash2_05_e,Narration,,,Locale_MainScenario:event_redash2_05_e_20,False,,black,black,1.0,,,,,1,think,,,3,think,,,5,idle,,,13,idle,
event_redash2_05_e_21,40032,event_redash2_05_e,Narration,,,Locale_MainScenario:event_redash2_05_e_21,False,,black,black,1.0,,,,,1,think,,,3,think,,,5,idle,,,13,idle,
event_redash2_05_e_22,40032,event_redash2_05_e,Narration,,,Locale_MainScenario:event_redash2_05_e_22,False,,13,130,1.0,,,,,1,think,,,3,think,,,5,idle,,,13,idle,
