id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,jump_target,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
event_bowwowparadise_01_e_1,40010,event_bowwowparadise_01_e,Self,Locale_SubScenario:event_bowwowparadise_01_e_1,False,CommanderRoom,1,1,1.0,bgm_story_breakaway,,,,,biscuit,1,sad
event_bowwowparadise_01_e_2,40010,event_bowwowparadise_01_e,Speech,Locale_SubScenario:event_bowwowparadise_01_e_2,True,,1,1,1.0,,biscuit,biscuit,,,,1,sad
event_bowwowparadise_01_e_3,40010,event_bowwowparadise_01_e,Speech,Locale_SubScenario:event_bowwowparadise_01_e_3,True,,1,XS_10,1.0,,biscuit,biscuit,,,,1,sad
event_bowwowparadise_01_e_4,40010,event_bowwowparadise_01_e,Speech,Locale_SubScenario:event_bowwowparadise_01_e_4,True,,XS_10,XS_10,1.0,,biscuit,biscuit,,,,1,sad
event_bowwowparadise_01_e_5,40010,event_bowwowparadise_01_e,Monologue,Locale_SubScenario:event_bowwowparadise_01_e_5,False,,XS_10,XS_10,1.0,,,,,,,1,sad
event_bowwowparadise_01_e_6,40010,event_bowwowparadise_01_e,Choice,Locale_SubScenario:event_bowwowparadise_01_e_6,False,,XS_10,XS_10,1.0,,,,event_bowwowparadise_01_e_8,,,1,sad
event_bowwowparadise_01_e_7,40010,event_bowwowparadise_01_e,Choice,Locale_SubScenario:event_bowwowparadise_01_e_7,False,,XS_10,XS_10,1.0,,,,event_bowwowparadise_01_e_8,,,1,sad
event_bowwowparadise_01_e_8,40010,event_bowwowparadise_01_e,Speech,Locale_SubScenario:event_bowwowparadise_01_e_8,True,,XS_10,XS_10,1.0,,biscuit,biscuit,,,,1,sad
event_bowwowparadise_01_e_9,40010,event_bowwowparadise_01_e,Self,Locale_SubScenario:event_bowwowparadise_01_e_9,False,,XS_10,XS_10,1.0,,,,,,,1,sad
event_bowwowparadise_01_e_10,40010,event_bowwowparadise_01_e,Speech,Locale_SubScenario:event_bowwowparadise_01_e_10,True,,XS_10,XS_100,1.0,,biscuit,biscuit,,,,1,idle
event_bowwowparadise_01_e_11,40010,event_bowwowparadise_01_e,Speech,Locale_SubScenario:event_bowwowparadise_01_e_11,True,,XS_100,XS_100,1.0,,biscuit,biscuit,,,,1,idle
event_bowwowparadise_01_e_12,40010,event_bowwowparadise_01_e,Speech,Locale_SubScenario:event_bowwowparadise_01_e_12,True,,XS_100,XS_100,1.0,,biscuit,biscuit,,,,1,idle
event_bowwowparadise_01_e_13,40010,event_bowwowparadise_01_e,Speech,Locale_SubScenario:event_bowwowparadise_01_e_13,True,,XS_100,XS_100,1.0,,biscuit,biscuit,,,,1,idle
event_bowwowparadise_01_e_14,40010,event_bowwowparadise_01_e,Speech,Locale_SubScenario:event_bowwowparadise_01_e_14,True,,XS_100,XS_100,1.0,,biscuit,biscuit,,,,1,idle
event_bowwowparadise_01_e_15,40010,event_bowwowparadise_01_e,Speech,Locale_SubScenario:event_bowwowparadise_01_e_15,True,,XS_100,XS_100,1.0,,biscuit,biscuit,,,,1,idle
event_bowwowparadise_01_e_16,40010,event_bowwowparadise_01_e,Speech,Locale_SubScenario:event_bowwowparadise_01_e_16,True,,XS_100,XS_10,2.0,,biscuit,biscuit,,,,1,sad
event_bowwowparadise_01_e_17,40010,event_bowwowparadise_01_e,Speech,Locale_SubScenario:event_bowwowparadise_01_e_17,True,,XS_10,XS_10,1.0,,biscuit,biscuit,,,,1,sad
event_bowwowparadise_01_e_18,40010,event_bowwowparadise_01_e,Speech,Locale_SubScenario:event_bowwowparadise_01_e_18,True,,XS_10,XS_10,1.0,,biscuit,biscuit,,,,1,sad
event_bowwowparadise_01_e_19,40010,event_bowwowparadise_01_e,Self,Locale_SubScenario:event_bowwowparadise_01_e_19,False,,XS_10,XS_10,1.0,,,,,,,1,sad
event_bowwowparadise_01_e_20,40010,event_bowwowparadise_01_e,Self,Locale_SubScenario:event_bowwowparadise_01_e_20,False,,XS_10,XS_10,1.0,,,,,,,1,sad
event_bowwowparadise_01_e_21,40010,event_bowwowparadise_01_e,Speech,Locale_SubScenario:event_bowwowparadise_01_e_21,True,,XS_10,XS_10,1.0,,biscuit,biscuit,,,,1,idle
event_bowwowparadise_01_e_22,40010,event_bowwowparadise_01_e,Speech,Locale_SubScenario:event_bowwowparadise_01_e_22,True,,XS_10,XS_10,1.0,,biscuit,biscuit,,,,1,idle
