id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,play_sound,characters/0/hide_char_id,set_filter_02,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
event_oldtales2_04_s_1,40062,event_oldtales2_04_s,Narration,Locale_MainScenario:event_oldtales2_04_s_1,False,NoCloudLand,black,black,1.0,event_bgm_oldtales_beyond,Vignetting,,,,,,,,,,,
event_oldtales2_04_s_2,40062,event_oldtales2_04_s,Narration,Locale_MainScenario:event_oldtales2_04_s_2,False,,black,black,1.0,,Vignetting,,,,,,,,,,,
event_oldtales2_04_s_3,40062,event_oldtales2_04_s,Narration,Locale_MainScenario:event_oldtales2_04_s_3,False,,1,S_100,1.0,,Vignetting,,,,,,,,,,,
event_oldtales2_04_s_4,40062,event_oldtales2_04_s,Narration,Locale_MainScenario:event_oldtales2_04_s_4,False,,S_100,S_100,1.0,,Vignetting,,,,,,,,,,,
event_oldtales2_04_s_5,40062,event_oldtales2_04_s,Narration,Locale_MainScenario:event_oldtales2_04_s_5,False,,black,black,1.0,,Vignetting,,,,,,,,,,,
event_oldtales2_04_s_6,40062,event_oldtales2_04_s,Narration,Locale_MainScenario:event_oldtales2_04_s_6,False,,black,black,1.0,,Vignetting,,,,,,,,,,,
event_oldtales2_04_s_7,40062,event_oldtales2_04_s,Narration,Locale_MainScenario:event_oldtales2_04_s_7,False,,S_100,S_10,1.0,,Vignetting,,,,,,,,,,,
event_oldtales2_04_s_8,40062,event_oldtales2_04_s,Narration,Locale_MainScenario:event_oldtales2_04_s_8,False,,S_10,S_10,1.0,,Vignetting,,,,,,,,,,,
event_oldtales2_04_s_9,40062,event_oldtales2_04_s,Narration,Locale_MainScenario:event_oldtales2_04_s_9,False,,S_10,S_10,1.0,,Vignetting,,,,,,,,,,,
event_oldtales2_04_s_10,40062,event_oldtales2_04_s,Narration,Locale_MainScenario:event_oldtales2_04_s_10,False,,S_10,S_10,1.0,,Vignetting,,,,,,,,,,,
event_oldtales2_04_s_11,40062,event_oldtales2_04_s,Narration,Locale_MainScenario:event_oldtales2_04_s_11,False,,black,black,1.0,,Vignetting,,,,,,,,,,,
event_oldtales2_04_s_12,40062,event_oldtales2_04_s,Narration,Locale_MainScenario:event_oldtales2_04_s_12,False,,black,black,1.0,,Vignetting,,,,,,,,,,,
event_oldtales2_04_s_13,40062,event_oldtales2_04_s,Narration,Locale_MainScenario:event_oldtales2_04_s_13,False,,S_10,S_10,1.0,,,,,,,,,,,,,
event_oldtales2_04_s_14,40062,event_oldtales2_04_s,Narration,Locale_MainScenario:event_oldtales2_04_s_14,False,,S_10,S_10,1.0,,,,,,,,,,,,,
event_oldtales2_04_s_15,40062,event_oldtales2_04_s,Narration,Locale_MainScenario:event_oldtales2_04_s_15,False,,S_10,S_10,1.0,,,,,,,,,,,,,
event_oldtales2_04_s_16,40062,event_oldtales2_04_s,Speech,Locale_MainScenario:event_oldtales2_04_s_16,False,,S_10,S_100,1.0,,,cinderella,cinderella,cinderella,1,void,,,,,,
event_oldtales2_04_s_17,40062,event_oldtales2_04_s,Speech,Locale_MainScenario:event_oldtales2_04_s_17,False,,S_100,S_100,1.0,,,cinderella,cinderella,,1,void,,,,,,
event_oldtales2_04_s_18,40062,event_oldtales2_04_s,Speech,Locale_MainScenario:event_oldtales2_04_s_18,False,,S_100,S_100,1.0,,,cinderella,cinderella,,1,void,,,,,,
event_oldtales2_04_s_19,40062,event_oldtales2_04_s,Speech,Locale_MainScenario:event_oldtales2_04_s_19,False,,S_100,S_100,1.0,,,cinderella,cinderella,,1,void,,,,,,
event_oldtales2_04_s_20,40062,event_oldtales2_04_s,Speech,Locale_MainScenario:event_oldtales2_04_s_20,False,,S_100,S_10,1.0,,,cinderella,cinderella,,1,void,,,,,,
event_oldtales2_04_s_21,40062,event_oldtales2_04_s,Speech,Locale_MainScenario:event_oldtales2_04_s_21,True,,S_10,1,1.0,,,cinderella,cinderella,,1,void,,,,,,
event_oldtales2_04_s_22,40062,event_oldtales2_04_s,Narration,Locale_MainScenario:event_oldtales2_04_s_22,False,,1,1,1.0,,,cinderella,,,1,"expression_0,idle_alt",sfx_scn_shieldmove,,,,,
event_oldtales2_04_s_23,40062,event_oldtales2_04_s,Narration,Locale_MainScenario:event_oldtales2_04_s_23,False,,black,black,1.0,,,cinderella,,,1,void_02,,,,,,
event_oldtales2_04_s_24,40062,event_oldtales2_04_s,Narration,Locale_MainScenario:event_oldtales2_04_s_24,False,,black,black,1.0,,,cinderella,,,1,void_02,,,,,,
event_oldtales2_04_s_25,40062,event_oldtales2_04_s,Narration,Locale_MainScenario:event_oldtales2_04_s_25,False,,black,black,1.0,,,cinderella,,,1,void_02,,,,,,
event_oldtales2_04_s_26,40062,event_oldtales2_04_s,Narration,Locale_MainScenario:event_oldtales2_04_s_26,False,,black,black,1.0,,,cinderella,,,1,void_02,,cinderella,,,,
event_oldtales2_04_s_27,40062,event_oldtales2_04_s,Narration,Locale_MainScenario:event_oldtales2_04_s_27,False,,black,black,1.0,,,cinderella,,,,,,,,,,
event_oldtales2_04_s_28,40062,event_oldtales2_04_s,Narration,Locale_MainScenario:event_oldtales2_04_s_28,False,,black,black,1.0,,,cinderella,,,,,,,,,,
event_oldtales2_04_s_29,40062,event_oldtales2_04_s,Narration,Locale_MainScenario:event_oldtales2_04_s_29,False,,black,black,1.0,,,cinderella,,,,,,,,,,
event_oldtales2_04_s_30,40062,event_oldtales2_04_s,Narration,Locale_MainScenario:event_oldtales2_04_s_30,False,,black,black,1.0,,,cinderella,,,,,,,,,,
event_oldtales2_04_s_31,40062,event_oldtales2_04_s,Narration,Locale_MainScenario:event_oldtales2_04_s_31,False,,black,black,1.0,,,cinderella,,,,,,,,,,
event_oldtales2_04_s_32,40062,event_oldtales2_04_s,Speech,Locale_MainScenario:event_oldtales2_04_s_32,True,,1300,1300,1.0,none,Grey,abe,abe,,,,,,Vignetting,,,
event_oldtales2_04_s_33,40062,event_oldtales2_04_s,Narration,Locale_MainScenario:event_oldtales2_04_s_33,False,,1300,1300,1.0,,Grey,cinderella,,,,,,,Vignetting,,,
event_oldtales2_04_s_34,40062,event_oldtales2_04_s,Speech,Locale_MainScenario:event_oldtales2_04_s_34,True,,1300,1300,1.0,,Grey,abe,abe,,,,,,Vignetting,,,
event_oldtales2_04_s_35,40062,event_oldtales2_04_s,Narration,Locale_MainScenario:event_oldtales2_04_s_35,False,,1300,130,1.0,,,abe,,cinderella,1,surprise_02,,,,abe,13,idle
event_oldtales2_04_s_36,40062,event_oldtales2_04_s,Narration,Locale_MainScenario:event_oldtales2_04_s_36,False,,130,130,1.0,,,abe,,,1,sad_02,,,,,13,idle
event_oldtales2_04_s_37,40062,event_oldtales2_04_s,Speech,Locale_MainScenario:event_oldtales2_04_s_37,True,,130,130,1.0,,,abe,abe,,1,sad_02,,,,,13,think
event_oldtales2_04_s_38,40062,event_oldtales2_04_s,Speech,Locale_MainScenario:event_oldtales2_04_s_38,False,,130,113,1.0,,,cinderella,cinderella,,1,sad_02,,,,,13,think
event_oldtales2_04_s_39,40062,event_oldtales2_04_s,Speech,Locale_MainScenario:event_oldtales2_04_s_39,True,,113,113,1.0,,,cinderella,cinderella,,1,sad_02,,,,,13,think
