id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,highlight,speaker,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_filter_01,set_filter_02
event_schooloflock_05_s_1,40028,event_schooloflock_05_s,Narration,Locale_SubScenario:event_schooloflock_05_s_1,False,ElevatorOut,1,1,1.0,sfx_scn_autodooropen,none,,,,,,,,,,
event_schooloflock_05_s_2,40028,event_schooloflock_05_s,Monologue,Locale_SubScenario:event_schooloflock_05_s_2,False,,1,1,1.0,,,,,,,,,,,,
event_schooloflock_05_s_3,40028,event_schooloflock_05_s,Monologue,Locale_SubScenario:event_schooloflock_05_s_3,False,,1,10,1.0,,,tercera,1,idle,,,,,,,
event_schooloflock_05_s_4,40028,event_schooloflock_05_s,Speech,Locale_SubScenario:event_schooloflock_05_s_4,False,,10,10,1.0,,,,1,idle,massproduction01,massproduction01,,,,,
event_schooloflock_05_s_5,40028,event_schooloflock_05_s,Monologue,Locale_SubScenario:event_schooloflock_05_s_5,False,,10,10,1.0,,,,1,idle,,,,,,,
event_schooloflock_05_s_6,40028,event_schooloflock_05_s,Self,Locale_SubScenario:event_schooloflock_05_s_6,False,,10,10,1.0,,,,1,idle,,,,,,,
event_schooloflock_05_s_7,40028,event_schooloflock_05_s,Speech,Locale_SubScenario:event_schooloflock_05_s_7,True,,10,12,1.0,,,,1,idle,marciana,marciana,marciana,13,idle,,
event_schooloflock_05_s_8,40028,event_schooloflock_05_s,Speech,Locale_SubScenario:event_schooloflock_05_s_8,True,,12,12,1.0,,bgm_story_trauma,,1,idle,marciana,marciana,,13,idle,,
event_schooloflock_05_s_9,40028,event_schooloflock_05_s,Speech,Locale_SubScenario:event_schooloflock_05_s_9,True,,12,12,1.0,,,,1,idle,tercera,tercera,,13,idle,,
event_schooloflock_05_s_10,40028,event_schooloflock_05_s,Speech,Locale_SubScenario:event_schooloflock_05_s_10,True,,12,12,1.0,,,,1,idle,tercera,tercera,,13,idle,,
event_schooloflock_05_s_11,40028,event_schooloflock_05_s,Speech,Locale_SubScenario:event_schooloflock_05_s_11,True,,12,12,1.0,,,,1,idle,tercera,tercera,,13,idle,,
