id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
event_lifeagain_01_e_1,40060,event_lifeagain_01_e,Monologue,Monologue,Locale_SubScenario:event_lifeagain_01_e_1,False,Gym,black,black,1.0,none,,,rumani,5,idle,nadia,3,idle,
event_lifeagain_01_e_2,40060,event_lifeagain_01_e,Monologue,Monologue,Locale_SubScenario:event_lifeagain_01_e_2,False,,black,black,1.0,bgm_story_leisuretime,,,,5,idle,,3,idle,
event_lifeagain_01_e_3,40060,event_lifeagain_01_e,Monologue,Monologue,Locale_SubScenario:event_lifeagain_01_e_3,False,,4,4,1.0,,,,,5,idle,,3,idle,
event_lifeagain_01_e_4,40060,event_lifeagain_01_e,Speech,rumani,Locale_SubScenario:event_lifeagain_01_e_4,True,,4,4,1.0,,rumani,,,5,idle,,3,idle,
event_lifeagain_01_e_5,40060,event_lifeagain_01_e,Speech,rumani,Locale_SubScenario:event_lifeagain_01_e_5,True,,4,L_50,1.0,,rumani,,,5,idle,,3,idle,
event_lifeagain_01_e_6,40060,event_lifeagain_01_e,Speech,rumani,Locale_SubScenario:event_lifeagain_01_e_6,True,,L_50,L_50,1.0,,rumani,,,5,idle,,3,idle,
event_lifeagain_01_e_7,40060,event_lifeagain_01_e,Self,Self,Locale_SubScenario:event_lifeagain_01_e_7,False,,L_50,L_50,1.0,,,,,5,idle,,3,idle,
event_lifeagain_01_e_8,40060,event_lifeagain_01_e,Speech,rumani,Locale_SubScenario:event_lifeagain_01_e_8,True,,L_50,L_50,1.0,,rumani,,,5,idle,,3,idle,
event_lifeagain_01_e_9,40060,event_lifeagain_01_e,Speech,rumani,Locale_SubScenario:event_lifeagain_01_e_9,True,,L_50,L_50,1.0,,rumani,,,5,idle,,3,idle,
event_lifeagain_01_e_10,40060,event_lifeagain_01_e,Speech,rumani,Locale_SubScenario:event_lifeagain_01_e_10,True,,L_50,L_50,1.0,,rumani,,,5,idle,,3,idle,
event_lifeagain_01_e_11,40060,event_lifeagain_01_e,Speech,rumani,Locale_SubScenario:event_lifeagain_01_e_11,True,,L_50,4,1.0,,rumani,,,5,idle,,3,idle,
event_lifeagain_01_e_12,40060,event_lifeagain_01_e,Speech,nadia,Locale_SubScenario:event_lifeagain_01_e_12,False,,4,4,1.0,,nadia,,,5,idle,,3,idle,
event_lifeagain_01_e_13,40060,event_lifeagain_01_e,Speech,rumani,Locale_SubScenario:event_lifeagain_01_e_13,True,,4,4,1.0,,rumani,,,5,think,,3,idle,
event_lifeagain_01_e_14,40060,event_lifeagain_01_e,Speech,rumani,Locale_SubScenario:event_lifeagain_01_e_14,True,,4,4,1.0,,rumani,,,5,think,,3,idle,
event_lifeagain_01_e_15,40060,event_lifeagain_01_e,Speech,nadia,Locale_SubScenario:event_lifeagain_01_e_15,False,,4,4,1.0,,nadia,,,5,think,,3,idle,
