id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/0/hide_char_id,characters/2/hide_char_id,play_sound,set_camera_shake,fade,characters/1/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
event_seayouagain1_06_e_1,40024,event_seayouagain1_06_e,Monologue,Locale_MainScenario:event_seayouagain1_06_e_1,False,LogHouseOut_d,6,6,1.0,bgm_story_sundayintheark,,,,,,,,,,,,,,,,,,,,,
event_seayouagain1_06_e_2,40024,event_seayouagain1_06_e,Monologue,Locale_MainScenario:event_seayouagain1_06_e_2,False,,6,6,1.0,,,,,,,,,,,,,,,,,,,,,,
event_seayouagain1_06_e_3,40024,event_seayouagain1_06_e,Self,Locale_MainScenario:event_seayouagain1_06_e_3,False,,6,3,1.0,,,,,,,,,,,,,,,,,,,,,,
event_seayouagain1_06_e_4,40024,event_seayouagain1_06_e,Speech,Locale_MainScenario:event_seayouagain1_06_e_4,True,,3,3,1.0,,anis_s,anis_s,anis_s,3,void,helm_s,1,idle,mary_s,13,idle,,,,,,,,,,
event_seayouagain1_06_e_5,40024,event_seayouagain1_06_e,Speech,Locale_MainScenario:event_seayouagain1_06_e_5,True,,3,3,1.0,,anis_s,anis_s,,3,void,,1,idle,,13,idle,,,,,,,,,,
event_seayouagain1_06_e_6,40024,event_seayouagain1_06_e,Speech,Locale_MainScenario:event_seayouagain1_06_e_6,True,,3,3,1.0,,anis_s,anis_s,,3,worry,,1,idle,,13,idle,,,,,,,,,,
event_seayouagain1_06_e_7,40024,event_seayouagain1_06_e,Speech,Locale_MainScenario:event_seayouagain1_06_e_7,False,,3,2,1.0,,helm_s,helm_s,,3,worry,,1,idle,,13,idle,,,,,,,,,,
event_seayouagain1_06_e_8,40024,event_seayouagain1_06_e,Speech,Locale_MainScenario:event_seayouagain1_06_e_8,True,,2,2,1.0,,helm_s,helm_s,,3,worry,,1,idle,,13,idle,,,,,,,,,,
event_seayouagain1_06_e_9,40024,event_seayouagain1_06_e,Speech,Locale_MainScenario:event_seayouagain1_06_e_9,True,,2,2,1.0,,anis_s,anis_s,,3,void,,1,idle,,13,idle,,,,,,,,,,
event_seayouagain1_06_e_10,40024,event_seayouagain1_06_e,Speech,Locale_MainScenario:event_seayouagain1_06_e_10,True,,2,2,1.0,,helm_s,helm_s,,3,void,,1,idle,,13,idle,,,,,,,,,,
