id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
event_arcanearchive_01_e_1,40077,event_arcanearchive_01_e,Speech,arcana,arcana,Locale_SubScenario:event_arcanearchive_01_e_1,True,CommanderRoom,L_1200,L_120,1.3,bgm_story_tuffguys,,phantom,2,special_02,arcana,12,think,
event_arcanearchive_01_e_2,40077,event_arcanearchive_01_e,Speech,arcana,arcana,Locale_SubScenario:event_arcanearchive_01_e_2,True,,L_120,L_120,1.0,,,,2,special_02,,12,think,
event_arcanearchive_01_e_3,40077,event_arcanearchive_01_e,Choice,arcana,,Locale_SubScenario:event_arcanearchive_01_e_3,False,,L_120,L_120,1.0,,event_arcanearchive_01_e_5,,2,special_02,,12,think,
event_arcanearchive_01_e_4,40077,event_arcanearchive_01_e,Choice,arcana,,Locale_SubScenario:event_arcanearchive_01_e_4,False,,L_120,L_120,1.0,,event_arcanearchive_01_e_5,,2,special_02,,12,think,
event_arcanearchive_01_e_5,40077,event_arcanearchive_01_e,Speech,arcana,arcana,Locale_SubScenario:event_arcanearchive_01_e_5,True,,L_120,L_120,1.0,,,,2,special_02,,12,idle,
event_arcanearchive_01_e_6,40077,event_arcanearchive_01_e,Speech,arcana,arcana,Locale_SubScenario:event_arcanearchive_01_e_6,True,,L_120,L_120,1.0,,,,2,special_02,,12,idle,
event_arcanearchive_01_e_7,40077,event_arcanearchive_01_e,Speech,arcana,arcana,Locale_SubScenario:event_arcanearchive_01_e_7,True,,L_120,L_120,1.0,,,,2,special_02,,12,idle,
event_arcanearchive_01_e_8,40077,event_arcanearchive_01_e,Speech,arcana,arcana,Locale_SubScenario:event_arcanearchive_01_e_8,True,,L_120,L_120,1.0,,,,2,special_02,,12,smile,
event_arcanearchive_01_e_9,40077,event_arcanearchive_01_e,Speech,phantom,phantom,Locale_SubScenario:event_arcanearchive_01_e_9,True,,L_120,1,1.3,,,,2,no_02,,12,smile,
event_arcanearchive_01_e_10,40077,event_arcanearchive_01_e,Speech,arcana,arcana,Locale_SubScenario:event_arcanearchive_01_e_10,True,,1,1,1.0,,,,2,no_02,,12,surprise,
event_arcanearchive_01_e_11,40077,event_arcanearchive_01_e,Speech,phantom,phantom,Locale_SubScenario:event_arcanearchive_01_e_11,True,,1,1,1.0,,,,2,no_02,,12,surprise,
event_arcanearchive_01_e_12,40077,event_arcanearchive_01_e,Self,phantom,,Locale_SubScenario:event_arcanearchive_01_e_12,False,,1,1,1.0,,,,2,no_02,,12,surprise,
event_arcanearchive_01_e_13,40077,event_arcanearchive_01_e,Speech,phantom,phantom,Locale_SubScenario:event_arcanearchive_01_e_13,True,,1,1,1.0,,,,2,angry_02,,12,surprise,
event_arcanearchive_01_e_14,40077,event_arcanearchive_01_e,Speech,phantom,phantom,Locale_SubScenario:event_arcanearchive_01_e_14,True,,1,1,1.0,,,,2,angry_02,,12,surprise,
event_arcanearchive_01_e_15,40077,event_arcanearchive_01_e,Speech,phantom,phantom,Locale_SubScenario:event_arcanearchive_01_e_15,True,,1,1,1.0,,,,2,angry_02,,12,surprise,
event_arcanearchive_01_e_16,40077,event_arcanearchive_01_e,Speech,arcana,arcana,Locale_SubScenario:event_arcanearchive_01_e_16,True,,1,1,1.0,,,,2,angry_02,,12,sad,
event_arcanearchive_01_e_17,40077,event_arcanearchive_01_e,Self,arcana,,Locale_SubScenario:event_arcanearchive_01_e_17,False,,1,1,1.0,,,,2,angry_02,,12,sad,
event_arcanearchive_01_e_18,40077,event_arcanearchive_01_e,Speech,phantom,phantom,Locale_SubScenario:event_arcanearchive_01_e_18,True,,1,L_20,1.3,,,,2,sad_02,,12,sad,
event_arcanearchive_01_e_19,40077,event_arcanearchive_01_e,Choice,phantom,,Locale_SubScenario:event_arcanearchive_01_e_19,False,,L_20,L_20,1.0,,event_arcanearchive_01_e_21,,2,sad_02,,12,sad,
event_arcanearchive_01_e_20,40077,event_arcanearchive_01_e,Choice,phantom,,Locale_SubScenario:event_arcanearchive_01_e_20,False,,L_20,L_20,1.0,,event_arcanearchive_01_e_21,,2,sad_02,,12,sad,
event_arcanearchive_01_e_21,40077,event_arcanearchive_01_e,Speech,phantom,phantom,Locale_SubScenario:event_arcanearchive_01_e_21,True,,L_20,L_20,1.0,,,,2,no_02,,12,sad,
event_arcanearchive_01_e_22,40077,event_arcanearchive_01_e,Speech,phantom,phantom,Locale_SubScenario:event_arcanearchive_01_e_22,True,,L_20,L_20,1.0,,,,2,no_02,,12,sad,
event_arcanearchive_01_e_23,40077,event_arcanearchive_01_e,Self,phantom,,Locale_SubScenario:event_arcanearchive_01_e_23,False,,L_20,L_20,1.0,,,,2,no_02,,12,sad,
event_arcanearchive_01_e_24,40077,event_arcanearchive_01_e,Speech,phantom,phantom,Locale_SubScenario:event_arcanearchive_01_e_24,True,,L_20,L_20,1.0,,,,2,no_02,,12,sad,
event_arcanearchive_01_e_25,40077,event_arcanearchive_01_e,Speech,phantom,phantom,Locale_SubScenario:event_arcanearchive_01_e_25,True,,L_20,L_20,1.0,,,,2,no_02,,12,sad,
event_arcanearchive_01_e_26,40077,event_arcanearchive_01_e,Speech,phantom,phantom,Locale_SubScenario:event_arcanearchive_01_e_26,True,,L_20,L_20,1.0,,,,2,no_02,,12,sad,
