id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,play_sound,highlight,speaker,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,fade,set_camera_shake
event_boomsday_01_e_1,40040,event_boomsday_01_e,Narration,Locale_SubScenario:event_boomsday_01_e_1,False,Laboratory,black,black,1.0,none,,,,,,,,,,,,
event_boomsday_01_e_2,40040,event_boomsday_01_e,Narration,Locale_SubScenario:event_boomsday_01_e_2,False,,black,black,1.0,,,,,,,,,,,,,
event_boomsday_01_e_3,40040,event_boomsday_01_e,Narration,Locale_SubScenario:event_boomsday_01_e_3,False,,9,1,1.7,bgm_belowzero,elegg,1,idle,,,,,,,,,
event_boomsday_01_e_4,40040,event_boomsday_01_e,Narration,Locale_SubScenario:event_boomsday_01_e_4,False,,1,S_10,1.0,,,1,idle,sfx_scn_tablettapping,,,,,,,,
event_boomsday_01_e_5,40040,event_boomsday_01_e,Narration,Locale_SubScenario:event_boomsday_01_e_5,False,,S_10,S_10,1.0,,,1,idle,sfx_scn_tablettapping2,,,,,,,,
event_boomsday_01_e_6,40040,event_boomsday_01_e,Narration,Locale_SubScenario:event_boomsday_01_e_6,False,,S_10,S_10,1.0,,,1,idle,sfx_scn_tablettapping,,,,,,,,
event_boomsday_01_e_7,40040,event_boomsday_01_e,Narration,Locale_SubScenario:event_boomsday_01_e_7,False,,S_10,S_10,1.0,,,1,idle,,,,,,,,,
event_boomsday_01_e_8,40040,event_boomsday_01_e,Speech,Locale_SubScenario:event_boomsday_01_e_8,False,,S_10,S_10,1.0,,,1,think,,elegg,elegg,,,,,,
event_boomsday_01_e_9,40040,event_boomsday_01_e,Narration,Locale_SubScenario:event_boomsday_01_e_9,False,,S_10,1,1.0,,,1,think,sfx_scn_tablettappinghard,,,,,,,,
event_boomsday_01_e_10,40040,event_boomsday_01_e,Narration,Locale_SubScenario:event_boomsday_01_e_10,False,,1,1,1.0,,,1,think,sfx_scn_tablettapping3,,,,,,,,
event_boomsday_01_e_11,40040,event_boomsday_01_e,Speech,Locale_SubScenario:event_boomsday_01_e_11,True,,1,1,1.0,,,1,worry,,elegg,elegg,,,,,,
event_boomsday_01_e_12,40040,event_boomsday_01_e,Speech,Locale_SubScenario:event_boomsday_01_e_12,True,,XS_30,XS_30,1.0,,,1,worry,,ether,ether,ether,3,idle,,,
event_boomsday_01_e_13,40040,event_boomsday_01_e,Speech,Locale_SubScenario:event_boomsday_01_e_13,True,,XS_30,XS_30,1.0,,,1,idle,,elegg,elegg,,3,idle,,,
event_boomsday_01_e_14,40040,event_boomsday_01_e,Speech,Locale_SubScenario:event_boomsday_01_e_14,True,,XS_30,3,1.0,,,1,idle,,ether,ether,,3,idle,,,
event_boomsday_01_e_15,40040,event_boomsday_01_e,Narration,Locale_SubScenario:event_boomsday_01_e_15,False,,3,2,1.0,,,1,idle,,,,,3,idle,,,
event_boomsday_01_e_16,40040,event_boomsday_01_e,Speech,Locale_SubScenario:event_boomsday_01_e_16,True,,2,2,1.0,,,1,idle,,ether,ether,,3,idle,,,
event_boomsday_01_e_17,40040,event_boomsday_01_e,Speech,Locale_SubScenario:event_boomsday_01_e_17,True,,2,2,1.0,,,1,idle,,ether,ether,,3,idle,,,
event_boomsday_01_e_18,40040,event_boomsday_01_e,Speech,Locale_SubScenario:event_boomsday_01_e_18,True,,2,2,1.0,,,1,idle,,ether,ether,,3,idle,,,
event_boomsday_01_e_19,40040,event_boomsday_01_e,Speech,Locale_SubScenario:event_boomsday_01_e_19,True,,2,2,1.0,,,1,delight,,elegg,elegg,,3,idle,,,
event_boomsday_01_e_20,40040,event_boomsday_01_e,Speech,Locale_SubScenario:event_boomsday_01_e_20,True,,2,2,1.0,,,1,delight,,ether,ether,,3,delight,,,
event_boomsday_01_e_21,40040,event_boomsday_01_e,Speech,Locale_SubScenario:event_boomsday_01_e_21,True,,2,XS_30,1.0,,,1,idle,,ether,ether,,3,idle,,,
