id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_ambient,play_bgm,highlight,speaker,set_camera_shake,set_filter_01,characters/0/hide_char_id,characters/1/hide_char_id
event_footstepwalkrun2_03_e_1,40066,event_footstepwalkrun2_03_e,Narration,Locale_MainScenario:event_footstepwalkrun2_03_e_1,False,rapi_m,1,idle,redhood,13,go,SpaceElevator,black,black,1.0,sfx_scn_fly,ambient_scn_war,event_bgm_redash_facethat,,,,,,
event_footstepwalkrun2_03_e_2,40066,event_footstepwalkrun2_03_e,Speech,Locale_MainScenario:event_footstepwalkrun2_03_e_2,True,,1,idle,,13,go,,113,113,1.0,,,,rapi_m,rapi_m,,,,
event_footstepwalkrun2_03_e_3,40066,event_footstepwalkrun2_03_e,Speech,Locale_MainScenario:event_footstepwalkrun2_03_e_3,True,,1,idle,,13,go,,113,113,1.0,,,,redhood,redhood,,,,
event_footstepwalkrun2_03_e_4,40066,event_footstepwalkrun2_03_e,Narration,Locale_MainScenario:event_footstepwalkrun2_03_e_4,False,,1,idle,,13,go,,113,113,1.0,sfx_scn_explosionhuge,,,rapi_m,,Low_2,,,
event_footstepwalkrun2_03_e_5,40066,event_footstepwalkrun2_03_e,Narration,Locale_MainScenario:event_footstepwalkrun2_03_e_5,False,,1,idle,,13,go,,113,113,1.0,sfx_scn_earthquake,,,rapi_m,,,,,
event_footstepwalkrun2_03_e_6,40066,event_footstepwalkrun2_03_e,Narration,Locale_MainScenario:event_footstepwalkrun2_03_e_6,False,,1,idle,,13,go,,113,113,1.0,sfx_scn_hugegroundcreak,,,rapi_m,,,,,
event_footstepwalkrun2_03_e_7,40066,event_footstepwalkrun2_03_e,Narration,Locale_MainScenario:event_footstepwalkrun2_03_e_7,False,,1,idle,,13,idle,,113,1,1.0,,,,rapi_m,,,Vignetting,,
event_footstepwalkrun2_03_e_8,40066,event_footstepwalkrun2_03_e,Narration,Locale_MainScenario:event_footstepwalkrun2_03_e_8,False,,1,idle,,13,idle,,black,black,1.0,,,none,rapi_m,,,,rapi_m,redhood
event_footstepwalkrun2_03_e_9,40066,event_footstepwalkrun2_03_e,Speech,Locale_MainScenario:event_footstepwalkrun2_03_e_9,True,,,,,,,,black,black,1.0,,,,redhood,redhood,,,,
event_footstepwalkrun2_03_e_10,40066,event_footstepwalkrun2_03_e,Speech,Locale_MainScenario:event_footstepwalkrun2_03_e_10,True,,,,,,,EventScene_footstepwalkrun_02_4,black,black,1.0,,,,rapi_m,rapi_m,,,,
event_footstepwalkrun2_03_e_11,40066,event_footstepwalkrun2_03_e,Narration,Locale_MainScenario:event_footstepwalkrun2_03_e_11,False,,,,,,,,black,black,1.0,,,bgm_story_enormousgap,,,,,,
event_footstepwalkrun2_03_e_12,40066,event_footstepwalkrun2_03_e,Narration,Locale_MainScenario:event_footstepwalkrun2_03_e_12,False,,,,,,,,black,black,1.0,,,,,,,,,
event_footstepwalkrun2_03_e_13,40066,event_footstepwalkrun2_03_e,Speech,Locale_MainScenario:event_footstepwalkrun2_03_e_13,True,,,,,,,,19,1,1.5,,,,rapi_m,rapi_m,,,,
event_footstepwalkrun2_03_e_14,40066,event_footstepwalkrun2_03_e,Narration,Locale_MainScenario:event_footstepwalkrun2_03_e_14,False,,,,,,,,1,1,1.0,,,,,,,,,
event_footstepwalkrun2_03_e_15,40066,event_footstepwalkrun2_03_e,Narration,Locale_MainScenario:event_footstepwalkrun2_03_e_15,False,,,,,,,,1,1,1.0,,,,,,,,,
event_footstepwalkrun2_03_e_16,40066,event_footstepwalkrun2_03_e,Speech,Locale_MainScenario:event_footstepwalkrun2_03_e_16,False,,,,,,,,1,1,1.0,,,,rapi_m,rapi_m,,,,
event_footstepwalkrun2_03_e_17,40066,event_footstepwalkrun2_03_e,Speech,Locale_MainScenario:event_footstepwalkrun2_03_e_17,True,,,,,,,,1,1,1.0,,,,redhood,redhood,,,,
event_footstepwalkrun2_03_e_18,40066,event_footstepwalkrun2_03_e,Speech,Locale_MainScenario:event_footstepwalkrun2_03_e_18,True,,,,,,,,1,everybye_01,1.5,,,,rapi_m,rapi_m,,,,
event_footstepwalkrun2_03_e_19,40066,event_footstepwalkrun2_03_e,Narration,Locale_MainScenario:event_footstepwalkrun2_03_e_19,False,,,,,,,,everybye_01,everybye_01,1.0,,,,,,,,,
event_footstepwalkrun2_03_e_20,40066,event_footstepwalkrun2_03_e,Narration,Locale_MainScenario:event_footstepwalkrun2_03_e_20,False,,,,,,,,everybye_01,everybye_01,1.0,,,,,,,,,
