id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,set_filter_02,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,fade
event_footstepwalkrun1_01_s_1,40066,event_footstepwalkrun1_01_s,Speech,CGofficer,CGofficer,Locale_MainScenario:event_footstepwalkrun1_01_s_1,True,Stage,1,100,0.5,bgm_greyhaze,Grey,Vignetting,,,,,
event_footstepwalkrun1_01_s_2,40066,event_footstepwalkrun1_01_s,Speech,CGofficer,CGofficer,Locale_MainScenario:event_footstepwalkrun1_01_s_2,True,,100,100,1.0,,Grey,Vignetting,,,,,
event_footstepwalkrun1_01_s_3,40066,event_footstepwalkrun1_01_s,Speech,CGofficer,CGofficer,Locale_MainScenario:event_footstepwalkrun1_01_s_3,True,,100,100,1.0,,Grey,Vignetting,,,,,
event_footstepwalkrun1_01_s_4,40066,event_footstepwalkrun1_01_s,Speech,CGofficer,CGofficer,Locale_MainScenario:event_footstepwalkrun1_01_s_4,True,,100,100,1.0,,Grey,Vignetting,,,,,
event_footstepwalkrun1_01_s_5,40066,event_footstepwalkrun1_01_s,Speech,CGofficer,CGofficer,Locale_MainScenario:event_footstepwalkrun1_01_s_5,True,,100,100,1.0,,Grey,Vignetting,,,,,
event_footstepwalkrun1_01_s_6,40066,event_footstepwalkrun1_01_s,Speech,CGofficer,CGofficer,Locale_MainScenario:event_footstepwalkrun1_01_s_6,True,,100,100,1.0,,Grey,Vignetting,,,,,
event_footstepwalkrun1_01_s_7,40066,event_footstepwalkrun1_01_s,Speech,CGofficer,CGofficer,Locale_MainScenario:event_footstepwalkrun1_01_s_7,True,,100,100,1.0,,Grey,Vignetting,,,,,
event_footstepwalkrun1_01_s_8,40066,event_footstepwalkrun1_01_s,Speech,CGofficer,CGofficer,Locale_MainScenario:event_footstepwalkrun1_01_s_8,True,,100,100,1.0,,Grey,Vignetting,,,,,
event_footstepwalkrun1_01_s_9,40066,event_footstepwalkrun1_01_s,Speech,CGofficer,CGofficer,Locale_MainScenario:event_footstepwalkrun1_01_s_9,True,,100,100,,,Grey,Vignetting,,,,,
event_footstepwalkrun1_01_s_10,40066,event_footstepwalkrun1_01_s,Speech,CGofficer,CGofficer,Locale_MainScenario:event_footstepwalkrun1_01_s_10,True,,100,100,1.0,,Grey,Vignetting,,,,,
event_footstepwalkrun1_01_s_11,40066,event_footstepwalkrun1_01_s,Speech,CGofficer,CGofficer,Locale_MainScenario:event_footstepwalkrun1_01_s_11,True,,100,100,1.0,,Grey,Vignetting,,,,,
event_footstepwalkrun1_01_s_12,40066,event_footstepwalkrun1_01_s,Speech,CGofficer,CGofficer,Locale_MainScenario:event_footstepwalkrun1_01_s_12,True,,100,1,1.0,,Grey,Vignetting,,,,,
event_footstepwalkrun1_01_s_13,40066,event_footstepwalkrun1_01_s,Speech,CGofficer,CGofficer,Locale_MainScenario:event_footstepwalkrun1_01_s_13,True,,1,1,1.0,,Grey,Vignetting,,,,,
event_footstepwalkrun1_01_s_14,40066,event_footstepwalkrun1_01_s,Speech,CGofficer,CGofficer,Locale_MainScenario:event_footstepwalkrun1_01_s_14,True,,1,1,1.0,,Grey,Vignetting,Low_2,,,,
event_footstepwalkrun1_01_s_15,40066,event_footstepwalkrun1_01_s,Speech,youngrapi,youngrapi,Locale_MainScenario:event_footstepwalkrun1_01_s_15,True,Hospital,black,black,1.0,none,,,,youngrapi,1,angry,
event_footstepwalkrun1_01_s_16,40066,event_footstepwalkrun1_01_s,Speech,youngrapi,youngrapi,Locale_MainScenario:event_footstepwalkrun1_01_s_16,True,,1,1,1.0,,,,,,1,angry,
event_footstepwalkrun1_01_s_17,40066,event_footstepwalkrun1_01_s,Speech,youngrapi,youngrapi,Locale_MainScenario:event_footstepwalkrun1_01_s_17,True,,1,1,1.0,,,,,,1,angry,
event_footstepwalkrun1_01_s_18,40066,event_footstepwalkrun1_01_s,Speech,youngrapi,nurse,Locale_MainScenario:event_footstepwalkrun1_01_s_18,False,,1,XS_10,1.0,bgm_secondhand,,,,,1,angry,
event_footstepwalkrun1_01_s_19,40066,event_footstepwalkrun1_01_s,Speech,youngrapi,youngrapi,Locale_MainScenario:event_footstepwalkrun1_01_s_19,True,,XS_10,XS_10,1.0,,,,,,1,idle,
event_footstepwalkrun1_01_s_20,40066,event_footstepwalkrun1_01_s,Speech,youngrapi,nurse,Locale_MainScenario:event_footstepwalkrun1_01_s_20,False,,XS_10,XS_10,1.0,,,,,,1,idle,
event_footstepwalkrun1_01_s_21,40066,event_footstepwalkrun1_01_s,Speech,youngrapi,nurse,Locale_MainScenario:event_footstepwalkrun1_01_s_21,False,,XS_10,XS_10,1.0,,,,,,1,idle,
event_footstepwalkrun1_01_s_22,40066,event_footstepwalkrun1_01_s,Speech,youngrapi,youngrapi,Locale_MainScenario:event_footstepwalkrun1_01_s_22,True,,XS_10,XS_100,1.0,,,,,,1,idle,
event_footstepwalkrun1_01_s_23,40066,event_footstepwalkrun1_01_s,Speech,youngrapi,nurse,Locale_MainScenario:event_footstepwalkrun1_01_s_23,False,,XS_100,XS_100,1.0,,,,,,1,idle,
event_footstepwalkrun1_01_s_24,40066,event_footstepwalkrun1_01_s,Speech,youngrapi,youngrapi,Locale_MainScenario:event_footstepwalkrun1_01_s_24,True,,XS_100,XS_100,1.0,,,,,,1,idle,
event_footstepwalkrun1_01_s_25,40066,event_footstepwalkrun1_01_s,Speech,youngrapi,nurse,Locale_MainScenario:event_footstepwalkrun1_01_s_25,False,,XS_100,XS_100,1.0,,,,,,1,idle,
event_footstepwalkrun1_01_s_26,40066,event_footstepwalkrun1_01_s,Speech,youngrapi,youngrapi,Locale_MainScenario:event_footstepwalkrun1_01_s_26,True,,XS_100,XS_100,1.0,,,,,,1,idle,
event_footstepwalkrun1_01_s_27,40066,event_footstepwalkrun1_01_s,Speech,youngrapi,nurse,Locale_MainScenario:event_footstepwalkrun1_01_s_27,False,,XS_100,XS_100,1.0,,,,,,1,idle,
event_footstepwalkrun1_01_s_28,40066,event_footstepwalkrun1_01_s,Speech,youngrapi,nurse,Locale_MainScenario:event_footstepwalkrun1_01_s_28,False,,XS_100,XS_100,1.0,,,,,,1,idle,
event_footstepwalkrun1_01_s_29,40066,event_footstepwalkrun1_01_s,Speech,youngrapi,nurse,Locale_MainScenario:event_footstepwalkrun1_01_s_29,False,,XS_100,XS_100,1.0,,,,,,1,idle,
event_footstepwalkrun1_01_s_30,40066,event_footstepwalkrun1_01_s,Speech,youngrapi,youngrapi,Locale_MainScenario:event_footstepwalkrun1_01_s_30,True,,XS_100,XS_100,1.0,,,,,,1,idle,
event_footstepwalkrun1_01_s_31,40066,event_footstepwalkrun1_01_s,Speech,youngrapi,nurse,Locale_MainScenario:event_footstepwalkrun1_01_s_31,False,,XS_100,XS_100,1.0,,,,,,1,idle,
event_footstepwalkrun1_01_s_32,40066,event_footstepwalkrun1_01_s,Speech,youngrapi,youngrapi,Locale_MainScenario:event_footstepwalkrun1_01_s_32,True,,XS_100,XS_10,1.0,,,,,,1,delight,
event_footstepwalkrun1_01_s_33,40066,event_footstepwalkrun1_01_s,Speech,youngrapi,nurse,Locale_MainScenario:event_footstepwalkrun1_01_s_33,False,,XS_10,XS_10,1.0,,,,,,1,delight,
event_footstepwalkrun1_01_s_34,40066,event_footstepwalkrun1_01_s,Speech,youngrapi,youngrapi,Locale_MainScenario:event_footstepwalkrun1_01_s_34,True,,XS_10,XS_10,1.0,,,,,,1,delight,
event_footstepwalkrun1_01_s_35,40066,event_footstepwalkrun1_01_s,Speech,youngrapi,nurse,Locale_MainScenario:event_footstepwalkrun1_01_s_35,False,,XS_10,XS_10,1.0,,,,,,1,delight,
event_footstepwalkrun1_01_s_36,40066,event_footstepwalkrun1_01_s,Speech,youngrapi,nurse,Locale_MainScenario:event_footstepwalkrun1_01_s_36,False,,XS_10,XS_10,1.0,,,,,,1,delight,
event_footstepwalkrun1_01_s_37,40066,event_footstepwalkrun1_01_s,Speech,youngrapi,youngrapi,Locale_MainScenario:event_footstepwalkrun1_01_s_37,True,,XS_10,XS_10,1.0,,,,,,1,idle,
event_footstepwalkrun1_01_s_38,40066,event_footstepwalkrun1_01_s,Speech,youngrapi,nurse,Locale_MainScenario:event_footstepwalkrun1_01_s_38,False,,XS_10,XS_10,1.0,,,,,,1,idle,
event_footstepwalkrun1_01_s_39,40066,event_footstepwalkrun1_01_s,Speech,youngrapi,nurse,Locale_MainScenario:event_footstepwalkrun1_01_s_39,False,,XS_10,XS_10,1.0,,,,,,1,idle,
event_footstepwalkrun1_01_s_40,40066,event_footstepwalkrun1_01_s,Speech,youngrapi,youngrapi,Locale_MainScenario:event_footstepwalkrun1_01_s_40,True,,XS_10,XS_10,1.0,,,,,,1,idle,
event_footstepwalkrun1_01_s_41,40066,event_footstepwalkrun1_01_s,Speech,youngrapi,nurse,Locale_MainScenario:event_footstepwalkrun1_01_s_41,False,,XS_10,XS_10,1.0,,,,,,1,idle,
event_footstepwalkrun1_01_s_42,40066,event_footstepwalkrun1_01_s,Speech,youngrapi,youngrapi,Locale_MainScenario:event_footstepwalkrun1_01_s_42,True,,XS_10,XS_10,1.0,,,,,,1,idle,
event_footstepwalkrun1_01_s_43,40066,event_footstepwalkrun1_01_s,Speech,youngrapi,nurse,Locale_MainScenario:event_footstepwalkrun1_01_s_43,False,,XS_10,XS_10,1.0,,,,,,1,idle,
event_footstepwalkrun1_01_s_44,40066,event_footstepwalkrun1_01_s,Speech,youngrapi,nurse,Locale_MainScenario:event_footstepwalkrun1_01_s_44,False,,XS_10,XS_10,1.0,,,,,,1,idle,
