id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/0/hide_char_id,jump_target
event_alonesurvivor_01_s_1,40033,event_alonesurvivor_01_s,Narration,Narration,Locale_SubScenario:event_alonesurvivor_01_s_1,False,alice,3,delight,ludmilla,1,idle,BriefingRoom,19,19,1.0,none,,,,,,
event_alonesurvivor_01_s_2,40033,event_alonesurvivor_01_s,Speech,alice,Locale_SubScenario:event_alonesurvivor_01_s_2,True,,3,delight,,1,idle,,3,S_30,0.7,bgm_secondhand,alice,,,,,
event_alonesurvivor_01_s_3,40033,event_alonesurvivor_01_s,Speech,alice,Locale_SubScenario:event_alonesurvivor_01_s_3,True,,3,delight,,1,idle,,S_30,S_30,1.0,,alice,,,,,
event_alonesurvivor_01_s_4,40033,event_alonesurvivor_01_s,Self,Self,Locale_SubScenario:event_alonesurvivor_01_s_4,False,,3,delight,,1,idle,,S_30,2,1.0,,,,,,,
event_alonesurvivor_01_s_5,40033,event_alonesurvivor_01_s,Speech,ludmilla,Locale_SubScenario:event_alonesurvivor_01_s_5,True,,3,delight,,1,idle,,2,2,1.0,,ludmilla,,,,,
event_alonesurvivor_01_s_6,40033,event_alonesurvivor_01_s,Speech,ludmilla,Locale_SubScenario:event_alonesurvivor_01_s_6,True,,3,delight,,1,idle,,2,10,1.0,,ludmilla,,,,,
event_alonesurvivor_01_s_7,40033,event_alonesurvivor_01_s,Speech,ludmilla,Locale_SubScenario:event_alonesurvivor_01_s_7,True,,3,delight,,1,idle,,10,10,1.0,,ludmilla,neve,5,idle,,
event_alonesurvivor_01_s_8,40033,event_alonesurvivor_01_s,Speech,ludmilla,Locale_SubScenario:event_alonesurvivor_01_s_8,True,,3,delight,,1,idle,,10,10,1.0,,ludmilla,,5,idle,,
event_alonesurvivor_01_s_9,40033,event_alonesurvivor_01_s,Speech,ludmilla,Locale_SubScenario:event_alonesurvivor_01_s_9,True,,3,idle,,1,idle,,10,10,1.0,,ludmilla,,5,idle,,
event_alonesurvivor_01_s_10,40033,event_alonesurvivor_01_s,Speech,alice,Locale_SubScenario:event_alonesurvivor_01_s_10,True,,3,idle,,1,idle,,4,4,1.0,,alice,,5,idle,,
event_alonesurvivor_01_s_11,40033,event_alonesurvivor_01_s,Speech,neve,Locale_SubScenario:event_alonesurvivor_01_s_11,True,,3,idle,,1,idle,,4,50,1.0,,neve,,5,sad,,
event_alonesurvivor_01_s_12,40033,event_alonesurvivor_01_s,Speech,neve,Locale_SubScenario:event_alonesurvivor_01_s_12,True,,3,idle,,1,idle,,50,50,1.0,,neve,,5,idle,,
event_alonesurvivor_01_s_13,40033,event_alonesurvivor_01_s,Speech,neve,Locale_SubScenario:event_alonesurvivor_01_s_13,True,,3,idle,,1,idle,,50,50,1.0,,neve,,5,idle,,
event_alonesurvivor_01_s_14,40033,event_alonesurvivor_01_s,Speech,neve,Locale_SubScenario:event_alonesurvivor_01_s_14,True,,3,idle,,1,idle,,50,50,1.0,,neve,,5,good,,
event_alonesurvivor_01_s_15,40033,event_alonesurvivor_01_s,Speech,ludmilla,Locale_SubScenario:event_alonesurvivor_01_s_15,True,,3,idle,,1,think,,10,10,1.0,,ludmilla,,5,good,,
event_alonesurvivor_01_s_16,40033,event_alonesurvivor_01_s,Speech,ludmilla,Locale_SubScenario:event_alonesurvivor_01_s_16,True,,3,idle,,1,think,,10,10,1.0,,ludmilla,,5,idle,,
event_alonesurvivor_01_s_17,40033,event_alonesurvivor_01_s,Speech,ludmilla,Locale_SubScenario:event_alonesurvivor_01_s_17,True,,3,idle,,1,idle,,10,1,1.0,,ludmilla,,5,idle,alice,
event_alonesurvivor_01_s_18,40033,event_alonesurvivor_01_s,Speech,ludmilla,Locale_SubScenario:event_alonesurvivor_01_s_18,True,,,,,1,idle,,1,1,1.0,,ludmilla,,5,idle,,
event_alonesurvivor_01_s_19,40033,event_alonesurvivor_01_s,Monologue,Monologue,Locale_SubScenario:event_alonesurvivor_01_s_19,False,,,,,1,idle,,black,black,1.0,,,,3,idle,,
event_alonesurvivor_01_s_20,40033,event_alonesurvivor_01_s,Self,Self,Locale_SubScenario:event_alonesurvivor_01_s_20,False,,,,,1,idle,,1,1,1.0,,,,3,idle,,
event_alonesurvivor_01_s_21,40033,event_alonesurvivor_01_s,Speech,ludmilla,Locale_SubScenario:event_alonesurvivor_01_s_21,False,,,,,1,think,,1,1,1.0,,ludmilla,,3,idle,,
event_alonesurvivor_01_s_22,40033,event_alonesurvivor_01_s,Speech,ludmilla,Locale_SubScenario:event_alonesurvivor_01_s_22,True,,,,,1,think,,1,1,1.0,,ludmilla,,3,idle,,
event_alonesurvivor_01_s_23,40033,event_alonesurvivor_01_s,Self,Self,Locale_SubScenario:event_alonesurvivor_01_s_23,False,,,,,1,think,,1,1,1.0,,,,3,idle,,
event_alonesurvivor_01_s_24,40033,event_alonesurvivor_01_s,Speech,ludmilla,Locale_SubScenario:event_alonesurvivor_01_s_24,True,,,,,1,think,,1,1,1.0,,ludmilla,,3,idle,,
event_alonesurvivor_01_s_25,40033,event_alonesurvivor_01_s,Speech,ludmilla,Locale_SubScenario:event_alonesurvivor_01_s_25,False,,,,,1,think,,1,10,1.0,,ludmilla,,3,idle,,
event_alonesurvivor_01_s_26,40033,event_alonesurvivor_01_s,Speech,ludmilla,Locale_SubScenario:event_alonesurvivor_01_s_26,True,,,,,1,think,,10,10,1.0,,ludmilla,,3,idle,,
event_alonesurvivor_01_s_27,40033,event_alonesurvivor_01_s,Speech,ludmilla,Locale_SubScenario:event_alonesurvivor_01_s_27,True,,,,,1,think,,10,10,1.0,,ludmilla,,3,idle,,
event_alonesurvivor_01_s_28,40033,event_alonesurvivor_01_s,Speech,ludmilla,Locale_SubScenario:event_alonesurvivor_01_s_28,True,,,,,1,think,,10,10,1.0,,ludmilla,,3,idle,,
event_alonesurvivor_01_s_29,40033,event_alonesurvivor_01_s,Speech,ludmilla,Locale_SubScenario:event_alonesurvivor_01_s_29,True,,,,,1,think,,10,10,1.0,,ludmilla,,3,idle,,
event_alonesurvivor_01_s_30,40033,event_alonesurvivor_01_s,Speech,ludmilla,Locale_SubScenario:event_alonesurvivor_01_s_30,True,,,,,1,think,,10,10,1.0,,ludmilla,,3,idle,,
event_alonesurvivor_01_s_31,40033,event_alonesurvivor_01_s,Speech,ludmilla,Locale_SubScenario:event_alonesurvivor_01_s_31,True,,,,,1,think,,10,10,1.0,,ludmilla,,3,idle,,
event_alonesurvivor_01_s_32,40033,event_alonesurvivor_01_s,Speech,ludmilla,Locale_SubScenario:event_alonesurvivor_01_s_32,True,,,,,1,think,,10,10,1.0,,ludmilla,,3,idle,,
event_alonesurvivor_01_s_33,40033,event_alonesurvivor_01_s,Speech,ludmilla,Locale_SubScenario:event_alonesurvivor_01_s_33,True,,,,,1,think,,10,10,1.0,,ludmilla,,3,idle,,
event_alonesurvivor_01_s_34,40033,event_alonesurvivor_01_s,Speech,ludmilla,Locale_SubScenario:event_alonesurvivor_01_s_34,True,,,,,1,think,,10,10,1.0,,ludmilla,,3,idle,,
event_alonesurvivor_01_s_35,40033,event_alonesurvivor_01_s,Speech,neve,Locale_SubScenario:event_alonesurvivor_01_s_35,True,,,,,1,think,,10,30,1.0,,neve,,3,sad,,
event_alonesurvivor_01_s_36,40033,event_alonesurvivor_01_s,Speech,neve,Locale_SubScenario:event_alonesurvivor_01_s_36,True,,,,,1,think,,30,30,1.0,,neve,,3,sad,,
event_alonesurvivor_01_s_37,40033,event_alonesurvivor_01_s,Speech,neve,Locale_SubScenario:event_alonesurvivor_01_s_37,True,,,,,1,think,,30,30,1.0,,neve,,3,sad,,
event_alonesurvivor_01_s_38,40033,event_alonesurvivor_01_s,Self,Self,Locale_SubScenario:event_alonesurvivor_01_s_38,False,,,,,1,think,,30,30,1.0,,,,3,sad,,
event_alonesurvivor_01_s_39,40033,event_alonesurvivor_01_s,Speech,neve,Locale_SubScenario:event_alonesurvivor_01_s_39,True,,,,,1,think,,30,30,1.0,,neve,,3,sad,,
event_alonesurvivor_01_s_40,40033,event_alonesurvivor_01_s,Speech,ludmilla,Locale_SubScenario:event_alonesurvivor_01_s_40,True,,,,,1,think,,10,10,1.0,,ludmilla,,3,sad,,
event_alonesurvivor_01_s_41,40033,event_alonesurvivor_01_s,Speech,ludmilla,Locale_SubScenario:event_alonesurvivor_01_s_41,True,,,,,1,think,,10,100,1.0,,ludmilla,,3,idle,,
