id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,jump_target,play_sound,characters/1/hide_char_id,set_camera_shake,characters/0/hide_char_id
event_onemoretime_04_e_1,40044,event_onemoretime_04_e,Narration,bay,Locale_SubScenario:event_onemoretime_04_e_1,False,bay,1,idle,clay,3,no,poli_c,5,idle,SchoolCorridor,black,black,1.0,none,,,,,,
event_onemoretime_04_e_2,40044,event_onemoretime_04_e,Speech,bay,Locale_SubScenario:event_onemoretime_04_e_2,False,,1,idle,,3,no,,5,idle,,2,2,1.0,,bay,,,,,
event_onemoretime_04_e_3,40044,event_onemoretime_04_e,Speech,clay,Locale_SubScenario:event_onemoretime_04_e_3,False,,1,idle,,3,no,,5,idle,,2,2,1.0,,clay,,,,,
event_onemoretime_04_e_4,40044,event_onemoretime_04_e,Monologue,clay,Locale_SubScenario:event_onemoretime_04_e_4,False,,1,idle,,3,no,,5,idle,,2,2,1.0,bgm_frostpillar,,,,,,
event_onemoretime_04_e_5,40044,event_onemoretime_04_e,Monologue,clay,Locale_SubScenario:event_onemoretime_04_e_5,False,,1,idle,,3,no,,5,idle,,2,2,1.0,,,,,,,
event_onemoretime_04_e_6,40044,event_onemoretime_04_e,Monologue,clay,Locale_SubScenario:event_onemoretime_04_e_6,False,,1,idle,,3,no,,5,idle,,2,2,1.0,,,,,,,
event_onemoretime_04_e_7,40044,event_onemoretime_04_e,Monologue,clay,Locale_SubScenario:event_onemoretime_04_e_7,False,,1,idle,,3,no,,5,idle,,2,2,1.0,,,,,,,
event_onemoretime_04_e_8,40044,event_onemoretime_04_e,Choice,clay,Locale_SubScenario:event_onemoretime_04_e_8,False,,1,idle,,3,no,,5,idle,,2,2,1.0,,,event_onemoretime_04_e_10,,,,
event_onemoretime_04_e_9,40044,event_onemoretime_04_e,Choice,clay,Locale_SubScenario:event_onemoretime_04_e_9,False,,1,idle,,3,no,,5,idle,,2,2,1.0,,,event_onemoretime_04_e_17,,,,
event_onemoretime_04_e_10,40044,event_onemoretime_04_e,Speech,poli_c,Locale_SubScenario:event_onemoretime_04_e_10,True,,1,idle,,3,no,,5,delight,,XS_50,XS_50,1.0,,poli_c,,,,,
event_onemoretime_04_e_11,40044,event_onemoretime_04_e,Speech,poli_c,Locale_SubScenario:event_onemoretime_04_e_11,True,,1,idle,,3,no,,5,delight,,XS_50,XS_50,1.0,,poli_c,,,,,
event_onemoretime_04_e_12,40044,event_onemoretime_04_e,Speech,bay,Locale_SubScenario:event_onemoretime_04_e_12,True,,1,surprise,,3,sad,,5,delight,,2,2,1.0,,bay,,,,,
