id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_ambient,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id
snowfall_myroom_day9_s_1,80903,snowfall_myroom_day9_s,Monologue,Locale_SubScenario:snowfall_myroom_day9_s_1,False,HotSpringInnIn_d,1,1,1.0,amb_so_inn_in_1,event_bgm_neverland_intermissionjam_day,,,,,,,,,,
snowfall_myroom_day9_s_2,80903,snowfall_myroom_day9_s,Self,Locale_SubScenario:snowfall_myroom_day9_s_2,False,,1,1,1.0,,,,,,,,,,,,
snowfall_myroom_day9_s_3,80903,snowfall_myroom_day9_s,Monologue,Locale_SubScenario:snowfall_myroom_day9_s_3,False,HotSpringInnOut_d,1,12,1.0,amb_so_inn_out_1,,,,,,,,,,,
snowfall_myroom_day9_s_4,80903,snowfall_myroom_day9_s,Speech,Locale_SubScenario:snowfall_myroom_day9_s_4,True,,12,12,1.0,,,mica_w,mica_w,ludmilla_w,1,idle,mica_w,13,idle,,
snowfall_myroom_day9_s_5,80903,snowfall_myroom_day9_s,Speech,Locale_SubScenario:snowfall_myroom_day9_s_5,True,,12,12,1.0,,,ludmilla_w,ludmilla_w,,1,idle,,13,idle,,
snowfall_myroom_day9_s_6,80903,snowfall_myroom_day9_s,Self,Locale_SubScenario:snowfall_myroom_day9_s_6,False,,12,12,1.0,,,ludmilla_w,,,1,idle,,13,idle,,
snowfall_myroom_day9_s_7,80903,snowfall_myroom_day9_s,Speech,Locale_SubScenario:snowfall_myroom_day9_s_7,True,,12,12,1.0,,,mica_w,mica_w,,1,idle,,13,idle,,
snowfall_myroom_day9_s_8,80903,snowfall_myroom_day9_s,Speech,Locale_SubScenario:snowfall_myroom_day9_s_8,True,,12,12,1.0,,,mica_w,mica_w,,1,idle,,13,idle,,
snowfall_myroom_day9_s_9,80903,snowfall_myroom_day9_s,Self,Locale_SubScenario:snowfall_myroom_day9_s_9,False,,12,12,1.0,,,mica_w,,,1,idle,,13,idle,,
snowfall_myroom_day9_s_10,80903,snowfall_myroom_day9_s,Speech,Locale_SubScenario:snowfall_myroom_day9_s_10,True,,12,10,1.0,,,ludmilla_w,ludmilla_w,,1,idle,,13,idle,,
