id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id
event_coinsinrush1_05_s_1,40088,event_coinsinrush1_05_s,Speech,milk_b,milk_b,Locale_MainScenario:event_coinsinrush1_05_s_1,True,BriefingRoom,10,10,1.0,event_bgm_cir_startagem,,,milk_b,1,good,,exia_b,3,idle,,bay_b,5,idle,,rouge_b,13,idle,,ade_b,15,special,
event_coinsinrush1_05_s_2,40088,event_coinsinrush1_05_s,Speech,milk_b,milk_b,Locale_MainScenario:event_coinsinrush1_05_s_2,True,,10,10,1.0,,,,,1,good,,,3,idle,,,5,idle,,,13,idle,,,15,special,
event_coinsinrush1_05_s_3,40088,event_coinsinrush1_05_s,Speech,milk_b,milk_b,Locale_MainScenario:event_coinsinrush1_05_s_3,True,,10,10,1.0,,,,,1,good,,,3,idle,,,5,idle,,,13,idle,,,15,special,
event_coinsinrush1_05_s_4,40088,event_coinsinrush1_05_s,Speech,bay_b,bay_b,Locale_MainScenario:event_coinsinrush1_05_s_4,True,,10,4,1.0,,,,,1,good,,,3,idle,,,5,idle,,,13,idle,,,15,special,
event_coinsinrush1_05_s_5,40088,event_coinsinrush1_05_s,Speech,exia_b,exia_b,Locale_MainScenario:event_coinsinrush1_05_s_5,True,,4,4,1.0,,,,,1,good,,,3,idle,,,5,idle,,,13,idle,,,15,special,
event_coinsinrush1_05_s_6,40088,event_coinsinrush1_05_s,Speech,rouge_b,rouge_b,Locale_MainScenario:event_coinsinrush1_05_s_6,True,,130,130,1.0,,,,,1,good,,,3,idle,,,5,idle,,,13,idle,,,15,special,
event_coinsinrush1_05_s_7,40088,event_coinsinrush1_05_s,Speech,rouge_b,rouge_b,Locale_MainScenario:event_coinsinrush1_05_s_7,True,,130,130,1.0,,,,,1,good,,,3,idle,,,5,idle,,,13,think,,,15,special,
event_coinsinrush1_05_s_8,40088,event_coinsinrush1_05_s,Speech,milk_b,milk_b,Locale_MainScenario:event_coinsinrush1_05_s_8,True,,130,12,1.0,,,,,1,good,,,3,idle,,,5,idle,,,13,think,,,15,special,
event_coinsinrush1_05_s_9,40088,event_coinsinrush1_05_s,Speech,milk_b,milk_b,Locale_MainScenario:event_coinsinrush1_05_s_9,True,,12,12,1.0,,,,,1,good,,,3,idle,,,5,idle,,,13,think,,,15,special,
event_coinsinrush1_05_s_10,40088,event_coinsinrush1_05_s,Speech,rouge_b,rouge_b,Locale_MainScenario:event_coinsinrush1_05_s_10,True,,12,12,1.0,,,,,1,good,,,3,idle,,,5,idle,,,13,surprise,,,15,special,
event_coinsinrush1_05_s_11,40088,event_coinsinrush1_05_s,Speech,milk_b,milk_b,Locale_MainScenario:event_coinsinrush1_05_s_11,True,,12,12,1.0,,,,,1,good,,,3,idle,,,5,idle,,,13,surprise,,,15,special,
event_coinsinrush1_05_s_12,40088,event_coinsinrush1_05_s,Speech,milk_b,milk_b,Locale_MainScenario:event_coinsinrush1_05_s_12,True,,12,12,1.0,,,,,1,good,,,3,idle,,,5,idle,,,13,surprise,,,15,special,
event_coinsinrush1_05_s_13,40088,event_coinsinrush1_05_s,Speech,milk_b,milk_b,Locale_MainScenario:event_coinsinrush1_05_s_13,True,,12,12,1.0,,,,,1,good,,,3,idle,,,5,idle,,,13,surprise,,,15,special,
