id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,play_sound,characters/4/hide_char_id,characters/2/hide_char_id,set_filter_01,fade,characters/0/hide_char_id,characters/1/hide_char_id,characters/3/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id
event_ce006_2_04_e_1,40080,event_ce006_2_04_e,Self,rapi,Locale_MainScenario:event_ce006_2_04_e_1,False,neon,6,idle,anis,4,angry,rapi,2,angry,ce006_01,12,idle,roam,18,idle,CityForest_02,3,3,1.0,bgm_enemyclose,,,,,,,,,,,,,
event_ce006_2_04_e_2,40080,event_ce006_2_04_e,Speech,rapi,Locale_MainScenario:event_ce006_2_04_e_2,True,,6,idle,,4,angry,,2,angry,,12,idle,,18,idle,,3,3,1.0,,rapi,,,,,,,,,,,,
event_ce006_2_04_e_3,40080,event_ce006_2_04_e,Speech,roam,Locale_MainScenario:event_ce006_2_04_e_3,True,,6,idle,,4,angry,,2,angry,,12,idle,,18,idle,,18,18,1.0,,roam,,,,,,,,,,,,
event_ce006_2_04_e_4,40080,event_ce006_2_04_e,Speech,roam,Locale_MainScenario:event_ce006_2_04_e_4,True,,6,idle,,4,angry,,2,angry,,12,idle,,18,idle,,18,18,1.0,,roam,,,,,,,,,,,,
event_ce006_2_04_e_5,40080,event_ce006_2_04_e,Speech,anis,Locale_MainScenario:event_ce006_2_04_e_5,True,,6,idle,,4,sad,,2,idle,,12,idle,,18,idle,,3,3,1.0,,anis,,,,,,,,,,,,
event_ce006_2_04_e_6,40080,event_ce006_2_04_e,Speech,roam,Locale_MainScenario:event_ce006_2_04_e_6,True,,6,idle,,4,angry,,2,idle,,12,idle,,18,idle,,18,180,1.3,,roam,,,,,,,,,,,,
event_ce006_2_04_e_7,40080,event_ce006_2_04_e,Speech,neon,Locale_MainScenario:event_ce006_2_04_e_7,True,,6,surprise,,4,angry,,2,idle,,12,idle,,18,idle,,6,S_60,1.3,,neon,,,,,,,,,,,,
event_ce006_2_04_e_8,40080,event_ce006_2_04_e,Monologue,neon,Locale_MainScenario:event_ce006_2_04_e_8,False,,6,surprise,,4,angry,,2,idle,,12,idle,,18,idle,,black,black,1.0,,,sfx_scn_toolpass,,,,,,,,,,,
event_ce006_2_04_e_9,40080,event_ce006_2_04_e,Monologue,neon,Locale_MainScenario:event_ce006_2_04_e_9,False,,6,surprise,,4,angry,,2,idle,,12,idle,,18,idle,,black,black,1.0,,,,,,,,,,,,,,
event_ce006_2_04_e_10,40080,event_ce006_2_04_e,Speech,neon,Locale_MainScenario:event_ce006_2_04_e_10,True,,6,worry,,4,angry,,2,idle,,12,idle,,18,idle,,5,5,1.0,,neon,,,,,,,,,,,,
event_ce006_2_04_e_11,40080,event_ce006_2_04_e,Speech,anis,Locale_MainScenario:event_ce006_2_04_e_11,True,,6,worry,,4,angry,,2,idle,,12,idle,,18,idle,,5,5,1.0,,anis,,,,,,,,,,,,
event_ce006_2_04_e_12,40080,event_ce006_2_04_e,Speech,ce006_01,Locale_MainScenario:event_ce006_2_04_e_12,False,,6,worry,,4,angry,,2,idle,,12,surprise,,18,idle,,1,1,1.0,,ce006_01,,,,,,,,,,,,
event_ce006_2_04_e_13,40080,event_ce006_2_04_e,Monologue,ce006_01,Locale_MainScenario:event_ce006_2_04_e_13,False,,4,idle,,6,angry,,2,idle,,15,no,,18,idle,,black,black,1.0,,,,,,,,,,,,,,
